,PLAYER_ID,PLAYER_NAME,PLAYER_TEAMID,SO,SOPP
0,203112,Quincy Acy,1610612758,200.51999999999998,0.1863847759177509
1,203919,Jordan Adams,1610612763,13.2,0.3859649122807018
2,203500,Steven Adams,1610612760,658.0799999999999,0.1938928062951614
3,201167,Arron Afflalo,1610612752,1022.0600000000001,0.2589199862900822
4,201582,Alexis Ajinca,1610612740,313.62,0.24162997664783062
5,202332,Cole Aldrich,1610612746,321.24,0.3209364261648731
6,200746,LaMarcus Aldridge,1610612759,1242.9199999999998,0.33609380946833317
7,1626146,Cliff Alexander,1610612757,15.1,0.21900216233321027
8,202730,Lavoy Allen,1610612754,641.6800000000001,0.22276199660596196
9,2754,Tony Allen,1610612763,547.0999999999999,0.21940452119607473
10,202329,Al-Farouq Aminu,1610612757,966.64,0.24001499292900458
11,200811,Lou Amundson,1610612752,96.72,0.27270326623351615
12,2365,Chris Andersen,1610612763,62.160000000000004,0.18635060606661774
13,101187,Alan Anderson,1610612764,31.32,0.20652251559194437
14,202341,James Anderson,1610612758,160.08,0.17574346506782845
15,1626147,Justin Anderson,1610612742,154.4,0.22809852844978756
16,203937,Kyle Anderson,1610612759,434.44,0.24218630503731375
17,201583,Ryan Anderson,1610612740,1168.6200000000001,0.2971153653246982
18,203507,Giannis Antetokounmpo,1610612749,1459.44,0.31749424200283843
19,203648,Thanasis Antetokounmpo,1610612752,4.0,0.29261155815654716
20,2546,Carmelo Anthony,1610612752,1815.28,0.42496319065965066
21,201202,Joel Anthony,1610612765,18.14,0.13615303472898407
22,203951,Keith Appling,0,16.880000000000003,0.2856030996734515
23,2772,Trevor Ariza,1610612745,1135.3600000000001,0.23469926810629202
24,201589,Darrell Arthur,1610612743,609.64,0.24421508301678868
25,201600,Omer Asik,1610612740,333.96000000000004,0.1808581615555797
26,201571,D.J. Augustin,1610612743,460.08000000000004,0.29166010411610827
27,201965,Jeff Ayres,0,7.88,0.2502177384235738
28,202337,Luke Babbitt,1610612740,133.72,0.17368286969188057
29,203946,Cameron Bairstow,1610612741,64.12,0.2687477369757497
30,2571,Leandro Barbosa,1610612744,457.68,0.2825725315404837
31,200826,Jose Juan Barea,1610612742,1060.88,0.4009275979207161
32,200745,Andrea Bargnani,0,390.28,0.276961421640591
33,203084,Harrison Barnes,1610612744,692.16,0.23013275964380417
34,2440,Matt Barnes,1610612763,808.44,0.24365133585947796
35,203115,Will Barton,1610612743,1353.0400000000002,0.3428292769811417
36,101138,Brandon Bass,1610612747,540.76,0.2278327328815253
37,201587,Nicolas Batum,1610612766,1442.58,0.36259608196588733
38,201573,Jerryd Bayless,1610612749,721.52,0.30495007850127104
39,203382,Aron Baynes,1610612765,579.76,0.294872531131865
40,203145,Kent Bazemore,1610612737,976.8399999999999,0.2718468283385845
41,203078,Bradley Beal,1610612764,998.24,0.36017661730061784
42,201158,Marco Belinelli,1610612758,886.2,0.25999418245056083
43,203461,Anthony Bennett,0,45.199999999999996,0.24449445026351901
44,201976,Patrick Beverley,1610612745,837.36,0.26824155322289656
45,202687,Bismack Biyombo,1610612761,511.16,0.1794047895031907
46,202357,Nemanja Bjelica,1610612750,373.32000000000005,0.20123638302347177
47,204028,Tarik Black,1610612747,140.76,0.20574876510787826
48,201971,DeJuan Blair,0,129.01999999999998,0.26249296689635626
49,2581,Steve Blake,1610612765,483.82,0.3636643688217488
50,202339,Eric Bledsoe,1610612756,1114.18,0.45104208470475876
51,202711,Bojan Bogdanovic,1610612751,812.24,0.2280818209725347
52,101106,Andrew Bogut,1610612744,597.12,0.2359898584463424
53,2588,Matt Bonner,1610612759,49.76,0.2041865212685744
54,1626164,Devin Booker,1610612756,858.1199999999999,0.2857322658728844
55,202344,Trevor Booker,1610612762,698.82,0.2637876123785794
56,2547,Chris Bosh,1610612748,1275.9199999999998,0.33458032062939985
57,202340,Avery Bradley,1610612738,1150.1200000000001,0.2594551227728563
58,1882,Elton Brand,1610612755,0.0,0.0
59,201147,Corey Brewer,1610612745,734.9799999999999,0.24655639082600592
60,201166,Aaron Brooks,1610612741,711.44,0.3839581308515253
61,1626148,Anthony Brown,1610612747,196.72000000000003,0.15639067174344265
62,203485,Lorenzo Brown,0,53.36000000000001,0.3828348504551366
63,203900,Markel Brown,1610612751,317.32,0.27100897078809066
64,977,Kobe Bryant,1610612747,1355.96,0.41624290373227313
65,201978,Chase Budinger,1610612754,374.92,0.22755097681070244
66,203493,Reggie Bullock,1610612765,74.48,0.1834218128412803
67,203504,Trey Burke,1610612762,1020.6399999999999,0.37780503392256726
68,202692,Alec Burks,1610612762,592.0400000000001,0.3649456784997578
69,2406,Caron Butler,1610612758,38.28,0.18614125112617022
70,202710,Jimmy Butler,1610612741,1542.44,0.3720152651468177
71,2446,Rasual Butler,1610612759,160.04000000000002,0.17901014184958924
72,203998,Bruno Caboclo,1610612761,3.0,0.3481175863847344
73,101181,Jose Calderon,1610612752,1033.96,0.29001468505614364
74,203484,Kentavious Caldwell-Pope,1610612765,1130.72,0.2410162964971569
75,203477,Isaiah Canaan,1610612755,935.08,0.2771581089683986
76,203991,Clint Capela,1610612745,654.52,0.24705247721099208
77,201960,DeMarre Carroll,1610612761,384.02,0.23533043159983116
78,1713,Vince Carter,1610612763,329.88,0.24404962440245856
79,203487,Michael Carter-Williams,1610612749,1394.28,0.38016947939212675
80,201956,Omri Casspi,1610612758,798.04,0.22315183756313509
81,1626161,Willie Cauley-Stein,1610612758,399.44,0.1853259174808505
82,201596,Mario Chalmers,1610612763,1044.02,0.38561575495294864
