gameid,gameid_num,away,home,tm,line,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20141207MILDAL,0021400298,MIL,DAL,DAL,-500,total,,240,49,84,12,31,15,19,,8,28,36,29,14,14,11,8,4,125
20141207PORNYK,0021400299,POR,NYK,POR,-280,total,,240,36,85,10,28,21,29,,16,28,44,21,17,8,9,2,4,103
20141207PORNYK,0021400299,POR,NYK,NYK,240,total,,240,41,79,5,19,12,14,,4,33,37,20,23,6,13,4,2,99
20141207NOPLAL,0021400300,NOP,LAL,NOP,125,total,,240,43,83,8,18,10,15,,9,41,50,28,14,2,15,4,6,104
20141207NOPLAL,0021400300,NOP,LAL,LAL,-145,total,,240,36,90,5,19,10,15,,7,27,34,18,15,4,7,6,4,87
20141208ATLIND,0021400301,ATL,IND,ATL,-105,total,,240,40,77,9,21,19,27,,6,41,47,27,20,11,16,7,2,108
20141208ATLIND,0021400301,ATL,IND,IND,-115,total,,240,37,84,9,27,9,17,,8,34,42,23,22,6,17,2,7,92
20141208BOSWAS,0021400302,BOS,WAS,BOS,400,total,,290,47,102,9,22,29,32,,14,32,46,27,30,17,17,4,3,132
20141208BOSWAS,0021400302,BOS,WAS,WAS,-500,total,,290,49,94,7,16,28,34,,11,38,49,32,26,10,23,3,4,133
20141208CLEBKN,0021400303,CLE,BKN,CLE,-400,total,,240,43,90,9,25,15,22,,20,35,55,25,17,10,13,5,2,110
20141208CLEBKN,0021400303,CLE,BKN,BKN,330,total,,240,36,81,4,19,12,19,,10,23,33,25,18,6,12,2,5,88
20141208DENTOR,0021400304,DEN,TOR,DEN,425,total,,265,43,104,10,30,11,15,,19,30,49,21,28,7,13,2,10,107
20141208DENTOR,0021400304,DEN,TOR,TOR,-550,total,,265,41,81,9,33,21,29,,8,36,44,21,16,4,14,10,2,112
20141208GSWMIN,0021400305,GSW,MIN,GSW,-2500,total,,240,42,91,5,22,13,14,,15,36,51,24,18,15,17,6,4,102
20141208GSWMIN,0021400305,GSW,MIN,MIN,1350,total,,240,32,88,2,11,20,29,,18,31,49,22,10,12,19,4,6,86
20141208UTASAC,0021400306,UTA,SAC,UTA,180,total,,240,32,79,3,17,25,37,,11,24,35,20,26,7,13,7,2,92
20141208UTASAC,0021400306,UTA,SAC,SAC,-220,total,,240,35,74,3,8,28,36,,10,35,45,18,24,8,16,2,7,101
20141208PHXLAC,0021400307,PHX,LAC,PHX,290,total,,265,44,91,16,37,16,20,,7,36,43,32,28,9,16,3,5,120
20141208PHXLAC,0021400307,PHX,LAC,LAC,-350,total,,265,44,96,9,31,24,30,,10,35,45,27,22,7,11,5,3,121
20141209TORCLE,0021400308,TOR,CLE,TOR,225,total,,240,42,82,7,23,10,10,,12,23,35,26,24,4,15,3,5,101
20141209TORCLE,0021400308,TOR,CLE,CLE,-265,total,,240,39,79,9,26,18,21,,12,19,31,27,17,4,11,5,3,105
20141209PORDET,0021400309,POR,DET,POR,-380,total,,240,41,84,9,21,7,8,,10,37,47,25,12,4,13,7,2,98
20141209PORDET,0021400309,POR,DET,DET,310,total,,240,34,97,5,22,13,16,,17,30,47,23,8,7,6,2,7,86
20141209DALMEM,0021400310,DAL,MEM,DAL,125,total,,240,38,85,18,40,11,14,,12,31,43,19,22,4,16,7,1,105
20141209DALMEM,0021400310,DAL,MEM,MEM,-145,total,,240,41,85,7,14,25,29,,12,29,41,20,17,10,5,1,7,114
20141209NYKNOP,0021400311,NYK,NOP,NYK,230,total,,240,37,78,9,19,10,13,,6,24,30,19,20,8,13,8,8,93
20141209NYKNOP,0021400311,NYK,NOP,NOP,-270,total,,240,40,80,4,15,20,26,,12,31,43,22,14,7,11,8,8,104
20141209MILOKC,0021400312,MIL,OKC,MIL,450,total,,240,34,84,4,21,29,35,,9,22,31,19,25,8,14,2,6,101
