20141129	IND	CLE
20141129	LAC	UTA
20141129	HOU	MIL
20141130	SAS	BOS
20141130	CHI	BKN
20141130	GSW	DET
20141130	MEM	SAC
20141130	MIA	NYK
20141130	ORL	PHX
20141130	MIN	POR
20141130	TOR	LAL
20141201	SAS	PHI
20141201	MIA	WAS
20141201	DEN	UTA
20141201	MIN	LAC
20141202	MIL	CLE
20141202	BOS	ATL
20141202	LAL	DET
20141202	BKN	NYK
20141202	DAL	CHI
20141202	OKC	NOP
20141202	POR	DEN
20141202	IND	PHX
20141202	TOR	SAC
20141202	ORL	GSW
20141203	CHI	CHA
20141203	LAL	WAS
20141203	DET	BOS
20141203	SAS	BKN
20141203	ATL	MIA
20141203	MEM	HOU
20141203	DAL	MIL
20141203	PHI	MIN
20141203	TOR	UTA
20141203	ORL	LAC
20141204	CLE	NYK
20141204	IND	POR
20141204	NOP	GSW
20141205	NYK	CHA
20141205	OKC	PHI
20141205	DEN	WAS
20141205	LAL	BOS
20141205	ATL	BKN
20141205	CLE	TOR
20141205	SAS	MEM
20141205	HOU	MIN
20141205	PHX	DAL
20141205	MIA	MIL
20141205	ORL	UTA
20141205	IND	SAC
20141206	PHI	DET
20141206	GSW	CHI
20141206	PHX	HOU
20141206	MIN	SAS
20141206	ORL	SAC
20141206	NOP	LAC
20141207	WAS	BOS
20141207	DEN	ATL
20141207	MIA	MEM
20141207	OKC	DET
20141207	MIL	DAL
20141207	POR	NYK
20141207	NOP	LAL
20141208	ATL	IND
20141208	BOS	WAS
20141208	CLE	BKN
20141208	DEN	TOR
20141208	GSW	MIN
20141208	UTA	SAC
20141208	PHX	LAC
20141209	TOR	CLE
20141209	POR	DET
20141209	DAL	MEM
20141209	NYK	NOP
20141209	MIL	OKC
20141209	MIA	PHX
20141209	SAS	UTA
20141209	SAC	LAL
20141210	BOS	CHA
20141210	LAC	IND
20141210	WAS	ORL
20141210	PHI	ATL
20141210	BKN	CHI
20141210	POR	MIN
20141210	NOP	DAL
20141210	NYK	SAS
20141210	HOU	GSW
20141210	MIA	DEN
20141211	CLE	OKC
20141211	HOU	SAC
20141212	POR	CHI
20141212	LAC	WAS
20141212	ORL	ATL
20141212	NYK	BOS
20141212	PHI	BKN
20141212	IND	TOR
20141212	CHA	MEM
20141212	OKC	MIN
20141212	CLE	NOP
20141212	DET	PHX
20141212	MIA	UTA
20141212	LAL	SAS
20141213	GSW	DAL
20141213	BKN	CHA
20141213	POR	IND
20141213	ATL	ORL
20141213	LAC	MIL
20141213	MEM	PHI
20141213	DEN	HOU
20141213	DET	SAC
20141214	GSW	NOP
20141214	CHI	MIA
20141214	UTA	WAS
20141214	LAL	MIN
20141214	PHX	OKC
20141214	TOR	NYK
20141214	SAS	DEN
20141215	CHA	CLE
20141215	LAL	IND
20141215	BOS	PHI
20141215	CHI	ATL
20141215	ORL	TOR
20141215	MIL	PHX
20141215	SAS	POR
20141215	DET	LAC
20141216	MIN	WAS
20141216	MIA	BKN
20141216	GSW	MEM
20141216	UTA	NOP
20141216	DAL	NYK
20141216	OKC	SAC
20141217	PHX	CHA
20141217	ATL	CLE
20141217	ORL	BOS
20141217	DAL	DET
20141217	UTA	MIA
20141217	BKN	TOR
20141217	MEM	SAS
20141217	MIL	POR
20141217	IND	LAC
20141217	HOU	DEN
20141218	NYK	CHI
20141218	NOP	HOU
20141218	MIL	SAC
20141218	OKC	GSW
20141219	UTA	ORL
20141219	CHA	PHI
20141219	MIN	BOS
20141219	BKN	CLE
20141219	TOR	DET
20141219	WAS	MIA
20141219	CHI	MEM
20141219	POR	SAS
20141219	LAC	DEN
20141219	OKC	LAL
20141220	PHX	NYK
20141220	POR	NOP
20141220	UTA	CHA
20141220	ATL	HOU
20141220	SAS	DAL
20141220	IND	DEN
20141220	MIL	LAC
20141221	NYK	TOR
20141221	MEM	CLE
20141221	LAL	SAC
20141221	DET	BKN
20141221	BOS	MIA
20141221	PHI	ORL
20141221	PHX	WAS
20141221	IND	MIN
20141221	NOP	OKC
20141222	DEN	CHA
20141222	TOR	CHI
20141222	POR	HOU
20141222	UTA	MEM
20141222	ATL	DAL
20141222	LAC	SAS
20141222	SAC	GSW
20141223	MIN	CLE
20141223	NOP	IND
20141223	BOS	ORL
20141223	CHI	WAS
20141223	LAC	ATL
20141223	DEN	BKN
20141223	PHI	MIA
20141223	CHA	MIL
20141223	POR	OKC
20141223	DAL	PHX
20141223	GSW	LAL
20141225	WAS	NYK
20141225	OKC	SAS
20141225	CLE	MIA
20141225	LAL	CHI
20141225	GSW	LAC
20141226	BKN	BOS
20141226	CLE	ORL
20141226	MIL	ATL
20141226	IND	DET
20141226	HOU	MEM
20141226	SAS	NOP
20141226	CHA	OKC
20141226	LAL	DAL
20141226	MIN	DEN
20141226	PHI	POR
20141226	PHX	SAC
20141227	TOR	LAC
20141227	ORL	CHA
20141227	BOS	WAS
20141227	MEM	MIA
20141227	NOP	CHI
20141227	IND	BKN
20141227	ATL	MIL
20141227	PHI	UTA
20141227	NYK	SAC
20141227	MIN	GSW
20141228	DET	CLE
20141228	HOU	SAS
20141228	OKC	DAL
20141228	NYK	POR
20141228	TOR	DEN
20141228	PHX	LAL
20141229	MIL	CHA
20141229	CHI	IND
20141229	SAC	BKN
20141229	ORL	MIA
20141229	WAS	HOU
20141229	UTA	LAC
20141230	DET	ORL
20141230	CLE	ATL
20141230	BKN	CHI
20141230	SAS	MEM
20141230	PHX	NOP
20141230	WAS	DAL
20141230	LAL	DEN
20141230	MIN	UTA
20141230	TOR	POR
20141230	PHI	GSW
20141231	SAC	BOS
20141231	MIA	IND
20141231	NYK	LAC
20141231	CHA	HOU
20141231	MIL	CLE
20141231	NOP	SAS
20141231	PHX	OKC
20150101	DEN	CHI
20150101	SAC	MIN
20150102	CLE	CHA
20150102	BKN	ORL
20150102	DAL	BOS
20150102	DET	NYK
20150102	HOU	NOP
20150102	WAS	OKC
20150102	IND	MIL
20150102	PHI	PHX
20150102	ATL	UTA
20150102	TOR	GSW
20150102	MEM	LAL
20150103	CHA	ORL
20150103	BOS	CHI
20150103	MIA	HOU
20150103	UTA	MIN
20150103	WAS	SAS
20150103	MEM	DEN
20150103	ATL	POR
20150103	PHI	LAC
20150104	DAL	CLE
20150104	SAC	DET
20150104	BKN	MIA
20150104	MIL	NYK
20150104	TOR	PHX
20150104	IND	LAL
20150105	CLE	PHI
20150105	CHA	BOS
20150105	DAL	BKN
20150105	HOU	CHI
20150105	NYK	MEM
20150105	DEN	MIN
20150105	WAS	NOP
20150105	IND	UTA
20150105	LAL	POR
20150105	OKC	GSW
20150105	ATL	LAC
20150106	PHX	MIL
20150106	DET	SAS
20150107	NOP	CHA
20150107	HOU	CLE
20150107	MIL	PHI
20150107	NYK	WAS
20150107	MEM	ATL
20150107	BOS	BKN
20150107	UTA	CHI
20150107	DET	DAL
20150107	ORL	DEN
20150107	PHX	MIN
20150107	OKC	SAC
20150107	IND	GSW
20150107	LAL	LAC
20150108	CHA	TOR
20150108	HOU	NYK
20150108	MIA	POR
20150109	BOS	IND
20150109	PHI	BKN
20150109	ATL	DET
20150109	MEM	NOP
20150109	UTA	OKC
20150109	CHI	WAS
20150109	MIN	MIL
20150109	PHX	SAS
20150109	DEN	SAC
20150109	CLE	GSW
20150109	ORL	LAL
20150110	CHA	NYK
20150110	DAL	LAC
20150110	BKN	DET
20150110	IND	PHI
20150110	BOS	TOR
20150110	MIL	CHI
20150110	UTA	HOU
20150110	SAS	MIN
20150110	ORL	POR
20150111	WAS	ATL
20150111	MIA	LAC
20150111	PHX	MEM
20150111	CLE	SAC
20150111	POR	LAL
20150112	NOP	BOS
20150112	HOU	BKN
20150112	DET	TOR
20150112	ORL	CHI
20150113	MIN	IND
20150113	ATL	PHI
20150113	SAS	WAS
20150113	CLE	PHX
20150113	GSW	UTA
20150113	DAL	SAC
