gameid,away,home
20071030UTAGSW,UTA,GSW
20071030HOULAL,HOU,LAL
20071030PORSAS,POR,SAS
20071031DALCLE,DAL,CLE
20071031SEADEN,SEA,DEN
20071031WASIND,WAS,IND
20071031SASMEM,SAS,MEM
20071031CHINJN,CHI,NJN
20071031SACNOH,SAC,NOH
20071031MILORL,MIL,ORL
20071031PHITOR,PHI,TOR
20071101DETMIA,DET,MIA
20071101PHOSEA,PHO,SEA
20071101HOUUTA,HOU,UTA
20071102DALATL,DAL,ATL
20071102WASBOS,WAS,BOS
20071102MILCHA,MIL,CHA
20071102PHICHI,PHI,CHI
20071102NYKCLE,NYK,CLE
20071102MIAIND,MIA,IND
20071102GSWLAC,GSW,LAC
20071102DENMIN,DEN,MIN
20071102TORNJN,TOR,NJN
20071102PORNOH,POR,NOH
20071102DETORL,DET,ORL
20071102LALPHO,LAL,PHO
20071102SACSAS,SAC,SAS
20071103SACDAL,SAC,DAL
20071103PORHOU,POR,HOU
20071103INDMEM,IND,MEM
20071103CHIMIL,CHI,MIL
20071103NJNPHI,NJN,PHI
20071103GSWUTA,GSW,UTA
20071103ORLWAS,ORL,WAS
20071104NOHDEN,NOH,DEN
20071104ATLDET,ATL,DET
20071104SEALAC,SEA,LAC
20071104UTALAL,UTA,LAL
20071104CHAMIA,CHA,MIA
20071104MINNYK,MIN,NYK
20071104CLEPHO,CLE,PHO
20071104BOSTOR,BOS,TOR
20071105HOUDAL,HOU,DAL
20071106PHOCHA,PHO,CHA
20071106LACCHI,LAC,CHI
20071106CLEGSW,CLE,GSW
20071106SASHOU,SAS,HOU
20071106NOHLAL,NOH,LAL
20071106TORMIL,TOR,MIL
20071106ORLMIN,ORL,MIN
20071106ATLNJN,ATL,NJN
20071106DENNYK,DEN,NYK
20071106SEASAC,SEA,SAC
20071107PHOATL,PHO,ATL
20071107DENBOS,DEN,BOS
20071107LACIND,LAC,IND
20071107CHAPHI,CHA,PHI
20071107NOHPOR,NOH,POR
20071107MIASAS,MIA,SAS
20071107MEMSEA,MEM,SEA
20071107ORLTOR,ORL,TOR
20071107CLEUTA,CLE,UTA
20071108DETCHI,DET,CHI
20071108DALGSW,DAL,GSW
20071108WASNJN,WAS,NJN
20071109ATLBOS,ATL,BOS
20071109INDCHA,IND,CHA
20071109LACDET,LAC,DET
20071109MILHOU,MIL,HOU
20071109MINLAL,MIN,LAL
20071109PHOMIA,PHO,MIA
20071109SASNOH,SAS,NOH
20071109ORLNYK,ORL,NYK
20071109TORPHI,TOR,PHI
20071109MEMPOR,MEM,POR
20071109CLESAC,CLE,SAC
20071109UTASEA,UTA,SEA
20071109DENWAS,DEN,WAS
20071110TORCHI,TOR,CHI
20071110DENIND,DEN,IND
20071110BOSNJN,BOS,NJN
20071110PHOORL,PHO,ORL
20071110DALPOR,DAL,POR
20071110MINSAC,MIN,SAC
20071110MEMUTA,MEM,UTA
20071111WASATL,WAS,ATL
20071111HOUCHA,HOU,CHA
20071111CLELAC,CLE,LAC
20071111MIANYK,MIA,NYK
20071111NOHPHI,NOH,PHI
20071111MILSAS,MIL,SAS
20071111DETSEA,DET,SEA
20071112CLEDEN,CLE,DEN
20071112NOHNJN,NOH,NJN
20071112SACUTA,SAC,UTA
20071113MIACHA,MIA,CHA
20071113PHIDAL,PHI,DAL
20071113BOSIND,BOS,IND
20071113HOUMEM,HOU,MEM
20071113SEAORL,SEA,ORL
20071113NYKPHO,NYK,PHO
20071113DETPOR,DET,POR
20071113LALSAS,LAL,SAS
20071114CHAATL,CHA,ATL
20071114NJNBOS,NJN,BOS
20071114ORLCLE,ORL,CLE
20071114PORDEN,POR,DEN
20071114DETGSW,DET,GSW
20071114LALHOU,LAL,HOU
20071114NYKLAC,NYK,LAC
20071114SEAMIA,SEA,MIA
20071114MEMMIL,MEM,MIL
20071114SACMIN,SAC,MIN
20071114PHINOH,PHI,NOH
20071114UTATOR,UTA,TOR
20071114INDWAS,IND,WAS
20071115SASDAL,SAS,DAL
20071115CHIPHO,CHI,PHO
20071116SEAATL,SEA,ATL
20071116MIABOS,MIA,BOS
20071116UTACLE,UTA,CLE
20071116LACGSW,LAC,GSW
20071116DETLAL,DET,LAL
20071116NOHMEM,NOH,MEM
20071116WASMIN,WAS,MIN
20071116ORLNJN,ORL,NJN
20071116PORPHI,POR,PHI
20071116NYKSAC,NYK,SAC
20071116HOUSAS,HOU,SAS
20071116INDTOR,IND,TOR
20071117SEACHA,SEA,CHA
20071117MEMDAL,MEM,DAL
20071117NYKDEN,NYK,DEN
20071117PHOHOU,PHO,HOU
20071117UTAIND,UTA,IND
20071117CHILAC,CHI,LAC
20071117ATLMIL,ATL,MIL
20071117NOHMIN,NOH,MIN
20071117MIANJN,MIA,NJN
20071117PORWAS,POR,WAS
20071118CHILAL,CHI,LAL
20071118BOSORL,BOS,ORL
20071118DETSAC,DET,SAC
20071118GSWTOR,GSW,TOR
20071119PORCHA,POR,CHA
20071119SEAMEM,SEA,MEM
20071119ORLNOH,ORL,NOH
20071119NJNUTA,NJN,UTA
20071120SASATL,SAS,ATL
20071120MILCLE,MIL,CLE
20071120TORDAL,TOR,DAL
20071120CHIDEN,CHI,DEN
20071120LALIND,LAL,IND
20071120GSWNYK,GSW,NYK
20071120PHOSAC,PHO,SAC
20071120PHIWAS,PHI,WAS
20071121GSWBOS,GSW,BOS
20071121WASCHA,WAS,CHA
20071121NYKDET,NYK,DET
20071121DALHOU,DAL,HOU
20071121DENLAC,DEN,LAC
20071121TORMEM,TOR,MEM
20071121ATLMIA,ATL,MIA
20071121LALMIL,LAL,MIL
20071121CLEMIN,CLE,MIN
20071121INDNOH,IND,NOH
20071121SACPHO,SAC,PHO
20071121NJNPOR,NJN,POR
20071121ORLSAS,ORL,SAS
20071123LALBOS,LAL,BOS
20071123MINDEN,MIN,DEN
20071123PHIDET,PHI,DET
20071123DALIND,DAL,IND
20071123HOUMIA,HOU,MIA
20071123CHAORL,CHA,ORL
20071123LACPHO,LAC,PHO
20071123SACPOR,SAC,POR
20071123MEMSAS,MEM,SAS
20071123NJNSEA,NJN,SEA
20071123NOHUTA,NOH,UTA
20071123GSWWAS,GSW,WAS
20071124BOSCHA,BOS,CHA
20071124TORCLE,TOR,CLE
20071124DENHOU,DEN,HOU
20071124NOHLAC,NOH,LAC
20071124WASMEM,WAS,MEM
20071124DALMIL,DAL,MIL
20071124ATLMIN,ATL,MIN
20071124CHINYK,CHI,NYK
20071124MIAORL,MIA,ORL
20071124GSWPHI,GSW,PHI
20071125UTADET,UTA,DET
20071125CLEIND,CLE,IND
20071125NJNLAL,NJN,LAL
20071125SASSEA,SAS,SEA
20071125CHITOR,CHI,TOR
20071126WASDAL,WAS,DAL
20071126PHOGSW,PHO,GSW
20071126HOULAC,HOU,LAC
20071126MINNOH,MIN,NOH
20071126UTANYK,UTA,NYK
20071126ORLPOR,ORL,POR
20071126SASSAC,SAS,SAC
