gameid,away,home
20141122WASMIL,WAS,MIL
20141122SACMIN,SAC,MIN
20141122PHINYK,PHI,NYK
20141122MIAORL,MIA,ORL
20141122BKNSAS,BKN,SAS
20141122NOPUTA,NOP,UTA
20141123PORBOS,POR,BOS
20141123DENLAL,DEN,LAL
20141123LACMEM,LAC,MEM
20141123CHAMIA,CHA,MIA
20141123GSWOKC,GSW,OKC
20141124LACCHA,LAC,CHA
20141124ORLCLE,ORL,CLE
20141124INDDAL,IND,DAL
20141124NYKHOU,NYK,HOU
20141124PORPHI,POR,PHI
20141124PHXTOR,PHX,TOR
20141124CHIUTA,CHI,UTA
20141125CHIDEN,CHI,DEN
20141125GSWMIA,GSW,MIA
20141125DETMIL,DET,MIL
20141125SACNOP,SAC,NOP
20141125ATLWAS,ATL,WAS
20141126TORATL,TOR,ATL
20141126PORCHA,POR,CHA
20141126WASCLE,WAS,CLE
20141126NYKDAL,NYK,DAL
20141126LACDET,LAC,DET
20141126SACHOU,SAC,HOU
20141126MEMLAL,MEM,LAL
20141126MILMIN,MIL,MIN
20141126UTAOKC,UTA,OKC
20141126GSWORL,GSW,ORL
20141126BKNPHI,BKN,PHI
20141126DENPHX,DEN,PHX
20141126INDSAS,IND,SAS
20141128NOPATL,NOP,ATL
20141128CHIBOS,CHI,BOS
20141128GSWCHA,GSW,CHA
20141128PHXDEN,PHX,DEN
20141128MILDET,MIL,DET
20141128LACHOU,LAC,HOU
20141128ORLIND,ORL,IND
20141128MINLAL,MIN,LAL
20141128NYKOKC,NYK,OKC
20141128MEMPOR,MEM,POR
20141128SACSAS,SAC,SAS
20141128DALTOR,DAL,TOR
20141129CHAATL,CHA,ATL
20141129INDCLE,IND,CLE
20141129HOUMIL,HOU,MIL
20141129DALPHI,DAL,PHI
20141129LACUTA,LAC,UTA
20141129NOPWAS,NOP,WAS
20141130SASBOS,SAS,BOS
20141130CHIBKN,CHI,BKN
20141130GSWDET,GSW,DET
20141130TORLAL,TOR,LAL
20141130MIANYK,MIA,NYK
20141130ORLPHX,ORL,PHX
20141130MINPOR,MIN,POR
20141130MEMSAC,MEM,SAC
20141201MINLAC,MIN,LAC
20141201SASPHI,SAS,PHI
20141201DENUTA,DEN,UTA
20141201MIAWAS,MIA,WAS
20141202BOSATL,BOS,ATL
20141202DALCHI,DAL,CHI
20141202MILCLE,MIL,CLE
20141202PORDEN,POR,DEN
20141202LALDET,LAL,DET
20141202ORLGSW,ORL,GSW
20141202OKCNOP,OKC,NOP
20141202BKNNYK,BKN,NYK
20141202INDPHX,IND,PHX
20141202TORSAC,TOR,SAC
20141203DETBOS,DET,BOS
20141203SASBKN,SAS,BKN
20141203CHICHA,CHI,CHA
20141203MEMHOU,MEM,HOU
20141203ORLLAC,ORL,LAC
20141203ATLMIA,ATL,MIA
20141203DALMIL,DAL,MIL
20141203PHIMIN,PHI,MIN
20141203TORUTA,TOR,UTA
20141203LALWAS,LAL,WAS
20141204NOPGSW,NOP,GSW
20141204CLENYK,CLE,NYK
20141204INDPOR,IND,POR
20141205LALBOS,LAL,BOS
20141205ATLBKN,ATL,BKN
20141205NYKCHA,NYK,CHA
20141205PHXDAL,PHX,DAL
20141205SASMEM,SAS,MEM
20141205MIAMIL,MIA,MIL
20141205HOUMIN,HOU,MIN
20141205OKCPHI,OKC,PHI
20141205INDSAC,IND,SAC
20141205CLETOR,CLE,TOR
20141205ORLUTA,ORL,UTA
20141205DENWAS,DEN,WAS
20141206GSWCHI,GSW,CHI
20141206PHIDET,PHI,DET
20141206PHXHOU,PHX,HOU
20141206NOPLAC,NOP,LAC
20141206ORLSAC,ORL,SAC
20141206MINSAS,MIN,SAS
20141207DENATL,DEN,ATL
20141207WASBOS,WAS,BOS
20141207MILDAL,MIL,DAL
20141207OKCDET,OKC,DET
20141207NOPLAL,NOP,LAL
20141207MIAMEM,MIA,MEM
20141207PORNYK,POR,NYK
20141208CLEBKN,CLE,BKN
20141208ATLIND,ATL,IND
20141208PHXLAC,PHX,LAC
20141208GSWMIN,GSW,MIN
20141208UTASAC,UTA,SAC
20141208DENTOR,DEN,TOR
20141208BOSWAS,BOS,WAS
20141209TORCLE,TOR,CLE
20141209PORDET,POR,DET
20141209SACLAL,SAC,LAL
20141209DALMEM,DAL,MEM
20141209NYKNOP,NYK,NOP
20141209MILOKC,MIL,OKC
20141209MIAPHX,MIA,PHX
20141209SASUTA,SAS,UTA
20141210PHIATL,PHI,ATL
20141210BKNCHI,BKN,CHI
20141210BOSCHA,BOS,CHA
20141210NOPDAL,NOP,DAL
20141210MIADEN,MIA,DEN
20141210HOUGSW,HOU,GSW
20141210LACIND,LAC,IND
20141210PORMIN,POR,MIN
20141210WASORL,WAS,ORL
20141210NYKSAS,NYK,SAS
20141211CLEOKC,CLE,OKC
20141211HOUSAC,HOU,SAC
