gameid_espn,gameid
400489113,20131129LACSAC
400489114,20131130ATLWAS
400489115,20131130CHICLE
400489116,20131130BKNMEM
400489117,20131130MINDAL
400489118,20131130HOUSAS
400489119,20131130UTAPHX
400489120,20131130BOSMIL
400489121,20131201DENTOR
400489122,20131201INDLAC
400489123,20131201PHIDET
400489124,20131201GSWSAC
400489125,20131201CHAMIA
400489126,20131201MINOKC
400489127,20131201NOPNYK
400489128,20131201PORLAL
400489129,20131202ORLWAS
400489130,20131202NOPCHI
400489131,20131202ATLSAS
400489132,20131202HOUUTA
400489133,20131202INDPOR
400489134,20131203ORLPHI
400489135,20131203MILBOS
400489136,20131203DENBKN
400489137,20131203DETMIA
400489138,20131203PHXMEM
400489139,20131203CHADAL
400489140,20131203OKCSAC
400489141,20131203TORGSW
400489142,20131204DENCLE
400489143,20131204LACATL
400489144,20131204PHXHOU
400489145,20131204DETMIL
400489146,20131204DALNOP
400489147,20131204INDUTA
400489148,20131204SASMIN
400489149,20131204OKCPOR
400489150,20131205NYKBKN
400489151,20131205LACMEM
400489152,20131205MIACHI
400489153,20131206PHICHA
400489154,20131206MILWAS
400489155,20131206CLEATL
400489156,20131206DENBOS
400489157,20131206ORLNYK
400489158,20131206GSWHOU
400489159,20131206OKCNOP
400489160,20131206TORPHX
400489161,20131206UTAPOR
400489162,20131206LALSAC
400489163,20131207DENPHI
400489164,20131207LACCLE
400489165,20131207DETCHI
400489166,20131207GSWMEM
400489167,20131207MIAMIN
400489168,20131207BKNMIL
400489169,20131207INDSAS
400489170,20131207SACUTA
400489171,20131207DALPOR
400489172,20131208BOSNYK
400489173,20131208MIADET
400489174,20131208ORLHOU
400489175,20131208INDOKC
400489176,20131208TORLAL
400489177,20131209GSWCHA
400489178,20131209LACPHI
400489179,20131209DENWAS
400489180,20131209ORLMEM
400489181,20131209PORUTA
400489182,20131209DALSAC
400489183,20131210NYKCLE
400489184,20131210MIAIND
400489185,20131210SASTOR
400489186,20131210OKCATL
400489187,20131210BOSBKN
400489188,20131210MINDET
400489189,20131210MILCHI
400489190,20131210PHXLAL
400489191,20131211ORLCHA
400489192,20131211LACBOS
400489193,20131211OKCMEM
400489194,20131211SASMIL
400489195,20131211PHIMIN
400489196,20131211DETNOP
400489197,20131211CHINYK
400489198,20131211UTASAC
400489199,20131211DALGSW
400489200,20131212LACBKN
400489201,20131212HOUPOR
400489202,20131213CHAIND
400489203,20131213CLEORL
400489204,20131213PHITOR
400489205,20131213WASATL
400489206,20131213NYKBOS
400489207,20131213BKNDET
400489208,20131213MEMNOP
400489209,20131213LALOKC
400489210,20131213CHIMIL
400489211,20131213MINSAS
400489212,20131213UTADEN
400489213,20131213SACPHX
400489214,20131213HOUGSW
400489215,20131214LALCHA
400489216,20131214LACWAS
400489217,20131214CLEMIA
400489218,20131214ATLNYK
400489219,20131214TORCHI
400489220,20131214PORPHI
400489221,20131214MILDAL
400489222,20131214SASUTA
400489223,20131215HOUSAC
400489224,20131215MINMEM
400489225,20131215PORDET
400489226,20131215ORLOKC
400489227,20131215NOPDEN
400489228,20131215GSWPHX
400489229,20131216DETIND
400489230,20131216LALATL
400489231,20131216MINBOS
400489232,20131216PHIBKN
400489233,20131216UTAMIA
400489234,20131216WASNYK
400489235,20131216ORLCHI
400489236,20131216SASLAC
400489237,20131217SACCHA
400489238,20131217PORCLE
400489239,20131217LALMEM
400489240,20131217OKCDEN
400489241,20131217NOPGSW
400489242,20131218INDMIA
400489243,20131218UTAORL
400489244,20131218CHATOR
400489245,20131218SACATL
400489246,20131218DETBOS
400489247,20131218WASBKN
400489248,20131218NYKMIL
400489249,20131218PORMIN
400489250,20131218MEMDAL
400489251,20131218SASPHX
400489252,20131218CHIHOU
400489253,20131218NOPLAC
400489254,20131219CHIOKC
400489255,20131219SASGSW
400489256,20131220BKNPHI
400489257,20131220UTAATL
400489258,20131220MILCLE
400489259,20131220CHADET
400489260,20131220SACMIA
400489261,20131220HOUIND
400489262,20131220TORDAL
400489263,20131220PHXDEN
400489264,20131220MINLAL
400489265,20131221MEMNYK
400489266,20131221WASBOS
400489267,20131221UTACHA
400489268,20131221SACORL
400489269,20131221HOUDET
400489270,20131221CLECHI
400489271,20131221PHIMIL
400489272,20131221OKCSAS
400489273,20131221DALPHX
400489274,20131221NOPPOR
400489275,20131221LALGSW
400489276,20131221DENLAC
400489277,20131222BOSIND
400489278,20131222TOROKC
400489279,20131222MINLAC
400489280,20131223MILCHA
400489281,20131223DETCLE
400489282,20131223NYKORL
400489283,20131223INDBKN
400489284,20131223ATLMIA
400489285,20131223DALHOU
400489286,20131223UTAMEM
400489287,20131223TORSAS
400489288,20131223GSWDEN
400489289,20131223LALPHX
400489290,20131223NOPSAC
400489291,20131225CHIBKN
400489292,20131225OKCNYK
400489293,20131225MIALAL
400489294,20131225HOUSAS
400489295,20131225LACGSW
400489296,20131226ATLCLE
400489297,20131226MEMHOU
400489298,20131226SASDAL
400489299,20131226LACPOR
400489300,20131227OKCCHA
400489301,20131227DETORL
400489302,20131227MILBKN
400489303,20131227TORNYK
400489304,20131227WASMIN
400489305,20131227DENNOP
400489306,20131227LALUTA
400489307,20131227MIASAC
400489308,20131227PHXGSW
400489309,20131228CLEBOS
400489310,20131228BKNIND
400489311,20131228NYKTOR
400489312,20131228DETWAS
400489313,20131228CHAATL
400489314,20131228DALCHI
400489315,20131228NOPHOU
400489316,20131228DENMEM
400489317,20131228MINMIL
400489318,20131228PHIPHX
400489319,20131228MIAPOR
400489320,20131228UTALAC
400489321,20131229GSWCLE
400489322,20131229ATLORL
400489323,20131229HOUOKC
400489324,20131229SACSAS
400489325,20131229PHILAL
400489326,20131230WASDET
400489327,20131230CHIMEM
400489328,20131230DALMIN
400489329,20131230PORNOP
400489330,20131230MIADEN
400489331,20131230CHAUTA
400489332,20131230PHXLAC
400489333,20131231ATLBOS
400489334,20131231CLEIND
400489335,20131231GSWORL
400489336,20131231TORCHI
400489337,20131231SACHOU
400489338,20131231BKNSAS
400489339,20131231POROKC
400489340,20131231MILLAL
400489341,20140101DALWAS
400489342,20140101INDTOR
400489343,20140101NOPMIN
400489344,20140101PHIDEN
400489345,20140101CHALAC
400489346,20140102ORLCLE
400489347,20140102GSWMIA
400489348,20140102BOSCHI
400489349,20140102BKNOKC
400489350,20140102NYKSAS
400489351,20140102MEMPHX
400489352,20140102MILUTA
400489353,20140102CHAPOR
400489354,20140102PHISAC
400489355,20140103TORWAS
400489356,20140103GSWATL
400489357,20140103NOPBOS
400489358,20140103NYKHOU
400489359,20140103LACDAL
400489360,20140103MEMDEN
400489361,20140103UTALAL
400489362,20140104NOPIND
400489363,20140104MIAORL
400489364,20140104CLEBKN
400489365,20140104ATLCHI
400489366,20140104OKCMIN
400489367,20140104LACSAS
400489368,20140104MILPHX
400489369,20140104PHIPOR
400489370,20140104CHASAC
400489371,20140105MEMDET
400489372,20140105INDCLE
400489373,20140105TORMIA
400489374,20140105GSWWAS
400489375,20140105BOSOKC
400489376,20140105NYKDAL
400489377,20140105DENLAL
400489378,20140106MINPHI
400489379,20140106ATLBKN
400489380,20140106ORLLAC
400489381,20140107WASCHA
400489382,20140107PHICLE
400489383,20140107TORIND
400489384,20140107NOPMIA
400489385,20140107DETNYK
400489386,20140107PHXCHI
400489387,20140107SASMEM
400489388,20140107GSWMIL
400489389,20140107LALDAL
400489390,20140107BOSDEN
400489391,20140107OKCUTA
400489392,20140107PORSAC
400489393,20140108DALSAS
400489394,20140108DETTOR
400489395,20140108INDATL
400489396,20140108GSWBKN
400489397,20140108PHXMIN
400489398,20140108WASNOP
400489399,20140108LALHOU
400489400,20140108ORLPOR
400489401,20140108BOSLAC
400489402,20140109MIANYK
400489403,20140109OKCDEN
400489404,20140110WASIND
400489405,20140110DETPHI
400489406,20140110HOUATL
400489407,20140110PHXMEM
400489408,20140110CHAMIN
400489409,20140110DALNOP
400489410,20140110MIABKN
400489411,20140110CHIMIL
400489412,20140110CLEUTA
400489413,20140110ORLSAC
400489414,20140110BOSGSW
400489415,20140110LALLAC
400489416,20140111BKNTOR
400489417,20140111HOUWAS
400489418,20140111PHXDET
400489419,20140111NYKPHI
400489420,20140111CHACHI
400489421,20140111MILOKC
400489422,20140111NOPDAL
400489423,20140111ORLDEN
400489424,20140111BOSPOR
400489425,20140112CLESAC
400489426,20140112ATLMEM
400489427,20140112MINSAS
400489428,20140113MILTOR
400489429,20140113HOUBOS
400489430,20140113PHXNYK
400489431,20140113WASCHI
400489432,20140113SASNOP
400489433,20140113ORLDAL
400489434,20140113DENUTA
400489435,20140114NYKCHA
400489436,20140114SACIND
400489437,20140114OKCMEM
400489438,20140114CLELAL
400489439,20140115CHIORL
400489440,20140115CHAPHI
400489441,20140115MIAWAS
400489442,20140115TORBOS
400489443,20140115MEMMIL
400489444,20140115SACMIN
400489445,20140115HOUNOP
400489446,20140115UTASAS
400489447,20140115LALPHX
400489448,20140115CLEPOR
400489449,20140115DENGSW
400489450,20140115DALLAC
400489451,20140116NYKIND
400489452,20140116BKNATL
400489453,20140116OKCHOU
400489454,20140117LACNYK
400489455,20140117CHAORL
400489456,20140117MIAPHI
400489457,20140117MINTOR
400489458,20140117CHIWAS
400489459,20140117LALBOS
400489460,20140117UTADET
400489461,20140117SACMEM
400489462,20140117PORSAS
400489463,20140117CLEDEN
400489464,20140117DALPHX
400489465,20140117GSWOKC
400489466,20140118MIACHA
400489467,20140118LACIND
400489468,20140118DETWAS
400489469,20140118PHICHI
400489470,20140118MILHOU
400489471,20140118UTAMIN
400489472,20140118GSWNOP
400489473,20140118PORDAL
400489474,20140119LALTOR
400489475,20140119BOSORL
400489476,20140119SACOKC
400489477,20140119MILSAS
400489478,20140119DENPHX
400489479,20140120DALCLE
400489480,20140120LACDET
400489481,20140120TORCHA
400489482,20140120PHIWAS
400489483,20140120BKNNYK
400489484,20140120NOPMEM
400489485,20140120MIAATL
400489486,20140120LALCHI
400489487,20140120PORHOU
400489488,20140120INDGSW
400489489,20140121ORLBKN
400489490,20140121BOSMIA
400489491,20140121SACNOP
400489492,20140121POROKC
400489493,20140121MINUTA
400489494,20140122LACCHA
400489495,20140122CHICLE
400489496,20140122ATLORL
400489497,20140122DALTOR
400489498,20140122BOSWAS
400489499,20140122PHINYK
400489500,20140122SACHOU
400489501,20140122DETMIL
400489502,20140122INDPHX
400489503,20140122OKCSAS
400489504,20140123LALMIA
400489505,20140123DENPOR
400489506,20140124LALORL
400489507,20140124TORPHI
400489508,20140124SASATL
400489509,20140124OKCBOS
400489510,20140124DALBKN
400489511,20140124MILCLE
400489512,20140124NOPDET
400489513,20140124CHANYK
400489514,20140124LACCHI
400489515,20140124MEMHOU
400489516,20140124WASPHX
400489517,20140124INDSAC
400489518,20140124MINGSW
400489519,20140125CHICHA
400489520,20140125LACTOR
400489521,20140125OKCPHI
400489522,20140125HOUMEM
400489523,20140125ATLMIL
400489524,20140125INDDEN
400489525,20140125WASUTA
400489526,20140125MINPOR
400489527,20140126SASMIA
400489528,20140126LALNYK
400489529,20140126ORLNOP
400489530,20140126PHXCLE
400489531,20140126BKNBOS
400489532,20140126DETDAL
400489533,20140126PORGSW
400489534,20140126DENSAC
400489535,20140127PHXPHI
400489536,20140127TORBKN
400489537,20140127MINCHI
400489538,20140127LACMIL
400489539,20140127ATLOKC
400489540,20140127SACUTA
400489541,20140128NOPCLE
400489542,20140128ORLDET
400489543,20140128BOSNYK
400489544,20140128SASHOU
400489545,20140128MEMPOR
400489546,20140128WASGSW
400489547,20140128INDLAL
400489548,20140129OKCMIA
400489549,20140129ORLTOR
400489550,20140129DETATL
400489551,20140129PHIBOS
400489552,20140129PHXMIL
400489553,20140129NOPMIN
400489554,20140129HOUDAL
400489555,20140129CHADEN
400489556,20140129CHISAS
400489557,20140129MEMSAC
400489558,20140129WASLAC
400489559,20140130PHXIND
400489560,20140130CLENYK
400489561,20140130LACGSW
400489562,20140131MILORL
400489563,20140131ATLPHI
400489564,20140131MEMMIN
400489565,20140131OKCBKN
400489566,20140131SACDAL
400489567,20140131TORDEN
400489568,20140131CHALAL
400489569,20140131GSWUTA
400489570,20140201BKNIND
400489571,20140201OKCWAS
400489572,20140201MINATL
400489573,20140201PHIDET
400489574,20140201CLEHOU
400489575,20140201MILMEM
400489576,20140201CHINOP
400489577,20140201SACSAS
400489578,20140201MIANYK
400489579,20140201CHAPHX
400489580,20140201TORPOR
400489581,20140201UTALAC
400489582,20140202ORLBOS
400489583,20140203ORLIND
400489584,20140203PORWAS
400489585,20140203PHIBKN
400489586,20140203DETMIA
400489587,20140203NYKMIL
400489588,20140203SASNOP
400489589,20140203MEMOKC
400489590,20140203CLEDAL
400489591,20140203LACDEN
400489592,20140203TORUTA
400489593,20140203CHISAC
400489594,20140204INDATL
400489595,20140204LALMIN
400489596,20140204CHIPHX
400489597,20140204CHAGSW
400489598,20140205LALCLE
400489599,20140205BOSPHI
400489600,20140205SASWAS
400489601,20140205PORNYK
400489602,20140205PHXHOU
400489603,20140205DALMEM
400489604,20140205ATLNOP
400489605,20140205MINOKC
400489606,20140205DETORL
400489607,20140205MILDEN
400489608,20140205TORSAC
400489609,20140205MIALAC
400489610,20140206SASBKN
400489611,20140206CHIGSW
400489612,20140207PORIND
400489613,20140207OKCORL
400489614,20140207LALPHI
400489615,20140207CLEWAS
400489616,20140207SACBOS
400489617,20140207BKNDET
400489618,20140207DENNYK
400489619,20140207UTADAL
400489620,20140207MINNOP
400489621,20140207TORLAC
400489622,20140208SASCHA
400489623,20140208MEMATL
400489624,20140208DENDET
400489625,20140208PORMIN
400489626,20140208HOUMIL
400489627,20140208GSWPHX
400489628,20140208MIAUTA
400489629,20140209NYKOKC
400489630,20140209CHILAL
400489631,20140209DALBOS
400489632,20140209NOPBKN
400489633,20140209MEMCLE
400489634,20140209INDORL
400489635,20140209SACWAS
400489636,20140209PHILAC
400489637,20140210DENIND
400489638,20140210NOPTOR
400489639,20140210SASDET
400489640,20140210BOSMIL
400489641,20140210HOUMIN
400489642,20140210PHIGSW
400489643,20140211DALCHA
400489644,20140211SACCLE
400489645,20140211ATLCHI
400489646,20140211WASMEM
400489647,20140211MIAPHX
400489648,20140211OKCPOR
400489649,20140211UTALAL
400489650,20140212DALIND
400489651,20140212MEMORL
400489652,20140212ATLTOR
400489653,20140212SASBOS
400489654,20140212CHABKN
400489655,20140212CLEDET
400489656,20140212SACNYK
400489657,20140212WASHOU
400489658,20140212NOPMIL
400489659,20140212DENMIN
400489660,20140212PHIUTA
400489661,20140212MIAGSW
400489662,20140212PORLAC
400489663,20140213BKNCHI
400489664,20140213OKCLAL
400489665,20140218ATLIND
400489666,20140218CLEPHI
400489667,20140218TORWAS
400489668,20140218CHADET
400489669,20140218NYKMEM
400489670,20140218ORLMIL
400489671,20140218MIADAL
400489672,20140218PHXDEN
400489673,20140218SASLAC
400489674,20140219DETCHA
400489675,20140219ORLCLE
400489676,20140219CHITOR
400489677,20140219WASATL
400489678,20140219INDMIN
400489679,20140219NYKNOP
400489680,20140219BOSPHX
400489681,20140219BKNUTA
400489682,20140219SASPOR
400489683,20140219GSWSAC
400489684,20140219HOULAL
400489685,20140220DENMIL
400489686,20140220MIAOKC
400489687,20140220HOUGSW
400489688,20140221NOPCHA
400489689,20140221NYKORL
400489690,20140221DALPHI
400489691,20140221CLETOR
400489692,20140221ATLDET
400489693,20140221DENCHI
400489694,20140221LACMEM
400489695,20140221SASPHX
400489696,20140221UTAPOR
400489697,20140221BOSLAL
400489698,20140222MEMCHA
400489699,20140222NOPWAS
400489700,20140222NYKATL
400489701,20140222DALDET
400489702,20140222INDMIL
400489703,20140222MINUTA
400489704,20140222BOSSAC
400489705,20140222BKNGSW
400489706,20140223LACOKC
400489707,20140223CHIMIA
400489708,20140223WASCLE
400489709,20140223ORLTOR
400489710,20140223SACDEN
400489711,20140223HOUPHX
400489712,20140223BKNLAL
400489713,20140223MINPOR
400489714,20140224MILPHI
400489715,20140224GSWDET
400489716,20140224DALNYK
400489717,20140224LACNOP
400489718,20140224BOSUTA
400489719,20140225TORCLE
400489720,20140225LALIND
400489721,20140225ORLWAS
400489722,20140225CHIATL
400489723,20140225PORDEN
400489724,20140225MINPHX
400489725,20140225HOUSAC
400489726,20140226ORLPHI
400489727,20140226ATLBOS
400489728,20140226GSWCHI
400489729,20140226NOPDAL
400489730,20140226LALMEM
400489731,20140226CLEOKC
400489732,20140226DETSAS
400489733,20140226PHXUTA
400489734,20140226BKNPOR
400489735,20140226HOULAC
400489736,20140227MILIND
400489737,20140227WASTOR
400489738,20140227NYKMIA
400489739,20140227BKNDEN
400489740,20140228UTACLE
400489741,20140228MEMOKC
400489742,20140228GSWNYK
400489743,20140228CHIDAL
400489744,20140228CHASAS
400489745,20140228SACLAL
400489746,20140228NOPPHX
400489747,20140301ORLMIA
400489748,20140301WASPHI
400489749,20140301DETHOU
400489750,20140301INDBOS
400489751,20140301BKNMIL
400489752,20140301CLEMEM
400489753,20140301DENPOR
400489754,20140301MINSAC
400489755,20140301NOPLAC
400489756,20140302NYKCHI
400489757,20140302GSWTOR
400489758,20140302UTAIND
400489759,20140302PHIORL
400489760,20140302CHAOKC
400489761,20140302DALSAS
400489762,20140302ATLPHX
400489763,20140303MEMWAS
400489764,20140303CHIBKN
400489765,20140303NYKDET
400489766,20140303CHAMIA
400489767,20140303UTAMIL
400489768,20140303MINDEN
400489769,20140303LALPOR
400489770,20140303NOPSAC
400489771,20140304SASCLE
400489772,20140304GSWIND
400489773,20140304MIAHOU
400489774,20140304PHIOKC
400489775,20140304LACPHX
400489776,20140304NOPLAL
400489777,20140305INDCHA
400489778,20140305HOUORL
400489779,20140305UTAWAS
400489780,20140305GSWBOS
400489781,20140305MEMBKN
400489782,20140305CHIDET
400489783,20140305SACMIL
400489784,20140305NYKMIN
400489785,20140305DALDEN
400489786,20140305ATLPOR
400489787,20140306MIASAS
400489788,20140306OKCPHX
400489789,20140306LACLAL
400489790,20140307MEMCHI
400489791,20140307CLECHA
400489792,20140307SACTOR
400489793,20140307BKNBOS
400489794,20140307UTANYK
400489795,20140307DETMIN
400489796,20140307MILNOP
400489797,20140307PORDAL
400489798,20140307LALDEN
400489799,20140307INDHOU
400489800,20140307ATLGSW
400489801,20140308NYKCLE
400489802,20140308UTAPHI
400489803,20140308CHAMEM
400489804,20140308WASMIL
400489805,20140308ORLSAS
400489806,20140308ATLLAC
400489807,20140309MIACHI
400489808,20140309OKCLAL
400489809,20140309DENNOP
400489810,20140309DETBOS
400489811,20140309SACBKN
400489812,20140309PORHOU
400489813,20140309TORMIN
400489814,20140309INDDAL
400489815,20140309PHXGSW
400489816,20140310DENCHA
400489817,20140310TORBKN
400489818,20140310WASMIA
400489819,20140310PHINYK
400489820,20140310ORLMIL
400489821,20140310ATLUTA
400489822,20140310PHXLAC
400489823,20140311BOSIND
400489824,20140311SACDET
400489825,20140311SASCHI
400489826,20140311PORMEM
400489827,20140311MILMIN
400489828,20140311HOUOKC
400489829,20140311DALGSW
400489830,20140312BKNMIA
400489831,20140312DENORL
400489832,20140312SACPHI
400489833,20140312DETTOR
400489834,20140312CHAWAS
400489835,20140312NYKBOS
400489836,20140312MEMNOP
400489837,20140312DALUTA
400489838,20140312PORSAS
400489839,20140312CLEPHX
400489840,20140312GSWLAC
400489841,20140313HOUCHI
400489842,20140313MILATL
400489843,20140313LALOKC
400489844,20140314MINCHA
400489845,20140314WASORL
400489846,20140314INDPHI
400489847,20140314MEMTOR
400489848,20140314PHXBOS
400489849,20140314DENMIA
400489850,20140314PORNOP
400489851,20140314LALSAS
400489852,20140314LACUTA
400489853,20140314CLEGSW
400489854,20140315MILNYK
400489855,20140315BKNWAS
400489856,20140315DENATL
400489857,20140315INDDET
400489858,20140315MEMPHI
400489859,20140315SACCHI
400489860,20140316CHAMIL
400489861,20140316PHXTOR
400489862,20140316HOUMIA
400489863,20140316BOSNOP
400489864,20140316SACMIN
400489865,20140316DALOKC
400489866,20140316UTASAS
400489867,20140316GSWPOR
400489868,20140316CLELAC
400489869,20140317ATLCHA
400489870,20140317PHIIND
400489871,20140317PHXBKN
400489872,20140317OKCCHI
400489873,20140317UTAHOU
400489874,20140317BOSDAL
400489875,20140317LACDEN
400489876,20140318MIACLE
400489877,20140318TORATL
400489878,20140318MILPOR
400489879,20140318WASSAC
400489880,20140318ORLGSW
400489881,20140319CHIPHI
400489882,20140319MIABOS
400489883,20140319CHABKN
400489884,20140319UTAMEM
400489885,20140319TORNOP
400489886,20140319INDNYK
400489887,20140319MINDAL
400489888,20140319DETDEN
400489889,20140319ORLPHX
400489890,20140319SASLAL
400489891,20140320OKCCLE
400489892,20140320MINHOU
400489893,20140320WASPOR
400489894,20140320MILGSW
400489895,20140321CHIIND
400489896,20140321NYKPHI
400489897,20140321OKCTOR
400489898,20140321NOPATL
400489899,20140321BOSBKN
400489900,20140321MEMMIA
400489901,20140321DENDAL
400489902,20140321DETPHX
400489903,20140321SASSAC
400489904,20140321WASLAL
400489905,20140322PORCHA
400489906,20140322HOUCLE
400489907,20140322PHICHI
400489908,20140322INDMEM
400489909,20140322MIANOP
