gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19811030WSBBOS,19811030,WSB,BOS,WSB,25,18,36,21,,,,100
19811030WSBBOS,19811030,WSB,BOS,BOS,31,31,35,27,,,,124
19811030GSWDEN,19811030,GSW,DEN,GSW,28,38,24,31,,,,121
19811030GSWDEN,19811030,GSW,DEN,DEN,36,40,27,31,,,,134
19811030MILDET,19811030,MIL,DET,MIL,38,24,36,15,,,,113
19811030MILDET,19811030,MIL,DET,DET,24,36,34,24,,,,118
19811030CHIIND,19811030,CHI,IND,CHI,21,20,26,27,,,,94
19811030CHIIND,19811030,CHI,IND,IND,18,17,28,33,,,,96
19811030SASKCK,19811030,SAS,KCK,SAS,29,33,25,26,,,,113
19811030SASKCK,19811030,SAS,KCK,KCK,22,20,25,35,,,,102
19811030HOULAL,19811030,HOU,LAL,HOU,27,25,26,18,8,9,,113
19811030HOULAL,19811030,HOU,LAL,LAL,24,23,28,21,8,8,,112
19811030NYKNJN,19811030,NYK,NJN,NYK,19,31,29,24,,,,103
19811030NYKNJN,19811030,NYK,NJN,NJN,25,21,28,25,,,,99
19811030CLEPHI,19811030,CLE,PHI,CLE,26,28,26,24,,,,104
19811030CLEPHI,19811030,CLE,PHI,PHI,34,32,35,27,,,,128
19811030PHOPOR,19811030,PHO,POR,PHO,22,24,25,24,,,,95
19811030PHOPOR,19811030,PHO,POR,POR,28,25,24,26,,,,103
19811030DALUTA,19811030,DAL,UTA,DAL,27,19,19,24,,,,89
19811030DALUTA,19811030,DAL,UTA,UTA,23,23,31,28,,,,105
19811031PHIATL,19811031,PHI,ATL,PHI,24,22,36,26,,,,108
19811031PHIATL,19811031,PHI,ATL,ATL,19,27,28,32,,,,106
19811031DETCHI,19811031,DET,CHI,DET,32,27,24,36,,,,119
19811031DETCHI,19811031,DET,CHI,CHI,25,30,22,29,,,,106
19811031KCKDAL,19811031,KCK,DAL,KCK,21,21,26,21,,,,89
19811031KCKDAL,19811031,KCK,DAL,DAL,23,27,23,22,,,,95
19811031UTAGSW,19811031,UTA,GSW,UTA,19,18,25,29,,,,91
19811031UTAGSW,19811031,UTA,GSW,GSW,26,28,28,24,,,,106
19811031BOSMIL,19811031,BOS,MIL,BOS,22,22,36,23,,,,103
19811031BOSMIL,19811031,BOS,MIL,MIL,30,24,31,34,,,,119
19811031INDNYK,19811031,IND,NYK,IND,27,29,31,19,,,,106
19811031INDNYK,19811031,IND,NYK,NYK,23,25,29,22,,,,99
19811031DENSAS,19811031,DEN,SAS,DEN,31,27,33,29,,,,120
19811031DENSAS,19811031,DEN,SAS,SAS,39,41,31,34,,,,145
19811031HOUSDC,19811031,HOU,SDC,HOU,25,33,31,21,,,,110
19811031HOUSDC,19811031,HOU,SDC,SDC,29,33,31,32,,,,125
19811031PHOSEA,19811031,PHO,SEA,PHO,23,26,22,13,,,,84
19811031PHOSEA,19811031,PHO,SEA,SEA,22,28,27,17,,,,94
19811101SEAPOR,19811101,SEA,POR,SEA,24,17,33,20,,,,94
19811101SEAPOR,19811101,SEA,POR,POR,29,22,29,24,,,,104
19811103ATLCHI,19811103,ATL,CHI,ATL,34,23,17,22,,,,96
19811103ATLCHI,19811103,ATL,CHI,CHI,25,24,25,30,,,,104
