gameid,season,away,home
20051123SASGSW,2005,SAS,GSW
20051123PHXHOU,2005,PHX,HOU
20051123TORLAC,2005,TOR,LAC
20051123PORMIA,2005,POR,MIA
20051123PHIMIL,2005,PHI,MIL
20051123MINNOK,2005,MIN,NOK
20051123WASORL,2005,WAS,ORL
20051123NJNSAC,2005,NJN,SAC
20051124CLEIND,2005,CLE,IND
20051124SEALAL,2005,SEA,LAL
20051125CHABOS,2005,CHA,BOS
20051125LACDEN,2005,LAC,DEN
20051125WASDET,2005,WAS,DET
20051125ATLIND,2005,ATL,IND
20051125HOUMEM,2005,HOU,MEM
20051125DALMIA,2005,DAL,MIA
20051125MILMIN,2005,MIL,MIN
20051125PORORL,2005,POR,ORL
20051125NJNPHX,2005,NJN,PHX
20051125TORSAC,2005,TOR,SAC
20051125CHISAS,2005,CHI,SAS
20051125GSWUTA,2005,GSW,UTA
20051126WASCHA,2005,WAS,CHA
20051126MINCLE,2005,MIN,CLE
20051126MEMDAL,2005,MEM,DAL
20051126TORGSW,2005,TOR,GSW
20051126CHIHOU,2005,CHI,HOU
20051126DETMIL,2005,DET,MIL
20051126PHINYK,2005,PHI,NYK
20051126MIAORL,2005,MIA,ORL
20051126NOKSEA,2005,NOK,SEA
20051127PORATL,2005,POR,ATL
20051127INDLAC,2005,IND,LAC
20051127NJNLAL,2005,NJN,LAL
20051128ORLBOS,2005,ORL,BOS
20051128NJNDEN,2005,NJN,DEN
20051128NOKGSW,2005,NOK,GSW
20051128NYKMIA,2005,NYK,MIA
20051128DALTOR,2005,DAL,TOR
20051129ORLCHI,2005,ORL,CHI
20051129ATLHOU,2005,ATL,HOU
20051129DALMIL,2005,DAL,MIL
20051129LACMIN,2005,LAC,MIN
20051129PORPHI,2005,POR,PHI
20051129CHASAC,2005,CHA,SAC
20051129LALSAS,2005,LAL,SAS
20051129INDUTA,2005,IND,UTA
20051130MIAATL,2005,MIA,ATL
20051130PHIBOS,2005,PHI,BOS
20051130LACCLE,2005,LAC,CLE
20051130NOKDEN,2005,NOK,DEN
20051130SACGSW,2005,SAC,GSW
20051130DETNJN,2005,DET,NJN
20051130CHINYK,2005,CHI,NYK
