gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19991102ORLCHH,19991102,ORL,CHH,ORL,22,18,17,29,,,,86
19991102ORLCHH,19991102,ORL,CHH,CHH,21,21,37,21,,,,100
19991102GSWDAL,19991102,GSW,DAL,GSW,28,23,24,21,,,,96
19991102GSWDAL,19991102,GSW,DAL,DAL,32,23,26,27,,,,108
19991102PHODEN,19991102,PHO,DEN,PHO,23,38,16,17,8,,,102
19991102PHODEN,19991102,PHO,DEN,DEN,29,18,25,22,13,,,107
19991102MILHOU,19991102,MIL,HOU,MIL,25,21,29,23,,,,98
19991102MILHOU,19991102,MIL,HOU,HOU,28,26,20,19,,,,93
19991102SEALAC,19991102,SEA,LAC,SEA,25,37,26,16,,,,104
19991102SEALAC,19991102,SEA,LAC,LAC,22,26,27,17,,,,92
19991102DETMIA,19991102,DET,MIA,DET,22,24,24,30,9,13,,122
19991102DETMIA,19991102,DET,MIA,MIA,33,24,20,23,9,19,,128
19991102INDNJN,19991102,IND,NJN,IND,41,26,23,29,,,,119
19991102INDNJN,19991102,IND,NJN,NJN,27,28,27,30,,,,112
19991102CLENYK,19991102,CLE,NYK,CLE,20,27,18,19,,,,84
19991102CLENYK,19991102,CLE,NYK,NYK,30,25,19,18,,,,92
19991102PHISAS,19991102,PHI,SAS,PHI,18,20,16,22,,,,76
19991102PHISAS,19991102,PHI,SAS,SAS,23,14,20,32,,,,89
19991102BOSTOR,19991102,BOS,TOR,BOS,27,23,29,24,,,,103
19991102BOSTOR,19991102,BOS,TOR,TOR,18,24,23,25,,,,90
19991102LALUTA,19991102,LAL,UTA,LAL,25,18,20,28,,,,91
19991102LALUTA,19991102,LAL,UTA,UTA,18,18,23,25,,,,84
19991102PORVAN,19991102,POR,VAN,POR,32,25,23,26,,,,106
19991102PORVAN,19991102,POR,VAN,VAN,22,17,25,22,,,,86
19991102ATLWAS,19991102,ATL,WAS,ATL,26,19,22,20,,,,87
19991102ATLWAS,19991102,ATL,WAS,WAS,24,28,23,19,,,,94
19991103WASBOS,19991103,WAS,BOS,WAS,21,26,20,34,,,,101
19991103WASBOS,19991103,WAS,BOS,BOS,28,25,36,23,,,,112
19991103NYKCHI,19991103,NYK,CHI,NYK,18,14,30,22,,,,84
19991103NYKCHI,19991103,NYK,CHI,CHI,18,12,25,19,,,,74
19991103NJNCLE,19991103,NJN,CLE,NJN,27,14,24,25,,,,90
19991103NJNCLE,19991103,NJN,CLE,CLE,27,19,27,24,,,,97
19991103VANLAL,19991103,VAN,LAL,VAN,22,26,19,21,,,,88
19991103VANLAL,19991103,VAN,LAL,LAL,23,26,30,24,,,,103
19991103DETORL,19991103,DET,ORL,DET,21,24,23,26,,,,94
19991103DETORL,19991103,DET,ORL,ORL,23,21,33,26,,,,103
19991103LACPOR,19991103,LAC,POR,LAC,20,31,27,20,,,,98
19991103LACPOR,19991103,LAC,POR,POR,30,29,33,29,,,,121
19991104MILATL,19991104,MIL,ATL,MIL,26,31,29,33,,,,119
19991104MILATL,19991104,MIL,ATL,ATL,25,28,27,29,,,,109
19991104INDCHH,19991104,IND,CHH,IND,19,27,15,28,,,,89
19991104INDCHH,19991104,IND,CHH,CHH,29,30,22,17,,,,98
19991104PHIPHO,19991104,PHI,PHO,PHI,23,18,18,21,,,,80
19991104PHIPHO,19991104,PHI,PHO,PHO,26,16,26,16,,,,84
19991104GSWSAS,19991104,GSW,SAS,GSW,14,20,22,25,,,,81
19991104GSWSAS,19991104,GSW,SAS,SAS,23,21,29,31,,,,104
19991104DALSEA,19991104,DAL,SEA,DAL,25,21,28,22,,,,96
19991104DALSEA,19991104,DAL,SEA,SEA,26,30,25,25,,,,106
19991104MIATOR,19991104,MIA,TOR,MIA,25,15,29,17,,,,86
19991104MIATOR,19991104,MIA,TOR,TOR,20,27,19,31,,,,97
19991104HOUUTA,19991104,HOU,UTA,HOU,17,14,28,23,,,,82
19991104HOUUTA,19991104,HOU,UTA,UTA,24,14,30,30,,,,98
19991105CHHBOS,19991105,CHH,BOS,CHH,31,18,22,29,,,,100
19991105CHHBOS,19991105,CHH,BOS,BOS,37,21,23,22,,,,103
19991105MIACHI,19991105,MIA,CHI,MIA,31,24,29,21,,,,105
19991105MIACHI,19991105,MIA,CHI,CHI,15,17,28,27,,,,87
19991105NYKDET,19991105,NYK,DET,NYK,29,27,24,23,,,,103
19991105NYKDET,19991105,NYK,DET,DET,18,22,21,30,,,,91
19991105SASHOU,19991105,SAS,HOU,SAS,25,26,21,23,,,,95
