gameid,away,home
19891103INDATL,IND,ATL
19891103MILBOS,MIL,BOS
19891103WSBCHH,WSB,CHH
19891103CLECHI,CLE,CHI
19891103LALDAL,LAL,DAL
19891103NYKDET,NYK,DET
19891103HOULAC,HOU,LAC
19891103NJNMIA,NJN,MIA
19891103GSWPHO,GSW,PHO
19891103SACPOR,SAC,POR
19891103MINSEA,MIN,SEA
19891103DENUTA,DEN,UTA
19891104BOSCHI,BOS,CHI
19891104PHODEN,PHO,DEN
19891104HOUGSW,HOU,GSW
19891104CLEIND,CLE,IND
19891104MIANYK,MIA,NYK
19891104NJNORL,NJN,ORL
19891104MILPHI,MIL,PHI
19891104SEASAC,SEA,SAC
19891104LALSAS,LAL,SAS
19891104DETWSB,DET,WSB
19891105MINPOR,MIN,POR
19891106NYKORL,NYK,ORL
19891107WSBATL,WSB,ATL
19891107DETCHI,DET,CHI
19891107LACGSW,LAC,GSW
19891107PORHOU,POR,HOU
19891107PHOLAL,PHO,LAL
19891107BOSMIL,BOS,MIL
19891107MIANJN,MIA,NJN
19891107DALSAC,DAL,SAC
19891107CHHSEA,CHH,SEA
19891108ORLCLE,ORL,CLE
19891108SACDEN,SAC,DEN
19891108DETIND,DET,IND
19891108DALLAC,DAL,LAC
19891108CHIMIN,CHI,MIN
19891108MIAPHI,MIA,PHI
19891108PORSAS,POR,SAS
19891108CHHUTA,CHH,UTA
19891108BOSWSB,BOS,WSB
19891109LALGSW,LAL,GSW
19891109DENHOU,DEN,HOU
19891109SEAMIL,SEA,MIL
19891109NJNNYK,NJN,NYK
19891110ATLBOS,ATL,BOS
19891110PORDAL,POR,DAL
19891110MIAIND,MIA,IND
19891110CHHLAL,CHH,LAL
19891110PHIMIN,PHI,MIN
19891110CHINJN,CHI,NJN
19891110DETORL,DET,ORL
19891110SACPHO,SAC,PHO
19891110SASUTA,SAS,UTA
19891110CLEWSB,CLE,WSB
19891111ORLATL,ORL,ATL
19891111SEACHI,SEA,CHI
19891111BOSCLE,BOS,CLE
19891111CHHGSW,CHH,GSW
19891111UTAHOU,UTA,HOU
19891111NYKLAC,NYK,LAC
19891111DETMIA,DET,MIA
19891111PHIMIL,PHI,MIL
19891111DENSAS,DEN,SAS
19891112DALLAL,DAL,LAL
19891112SEAMIN,SEA,MIN
19891112WSBPOR,WSB,POR
19891113ATLORL,ATL,ORL
19891113WSBUTA,WSB,UTA
19891114PHIBOS,PHI,BOS
19891114ORLCHH,ORL,CHH
19891114DENLAC,DEN,LAC
19891114HOUMIA,HOU,MIA
19891114SASMIL,SAS,MIL
19891114GSWMIN,GSW,MIN
19891114CLENJN,CLE,NJN
19891114NYKPOR,NYK,POR
19891114CHISAC,CHI,SAC
19891114DALSEA,DAL,SEA
19891115NJNBOS,NJN,BOS
19891115GSWCLE,GSW,CLE
19891115WSBDEN,WSB,DEN
19891115MIADET,MIA,DET
19891115INDLAL,IND,LAL
19891115SASMIN,SAS,MIN
19891115CHHPHI,CHH,PHI
19891115PORPHO,POR,PHO
19891115CHIUTA,CHI,UTA
19891116LACHOU,LAC,HOU
19891116ORLMIL,ORL,MIL
19891116NYKSAC,NYK,SAC
19891116WSBSEA,WSB,SEA
19891117MINBOS,MIN,BOS
19891117GSWCHH,GSW,CHH
19891117ATLCLE,ATL,CLE
19891117LACDAL,LAC,DAL
19891117MILDET,MIL,DET
19891117DENLAL,DEN,LAL
19891117SASPHI,SAS,PHI
19891117PHOPOR,PHO,POR
19891117INDUTA,IND,UTA
19891118GSWATL,GSW,ATL
19891118MIADAL,MIA,DAL
19891118HOUDEN,HOU,DEN
19891118BOSDET,BOS,DET
19891118SASNJN,SAS,NJN
19891118MINNYK,MIN,NYK
19891118PHIORL,PHI,ORL
19891118WSBPHO,WSB,PHO
19891118INDSAC,IND,SAC
19891118CHISEA,CHI,SEA
19891119MIAHOU,MIA,HOU
19891119WSBLAL,WSB,LAL
19891119SEAPOR,SEA,POR
19891121MIACHH,MIA,CHH
19891121DALDEN,DAL,DEN
19891121ATLDET,ATL,DET
19891121BOSIND,BOS,IND
19891121UTAMIN,UTA,MIN
19891121HOUNYK,HOU,NYK
19891121CHIPOR,CHI,POR
19891121ORLSAC,ORL,SAC
19891121PHOSAS,PHO,SAS
19891121NJNSEA,NJN,SEA
19891121MILWSB,MIL,WSB
19891122HOUBOS,HOU,BOS
19891122NYKCLE,NYK,CLE
19891122SACGSW,SAC,GSW
19891122NJNLAC,NJN,LAC
19891122PHIMIA,PHI,MIA
