gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
19861031WSBBOS,,WSB,BOS,WSB,moses_malone,,39:00,6,13,0,0,11,12,,7,3,10,2,1,1,3,3,,23
19861031WSBBOS,,WSB,BOS,WSB,terry_catledge,,30:00,7,17,0,0,1,3,,3,4,7,2,4,1,2,0,,15
19861031WSBBOS,,WSB,BOS,WSB,john_williams,,29:00,2,11,0,0,5,6,,6,1,7,3,4,2,2,0,,9
19861031WSBBOS,,WSB,BOS,WSB,frank_johnson,,26:00,4,8,0,0,3,5,,1,1,2,2,4,2,1,0,,11
19861031WSBBOS,,WSB,BOS,WSB,anthony_jones,,19:00,2,5,0,0,0,0,,0,0,0,3,4,2,2,0,,4
19861031WSBBOS,,WSB,BOS,WSB,jeff_malone,,26:00,7,13,0,0,3,4,,0,0,0,2,1,1,0,0,,17
19861031WSBBOS,,WSB,BOS,WSB,darwin_cook,,25:00,5,9,0,1,0,0,,1,2,3,3,3,0,5,0,,10
19861031WSBBOS,,WSB,BOS,WSB,dan_roundfield,,23:00,2,5,0,0,3,4,,0,4,4,0,3,1,1,0,,7
19861031WSBBOS,,WSB,BOS,WSB,manute_bol,,14:00,2,3,0,0,2,2,,2,2,4,0,1,0,6,3,,6
19861031WSBBOS,,WSB,BOS,WSB,charles_jones,,6:00,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,,0
19861031WSBBOS,,WSB,BOS,WSB,jay_murphy,,3:00,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,,0
19861031WSBBOS,,WSB,BOS,WSB,total,,240,37,85,0,1,28,36,,20,18,38,18,25,10,22,6,,102
19861031WSBBOS,,WSB,BOS,BOS,dennis_johnson,,44:00,11,14,0,1,4,4,,0,3,3,7,2,2,7,0,,26
19861031WSBBOS,,WSB,BOS,BOS,larry_bird,,40:00,7,18,1,3,9,9,,3,5,8,9,3,0,2,2,,24
19861031WSBBOS,,WSB,BOS,BOS,robert_parish,,40:00,8,16,0,0,4,4,,5,6,11,3,5,1,2,3,,20
19861031WSBBOS,,WSB,BOS,BOS,kevin_mchale,,37:00,8,11,0,0,6,6,,3,6,9,1,5,0,2,1,,22
19861031WSBBOS,,WSB,BOS,BOS,sam_vincent,,28:00,3,5,0,0,2,2,,1,4,5,4,2,0,3,0,,8
19861031WSBBOS,,WSB,BOS,BOS,jerry_sichting,,20:00,4,6,0,0,0,0,,1,1,2,5,4,1,0,0,,8
19861031WSBBOS,,WSB,BOS,BOS,fred_roberts,,13:00,3,5,0,0,0,0,,0,1,1,0,2,1,1,0,,6
19861031WSBBOS,,WSB,BOS,BOS,greg_kite,,8:00,1,5,0,0,0,0,,1,2,3,2,1,0,1,0,,2
19861031WSBBOS,,WSB,BOS,BOS,rick_carlisle,,7:00,0,1,0,0,0,0,,0,2,2,0,2,0,0,0,,0
19861031WSBBOS,,WSB,BOS,BOS,david_thirdkill,,3:00,2,3,0,0,0,0,,0,0,0,0,1,0,0,0,,4
19861031WSBBOS,,WSB,BOS,BOS,total,,240,47,84,1,4,25,25,,14,30,44,31,27,5,18,6,,120
19861031UTADAL,,UTA,DAL,UTA,mark_eaton,,31:00,2,8,0,0,0,0,,3,5,8,1,5,0,3,1,,4
