gameid,away,home
19791012NYKATL,NYK,ATL
19791012HOUBOS,HOU,BOS
19791012INDDET,IND,DET
19791012MILKCK,MIL,KCK
19791012CLENJN,CLE,NJN
19791012GSWPHO,GSW,PHO
19791012UTAPOR,UTA,POR
19791012LALSDC,LAL,SDC
19791012PHIWSB,PHI,WSB
19791013BOSCLE,BOS,CLE
19791013MILDEN,MIL,DEN
19791013CHIGSW,CHI,GSW
19791013ATLIND,ATL,IND
19791013WSBNYK,WSB,NYK
19791013HOUPHI,HOU,PHI
19791013DETSAS,DET,SAS
19791014CHIPHO,CHI,PHO
19791014DENPOR,DEN,POR
19791014SEASDC,SEA,SDC
19791015MILUTA,MIL,UTA
19791016SASATL,SAS,ATL
19791016DETCLE,DET,CLE
19791016GSWDEN,GSW,DEN
19791016NJNIND,NJN,IND
19791016CHILAL,CHI,LAL
19791016HOUNYK,HOU,NYK
19791016SEAPHO,SEA,PHO
19791016SDCPOR,SDC,POR
19791017CLEBOS,CLE,BOS
19791017INDHOU,IND,HOU
19791017GSWKCK,GSW,KCK
19791017DENMIL,DEN,MIL
19791017PHINJN,PHI,NJN
19791017LALSEA,LAL,SEA
19791017ATLWSB,ATL,WSB
19791018INDATL,IND,ATL
19791018SASCLE,SAS,CLE
19791018NYKDET,NYK,DET
19791018CHISDC,CHI,SDC
19791018PORUTA,POR,UTA
19791019WSBBOS,WSB,BOS
19791019KCKDEN,KCK,DEN
19791019PORLAL,POR,LAL
19791019PHOMIL,PHO,MIL
19791019NYKNJN,NYK,NJN
19791019DETPHI,DET,PHI
19791019SDCSEA,SDC,SEA
19791020PHOCHI,PHO,CHI
19791020UTAGSW,UTA,GSW
19791020ATLHOU,ATL,HOU
19791020BOSIND,BOS,IND
19791020PHINYK,PHI,NYK
19791020CLESAS,CLE,SAS
19791020DETWSB,DET,WSB
19791021PHOKCK,PHO,KCK
19791021SEALAL,SEA,LAL
19791021CHIMIL,CHI,MIL
19791021GSWPOR,GSW,POR
19791022SDCUTA,SDC,UTA
19791023NJNCHI,NJN,CHI
19791023ATLCLE,ATL,CLE
19791023UTALAL,UTA,LAL
19791023INDNYK,IND,NYK
19791023MILPHO,MIL,PHO
19791023KCKPOR,KCK,POR
19791023BOSSAS,BOS,SAS
19791023DENSDC,DEN,SDC
19791024CLEATL,CLE,ATL
19791024PORDEN,POR,DEN
19791024WSBDET,WSB,DET
19791024PHOGSW,PHO,GSW
19791024BOSHOU,BOS,HOU
19791024INDPHI,IND,PHI
19791024KCKSEA,KCK,SEA
19791025MILSDC,MIL,SDC
19791025CHIUTA,CHI,UTA
19791026SASDET,SAS,DET
19791026WSBIND,WSB,IND
19791026KCKLAL,KCK,LAL
19791026ATLNJN,ATL,NJN
19791026NYKPHI,NYK,PHI
19791026CHIPOR,CHI,POR
19791026PHOSEA,PHO,SEA
