gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
19871106WSBATL,,WSB,ATL,WSB,bernard_king,,38:00,3,12,0,0,3,4,,0,1,1,4,2,0,2,0,,9
19871106WSBATL,,WSB,ATL,WSB,moses_malone,,37:00,6,12,0,0,20,23,,4,8,12,1,1,0,2,1,,32
19871106WSBATL,,WSB,ATL,WSB,muggsy_bogues,,33:00,5,12,0,0,0,0,,1,2,3,6,2,4,2,0,,10
19871106WSBATL,,WSB,ATL,WSB,jeff_malone,,31:00,5,16,1,1,0,0,,0,2,2,1,4,0,0,0,,11
19871106WSBATL,,WSB,ATL,WSB,terry_catledge,,24:00,4,7,0,0,3,6,,2,2,4,0,4,0,1,0,,11
19871106WSBATL,,WSB,ATL,WSB,darrell_walker,,26:00,4,8,0,0,3,5,,2,2,4,1,2,2,4,1,,11
19871106WSBATL,,WSB,ATL,WSB,john_williams,,17:00,3,4,0,0,0,1,,1,2,3,0,5,0,3,1,,6
19871106WSBATL,,WSB,ATL,WSB,mark_alarie,,15:00,1,1,0,0,0,0,,0,2,2,3,3,0,0,0,,2
19871106WSBATL,,WSB,ATL,WSB,jay_murphy,,10:00,0,3,0,0,0,0,,0,2,2,0,1,0,0,0,,0
19871106WSBATL,,WSB,ATL,WSB,frank_johnson,,6:00,1,5,0,0,3,4,,2,2,4,1,2,1,1,0,,5
19871106WSBATL,,WSB,ATL,WSB,charles_jones,,3:00,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,,0
19871106WSBATL,,WSB,ATL,WSB,total,,240,32,80,1,1,32,43,,12,25,37,17,28,7,15,3,,97
19871106WSBATL,,WSB,ATL,ATL,doc_rivers,,35:00,6,13,0,0,1,3,,2,3,5,6,3,1,1,0,,13
19871106WSBATL,,WSB,ATL,ATL,kevin_willis,,35:00,4,8,0,0,4,5,,2,8,10,0,3,0,3,1,,12
19871106WSBATL,,WSB,ATL,ATL,dominique_wilkins,,34:00,11,20,1,1,11,12,,6,8,14,2,3,2,3,0,,34
19871106WSBATL,,WSB,ATL,ATL,randy_wittman,,30:00,7,14,0,0,0,0,,0,1,1,2,3,0,3,1,,14
19871106WSBATL,,WSB,ATL,ATL,tree_rollins,,19:00,0,2,0,0,0,0,,1,4,5,1,5,1,0,0,,0
19871106WSBATL,,WSB,ATL,ATL,jon_koncak,,26:00,3,5,0,0,4,7,,3,10,13,1,5,2,1,4,,10
19871106WSBATL,,WSB,ATL,ATL,cliff_levingston,,18:00,3,5,0,0,0,0,,3,2,5,2,3,0,2,1,,6
19871106WSBATL,,WSB,ATL,ATL,mike_mcgee,,17:00,5,11,0,4,0,2,,1,2,3,4,0,3,0,0,,10
19871106WSBATL,,WSB,ATL,ATL,spud_webb,,13:00,3,5,0,0,2,3,,1,1,2,10,5,0,2,0,,8
19871106WSBATL,,WSB,ATL,ATL,antoine_carr,,11:00,1,1,0,0,1,2,,0,0,0,2,3,0,2,1,,3
19871106WSBATL,,WSB,ATL,ATL,john_battle,,2:00,2,2,0,0,0,0,,0,0,0,0,0,0,0,0,,4
19871106WSBATL,,WSB,ATL,ATL,total,,240,45,86,1,5,23,34,,19,39,58,30,33,9,17,8,,114
19871106MILBOS,,MIL,BOS,MIL,jack_sikma,,42:00,6,13,0,0,6,6,,3,8,11,1,3,0,6,0,,18
19871106MILBOS,,MIL,BOS,MIL,terry_cummings,,38:00,10,18,0,0,6,9,,0,4,4,1,5,2,0,0,,26
19871106MILBOS,,MIL,BOS,MIL,randy_breuer,,34:00,9,18,0,0,5,6,,3,3,6,0,2,1,1,3,,23
19871106MILBOS,,MIL,BOS,MIL,jerry_reynolds,,34:00,2,9,0,1,4,4,,1,1,2,4,4,2,1,1,,8
19871106MILBOS,,MIL,BOS,MIL,paul_pressey,,26:00,3,5,1,2,6,6,,0,3,3,4,4,1,2,0,,13
19871106MILBOS,,MIL,BOS,MIL,john_lucas,,20:00,2,8,0,1,2,2,,0,2,2,1,2,1,1,0,,6
19871106MILBOS,,MIL,BOS,MIL,craig_hodges,,18:00,3,10,1,3,0,0,,0,0,0,3,2,1,0,0,,7
19871106MILBOS,,MIL,BOS,MIL,pace_mannion,,14:00,0,0,0,0,3,4,,0,1,1,4,2,0,0,1,,3
19871106MILBOS,,MIL,BOS,MIL,paul_mokeski,,8:00,2,3,0,0,0,0,,0,2,2,0,4,0,1,0,,4
19871106MILBOS,,MIL,BOS,MIL,charles_davis,,4:00,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,,0
19871106MILBOS,,MIL,BOS,MIL,john_stroeder,,2:00,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0
19871106MILBOS,,MIL,BOS,MIL,total,,240,37,85,2,7,32,37,,7,24,31,18,28,8,12,5,,108
19871106MILBOS,,MIL,BOS,BOS,larry_bird,,37:00,12,22,1,2,3,3,,3,12,15,8,1,3,5,2,,28
19871106MILBOS,,MIL,BOS,BOS,robert_parish,,37:00,7,15,0,0,2,4,,6,6,12,2,4,0,3,2,,16
19871106MILBOS,,MIL,BOS,BOS,danny_ainge,,33:00,9,18,1,6,0,0,,1,2,3,5,1,1,0,0,,19
19871106MILBOS,,MIL,BOS,BOS,fred_roberts,,29:00,7,10,0,0,6,8,,2,2,4,1,4,0,0,1,,20
19871106MILBOS,,MIL,BOS,BOS,dennis_johnson,,29:00,2,9,0,0,3,4,,4,1,5,8,4,0,1,0,,7
19871106MILBOS,,MIL,BOS,BOS,conner_henry,,17:00,4,7,1,2,1,2,,0,3,3,6,2,0,3,1,,10
19871106MILBOS,,MIL,BOS,BOS,brad_lohaus,,13:00,3,6,0,1,2,2,,3,4,7,1,3,0,2,0,,8
19871106MILBOS,,MIL,BOS,BOS,jerry_sichting,,12:00,0,3,0,0,0,0,,0,0,0,2,0,1,0,0,,0
19871106MILBOS,,MIL,BOS,BOS,greg_kite,,11:00,1,2,0,0,0,0,,1,1,2,0,4,0,1,0,,2
19871106MILBOS,,MIL,BOS,BOS,mark_acres,,9:00,2,2,0,0,0,0,,1,2,3,3,1,0,1,0,,4
19871106MILBOS,,MIL,BOS,BOS,darren_daye,,8:00,3,5,0,0,1,1,,2,1,3,1,2,1,0,0,,7
19871106MILBOS,,MIL,BOS,BOS,reggie_lewis,,5:00,2,6,0,0,0,0,,0,0,0,1,0,0,0,0,,4
19871106MILBOS,,MIL,BOS,BOS,total,,240,52,105,3,11,18,24,,23,34,57,38,26,6,16,6,,125
19871106UTADAL,,UTA,DAL,UTA,karl_malone,,36:00,10,19,0,0,5,6,,2,3,5,3,4,0,5,2,,25
19871106UTADAL,,UTA,DAL,UTA,mark_eaton,,35:00,2,10,0,0,3,4,,4,8,12,2,1,0,1,6,,7
19871106UTADAL,,UTA,DAL,UTA,darrell_griffith,,32:00,7,16,1,3,2,7,,0,4,4,3,4,2,2,0,,17
19871106UTADAL,,UTA,DAL,UTA,thurl_bailey,,30:00,6,14,0,0,2,2,,1,7,8,3,4,0,4,3,,14
