gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20021029SASLAL,,SAS,LAL,SAS,tim_duncan,,37:00,3,14,0,0,8,13,,0,10,10,1,4,1,2,5,,14
20021029SASLAL,,SAS,LAL,SAS,bruce_bowen,,36:00,2,5,0,0,1,1,,4,3,7,1,3,3,4,2,,5
20021029SASLAL,,SAS,LAL,SAS,steve_smith,,27:00,5,7,1,2,1,2,,0,3,3,3,2,2,0,0,,12
20021029SASLAL,,SAS,LAL,SAS,tony_parker,,21:00,0,10,0,1,2,2,,0,2,2,2,2,1,3,0,,2
20021029SASLAL,,SAS,LAL,SAS,david_robinson,,20:00,3,3,0,0,7,10,,3,7,10,0,4,1,2,2,,13
20021029SASLAL,,SAS,LAL,SAS,malik_rose,,31:00,4,7,0,0,8,10,,2,9,11,1,4,0,3,0,,16
20021029SASLAL,,SAS,LAL,SAS,speedy_claxton,,27:00,5,10,0,0,3,6,,2,3,5,4,1,2,3,1,,13
20021029SASLAL,,SAS,LAL,SAS,manu_ginobili,,20:00,3,9,1,4,0,0,,0,2,2,3,3,4,2,1,,7
20021029SASLAL,,SAS,LAL,SAS,danny_ferry,,12:00,1,3,1,3,2,2,,0,2,2,0,1,1,0,0,,5
20021029SASLAL,,SAS,LAL,SAS,stephen_jackson,,5:00,0,3,0,0,0,0,,0,0,0,0,2,0,1,0,,0
20021029SASLAL,,SAS,LAL,SAS,steve_kerr,,3:00,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0
20021029SASLAL,,SAS,LAL,SAS,kevin_willis,,1:00,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0
20021029SASLAL,,SAS,LAL,SAS,total,,240,26,71,3,10,32,46,,11,41,52,15,26,15,20,11,,87
20021029SASLAL,,SAS,LAL,LAL,kobe_bryant,,43:00,9,29,1,2,8,12,,5,5,10,5,3,4,6,2,,27
20021029SASLAL,,SAS,LAL,LAL,derek_fisher,,33:00,1,9,1,4,4,4,,0,1,1,3,2,1,1,0,,7
20021029SASLAL,,SAS,LAL,LAL,robert_horry,,31:00,3,10,1,3,0,0,,1,6,7,1,6,0,0,0,,7
20021029SASLAL,,SAS,LAL,LAL,devean_george,,30:00,2,8,0,1,6,6,,2,3,5,1,5,0,3,1,,10
20021029SASLAL,,SAS,LAL,LAL,soumaila_samake,,13:00,1,3,0,0,0,0,,2,4,6,0,4,0,1,2,,2
20021029SASLAL,,SAS,LAL,LAL,samaki_walker,,25:00,2,4,0,0,3,4,,2,8,10,2,6,2,3,0,,7
20021029SASLAL,,SAS,LAL,LAL,stanislav_medvedenko,,21:00,4,9,0,0,3,4,,5,0,5,1,5,0,1,0,,11
20021029SASLAL,,SAS,LAL,LAL,tracy_murray,,15:00,1,3,1,1,0,0,,0,2,2,0,2,2,1,0,,3
20021029SASLAL,,SAS,LAL,LAL,brian_shaw,,13:00,2,6,0,1,0,0,,0,0,0,0,0,0,0,0,,4
20021029SASLAL,,SAS,LAL,LAL,jannero_pargo,,13:00,1,2,0,0,0,0,,0,2,2,3,1,1,1,0,,2
20021029SASLAL,,SAS,LAL,LAL,kareem_rush,,3:00,1,2,0,1,0,0,,0,0,0,0,0,0,1,0,,2
20021029SASLAL,,SAS,LAL,LAL,total,,240,27,85,4,13,24,30,,17,31,48,16,34,10,18,5,,82
20021029PHIORL,,PHI,ORL,PHI,eric_snow,,41:00,2,7,0,1,3,4,,1,3,4,4,1,0,2,0,,7
20021029PHIORL,,PHI,ORL,PHI,allen_iverson,,40:00,7,25,0,3,4,4,,1,2,3,4,1,2,3,0,,18
20021029PHIORL,,PHI,ORL,PHI,keith_van_horn,,39:00,6,15,0,1,7,11,,5,5,10,2,4,2,5,0,,19
20021029PHIORL,,PHI,ORL,PHI,aaron_mckie,,38:00,6,12,2,2,5,6,,0,6,6,5,4,4,5,0,,19
20021029PHIORL,,PHI,ORL,PHI,todd_macculloch,,16:00,5,7,0,0,3,4,,3,1,4,0,2,0,1,0,,13
20021029PHIORL,,PHI,ORL,PHI,brian_skinner,,23:00,2,4,0,0,2,3,,0,10,10,2,3,1,2,0,,6
20021029PHIORL,,PHI,ORL,PHI,john_salmons,,18:00,1,5,0,1,0,0,,0,0,0,2,4,1,1,1,,2
20021029PHIORL,,PHI,ORL,PHI,art_long,,16:00,2,2,0,0,0,0,,1,6,7,0,2,0,0,0,,4
20021029PHIORL,,PHI,ORL,PHI,mark_bryant,,9:00,0,1,0,0,0,0,,0,2,2,0,1,0,1,0,,0
20021029PHIORL,,PHI,ORL,PHI,total,,240,31,78,2,8,24,32,,11,35,46,19,22,10,20,1,,88
20021029PHIORL,,PHI,ORL,ORL,tracy_mcgrady,,42:00,13,24,2,5,3,5,,0,4,4,5,3,0,3,4,,31
20021029PHIORL,,PHI,ORL,ORL,darrell_armstrong,,34:00,3,9,1,4,2,2,,3,4,7,3,2,2,2,0,,9
20021029PHIORL,,PHI,ORL,ORL,grant_hill,,33:00,5,10,0,0,8,9,,0,6,6,7,0,0,3,0,,18
20021029PHIORL,,PHI,ORL,ORL,pat_burke,,18:00,5,6,0,0,2,2,,0,3,3,1,5,0,0,1,,12
20021029PHIORL,,PHI,ORL,ORL,horace_grant,,13:00,1,2,0,0,0,0,,0,1,1,1,1,1,0,0,,2
20021029PHIORL,,PHI,ORL,ORL,mike_miller,,28:00,4,11,1,5,1,2,,0,4,4,2,2,0,3,1,,10
20021029PHIORL,,PHI,ORL,ORL,pat_garrity,,26:00,2,7,2,4,1,2,,0,2,2,2,5,0,0,0,,7
20021029PHIORL,,PHI,ORL,ORL,shawn_kemp,,15:00,3,5,0,0,0,0,,1,6,7,1,3,1,2,1,,6
20021029PHIORL,,PHI,ORL,ORL,ryan_humphrey,,10:00,0,2,0,0,0,0,,0,0,0,0,3,0,1,1,,0
20021029PHIORL,,PHI,ORL,ORL,andrew_declercq,,9:00,0,0,0,0,0,0,,2,1,3,1,1,0,1,0,,0
20021029PHIORL,,PHI,ORL,ORL,jacque_vaughn,,7:00,0,3,0,0,0,0,,0,0,0,1,1,0,0,0,,0
20021029PHIORL,,PHI,ORL,ORL,jeryl_sasser,,5:00,0,2,0,0,0,0,,2,0,2,0,0,0,0,0,,0
20021029PHIORL,,PHI,ORL,ORL,total,,240,36,81,6,18,17,22,,8,31,39,24,26,4,15,8,,95
20021029CLESAC,,CLE,SAC,CLE,ricky_davis,,42:00,6,17,0,0,5,8,,1,3,4,3,0,0,4,0,,17
20021029CLESAC,,CLE,SAC,CLE,darius_miles,,33:00,6,22,0,0,1,4,,6,4,10,2,3,0,2,1,,13
20021029CLESAC,,CLE,SAC,CLE,tyrone_hill,,30:00,3,11,0,0,4,4,,3,8,11,0,4,1,2,1,,10
20021029CLESAC,,CLE,SAC,CLE,bimbo_coles,,29:00,2,10,1,3,1,2,,1,3,4,3,3,2,2,0,,6
20021029CLESAC,,CLE,SAC,CLE,desagana_diop,,20:00,0,2,0,0,0,0,,1,3,4,1,2,0,3,3,,0
