gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
20141028HOULAL,20141028,HOU,LAL,HOU,31,31,23,23,,,,108
20141028HOULAL,20141028,HOU,LAL,LAL,19,26,24,21,,,,90
20141028ORLNOP,20141028,ORL,NOP,ORL,25,16,23,20,,,,84
20141028ORLNOP,20141028,ORL,NOP,NOP,24,24,30,23,,,,101
20141028DALSAS,20141028,DAL,SAS,DAL,24,29,20,27,,,,100
20141028DALSAS,20141028,DAL,SAS,SAS,26,19,31,25,,,,101
20141029BRKBOS,20141029,BRK,BOS,BRK,23,18,31,33,,,,105
20141029BRKBOS,20141029,BRK,BOS,BOS,32,35,34,20,,,,121
20141029MILCHO,20141029,MIL,CHO,MIL,24,33,26,17,6,,,106
20141029MILCHO,20141029,MIL,CHO,CHO,25,21,22,32,8,,,108
20141029DETDEN,20141029,DET,DEN,DET,21,19,23,16,,,,79
20141029DETDEN,20141029,DET,DEN,DEN,23,19,23,24,,,,89
20141029PHIIND,20141029,PHI,IND,PHI,24,27,22,18,,,,91
20141029PHIIND,20141029,PHI,IND,IND,26,22,30,25,,,,103
20141029MINMEM,20141029,MIN,MEM,MIN,27,20,27,27,,,,101
20141029MINMEM,20141029,MIN,MEM,MEM,25,28,28,24,,,,105
20141029WASMIA,20141029,WAS,MIA,WAS,28,24,18,25,,,,95
20141029WASMIA,20141029,WAS,MIA,MIA,22,31,19,35,,,,107
20141029CHINYK,20141029,CHI,NYK,CHI,24,29,31,20,,,,104
20141029CHINYK,20141029,CHI,NYK,NYK,20,23,17,20,,,,80
20141029LALPHO,20141029,LAL,PHO,LAL,19,31,23,26,,,,99
20141029LALPHO,20141029,LAL,PHO,PHO,33,26,39,21,,,,119
20141029OKCPOR,20141029,OKC,POR,OKC,34,20,23,12,,,,89
20141029OKCPOR,20141029,OKC,POR,POR,29,20,26,31,,,,106
20141029GSWSAC,20141029,GSW,SAC,GSW,25,22,26,22,,,,95
20141029GSWSAC,20141029,GSW,SAC,SAC,23,26,14,14,,,,77
20141029ATLTOR,20141029,ATL,TOR,ATL,22,30,19,31,,,,102
20141029ATLTOR,20141029,ATL,TOR,TOR,24,36,26,23,,,,109
20141029HOUUTA,20141029,HOU,UTA,HOU,27,31,17,29,,,,104
20141029HOUUTA,20141029,HOU,UTA,UTA,27,23,22,21,,,,93
20141030NYKCLE,20141030,NYK,CLE,NYK,18,24,25,28,,,,95
20141030NYKCLE,20141030,NYK,CLE,CLE,25,19,20,26,,,,90
20141030UTADAL,20141030,UTA,DAL,UTA,20,24,29,29,,,,102
20141030UTADAL,20141030,UTA,DAL,DAL,36,33,24,27,,,,120
20141030OKCLAC,20141030,OKC,LAC,OKC,28,13,21,28,,,,90
20141030OKCLAC,20141030,OKC,LAC,LAC,22,24,24,23,,,,93
20141030DETMIN,20141030,DET,MIN,DET,21,23,21,26,,,,91
20141030DETMIN,20141030,DET,MIN,MIN,21,24,30,22,,,,97
20141030WASORL,20141030,WAS,ORL,WAS,28,26,28,23,,,,105
20141030WASORL,20141030,WAS,ORL,ORL,23,28,15,32,,,,98
20141031CLECHI,20141031,CLE,CHI,CLE,28,30,20,20,16,,,114
20141031CLECHI,20141031,CLE,CHI,CHI,27,25,17,29,10,,,108
20141031MEMIND,20141031,MEM,IND,MEM,23,22,33,19,,,,97
20141031MEMIND,20141031,MEM,IND,IND,19,34,14,22,,,,89
20141031LACLAL,20141031,LAC,LAL,LAC,31,31,24,32,,,,118
20141031LACLAL,20141031,LAC,LAL,LAL,22,34,34,21,,,,111
20141031PHIMIL,20141031,PHI,MIL,PHI,24,23,27,7,,,,81
20141031PHIMIL,20141031,PHI,MIL,MIL,24,22,27,20,,,,93
20141031SASPHO,20141031,SAS,PHO,SAS,24,21,26,18,,,,89
20141031SASPHO,20141031,SAS,PHO,PHO,11,25,31,27,,,,94
20141031PORSAC,20141031,POR,SAC,POR,24,24,23,23,,,,94
20141031PORSAC,20141031,POR,SAC,SAC,26,22,23,32,,,,103
20141101INDATL,20141101,IND,ATL,IND,18,26,19,29,,,,92
20141101INDATL,20141101,IND,ATL,ATL,27,24,19,32,,,,102
20141101MEMCHO,20141101,MEM,CHO,MEM,23,13,15,20,,,,71
20141101MEMCHO,20141101,MEM,CHO,CHO,15,15,16,23,,,,69
20141101BRKDET,20141101,BRK,DET,BRK,33,26,22,21,,,,102
20141101BRKDET,20141101,BRK,DET,DET,25,22,28,15,,,,90
20141101LALGSW,20141101,LAL,GSW,LAL,35,20,31,18,,,,104
20141101LALGSW,20141101,LAL,GSW,GSW,29,32,32,34,,,,127
20141101BOSHOU,20141101,BOS,HOU,BOS,22,16,24,28,,,,90
20141101BOSHOU,20141101,BOS,HOU,HOU,37,20,24,23,,,,104
20141101CHIMIN,20141101,CHI,MIN,CHI,27,36,22,21,,,,106
20141101CHIMIN,20141101,CHI,MIN,MIN,25,24,32,24,,,,105
20141101DALNOP,20141101,DAL,NOP,DAL,32,34,20,23,,,,109
20141101DALNOP,20141101,DAL,NOP,NOP,26,26,37,15,,,,104
20141101DENOKC,20141101,DEN,OKC,DEN,17,16,23,35,,,,91
20141101DENOKC,20141101,DEN,OKC,OKC,29,26,21,26,,,,102
20141101TORORL,20141101,TOR,ORL,TOR,29,20,38,21,,,,108
20141101TORORL,20141101,TOR,ORL,ORL,26,26,26,17,,,,95
20141101MIAPHI,20141101,MIA,PHI,MIA,32,28,27,27,,,,114
20141101MIAPHI,20141101,MIA,PHI,PHI,30,24,29,13,,,,96
20141101PHOUTA,20141101,PHO,UTA,PHO,22,33,20,16,,,,91
20141101PHOUTA,20141101,PHO,UTA,UTA,33,26,30,29,,,,118
20141101MILWAS,20141101,MIL,WAS,MIL,17,27,24,29,,,,97
20141101MILWAS,20141101,MIL,WAS,WAS,29,20,34,25,,,,108
20141102SACLAC,20141102,SAC,LAC,SAC,25,20,25,28,,,,98
20141102SACLAC,20141102,SAC,LAC,LAC,19,32,23,18,,,,92
20141102TORMIA,20141102,TOR,MIA,TOR,26,28,23,25,,,,102
20141102TORMIA,20141102,TOR,MIA,MIA,31,33,23,20,,,,107
20141102CHONYK,20141102,CHO,NYK,CHO,21,29,30,13,,,,93
20141102CHONYK,20141102,CHO,NYK,NYK,29,23,27,17,,,,96
20141102GSWPOR,20141102,GSW,POR,GSW,30,21,17,27,,,,95
20141102GSWPOR,20141102,GSW,POR,POR,22,26,20,22,,,,90
20141103OKCBRK,20141103,OKC,BRK,OKC,19,21,22,23,,,,85
20141103OKCBRK,20141103,OKC,BRK,BRK,32,27,26,31,,,,116
20141103BOSDAL,20141103,BOS,DAL,BOS,19,22,38,34,,,,113
20141103BOSDAL,20141103,BOS,DAL,DAL,40,27,24,27,,,,118
20141103SACDEN,20141103,SAC,DEN,SAC,19,32,28,31,,,,110
20141103SACDEN,20141103,SAC,DEN,DEN,22,24,31,28,,,,105
20141103UTALAC,20141103,UTA,LAC,UTA,20,23,27,31,,,,101
20141103UTALAC,20141103,UTA,LAC,LAC,26,30,17,34,,,,107
20141103NOPMEM,20141103,NOP,MEM,NOP,13,20,23,25,,,,81
20141103NOPMEM,20141103,NOP,MEM,MEM,20,20,24,29,,,,93
20141103HOUPHI,20141103,HOU,PHI,HOU,32,23,24,25,,,,104
20141103HOUPHI,20141103,HOU,PHI,PHI,19,35,20,19,,,,93
20141104ORLCHI,20141104,ORL,CHI,ORL,28,24,17,21,,,,90
20141104ORLCHI,20141104,ORL,CHI,CHI,24,30,15,29,,,,98
20141104MILIND,20141104,MIL,IND,MIL,22,21,26,18,,,,87
20141104MILIND,20141104,MIL,IND,IND,19,19,23,20,,,,81
20141104PHOLAL,20141104,PHO,LAL,PHO,26,32,21,33,,,,112
20141104PHOLAL,20141104,PHO,LAL,LAL,24,22,29,31,,,,106
20141104HOUMIA,20141104,HOU,MIA,HOU,30,27,26,25,,,,108
20141104HOUMIA,20141104,HOU,MIA,MIA,31,24,22,14,,,,91
20141104CHONOP,20141104,CHO,NOP,CHO,21,27,17,26,,,,91
20141104CHONOP,20141104,CHO,NOP,NOP,26,21,26,27,,,,100
20141104WASNYK,20141104,WAS,NYK,WAS,17,23,32,26,,,,98
20141104WASNYK,20141104,WAS,NYK,NYK,23,22,15,23,,,,83
20141104CLEPOR,20141104,CLE,POR,CLE,34,16,19,13,,,,82
20141104CLEPOR,20141104,CLE,POR,POR,31,24,21,25,,,,101
20141104OKCTOR,20141104,OKC,TOR,OKC,30,22,18,18,,,,88
20141104OKCTOR,20141104,OKC,TOR,TOR,23,28,22,27,,,,100
20141105TORBOS,20141105,TOR,BOS,TOR,23,31,34,22,,,,110
20141105TORBOS,20141105,TOR,BOS,BOS,35,22,29,21,,,,107
20141105MINBRK,20141105,MIN,BRK,MIN,24,23,25,26,,,,98
20141105MINBRK,20141105,MIN,BRK,BRK,21,27,18,25,,,,91
20141105MIACHO,20141105,MIA,CHO,MIA,17,27,18,27,,,,89
20141105MIACHO,20141105,MIA,CHO,CHO,24,22,26,24,,,,96
20141105NYKDET,20141105,NYK,DET,NYK,20,17,22,36,,,,95
20141105NYKDET,20141105,NYK,DET,DET,25,24,26,23,,,,98
20141105LACGSW,20141105,LAC,GSW,LAC,20,22,33,29,,,,104
20141105LACGSW,20141105,LAC,GSW,GSW,30,35,37,19,,,,121
20141105CHIMIL,20141105,CHI,MIL,CHI,23,26,23,23,,,,95
20141105CHIMIL,20141105,CHI,MIL,MIL,21,32,17,16,,,,86
20141105ORLPHI,20141105,ORL,PHI,ORL,26,26,23,16,,,,91
20141105ORLPHI,20141105,ORL,PHI,PHI,28,24,23,14,,,,89
20141105MEMPHO,20141105,MEM,PHO,MEM,26,20,30,26,,,,102
20141105MEMPHO,20141105,MEM,PHO,PHO,27,25,19,20,,,,91
20141105DENSAC,20141105,DEN,SAC,DEN,19,35,18,37,,,,109
20141105DENSAC,20141105,DEN,SAC,SAC,40,28,37,26,,,,131
20141105ATLSAS,20141105,ATL,SAS,ATL,15,24,23,30,,,,92
20141105ATLSAS,20141105,ATL,SAS,SAS,27,22,19,26,,,,94
20141105CLEUTA,20141105,CLE,UTA,CLE,23,25,27,25,,,,100
20141105CLEUTA,20141105,CLE,UTA,UTA,32,27,17,26,,,,102
20141105INDWAS,20141105,IND,WAS,IND,24,17,20,23,10,,,94
20141105INDWAS,20141105,IND,WAS,WAS,24,22,20,18,12,,,96
20141106SASHOU,20141106,SAS,HOU,SAS,15,14,26,26,,,,81
20141106SASHOU,20141106,SAS,HOU,HOU,18,27,36,17,,,,98
20141106DALPOR,20141106,DAL,POR,DAL,24,26,18,19,,,,87
20141106DALPOR,20141106,DAL,POR,POR,20,26,35,27,,,,108
20141107INDBOS,20141107,IND,BOS,IND,26,26,23,23,,,,98
20141107INDBOS,20141107,IND,BOS,BOS,30,25,18,28,,,,101
20141107NYKBRK,20141107,NYK,BRK,NYK,20,22,26,31,,,,99
20141107NYKBRK,20141107,NYK,BRK,BRK,30,25,31,24,,,,110
20141107ATLCHO,20141107,ATL,CHO,ATL,29,21,28,19,13,9,,119
20141107ATLCHO,20141107,ATL,CHO,CHO,22,25,23,27,13,12,,122
20141107CLEDEN,20141107,CLE,DEN,CLE,38,20,27,25,,,,110
20141107CLEDEN,20141107,CLE,DEN,DEN,20,25,26,30,,,,101
20141107MILDET,20141107,MIL,DET,MIL,21,23,28,23,,,,95
20141107MILDET,20141107,MIL,DET,DET,27,24,25,22,,,,98
20141107MEMOKC,20141107,MEM,OKC,MEM,22,27,17,25,,,,91
20141107MEMOKC,20141107,MEM,OKC,OKC,19,21,22,27,,,,89
20141107MINORL,20141107,MIN,ORL,MIN,27,25,25,17,9,,,103
20141107MINORL,20141107,MIN,ORL,ORL,26,21,27,20,18,,,112
20141107CHIPHI,20141107,CHI,PHI,CHI,33,24,35,26,,,,118
20141107CHIPHI,20141107,CHI,PHI,PHI,28,29,19,39,,,,115
20141107SACPHO,20141107,SAC,PHO,SAC,25,30,22,22,7,8,,114
20141107SACPHO,20141107,SAC,PHO,PHO,36,22,30,11,7,6,,112
20141107WASTOR,20141107,WAS,TOR,WAS,18,17,23,26,,,,84
20141107WASTOR,20141107,WAS,TOR,TOR,28,31,23,21,,,,103
20141107DALUTA,20141107,DAL,UTA,DAL,24,28,26,27,,,,105
20141107DALUTA,20141107,DAL,UTA,UTA,17,27,18,20,,,,82
20141108NYKATL,20141108,NYK,ATL,NYK,32,29,13,22,,,,96
20141108NYKATL,20141108,NYK,ATL,ATL,20,28,27,28,,,,103
20141108BOSCHI,20141108,BOS,CHI,BOS,20,36,27,23,,,,106
20141108BOSCHI,20141108,BOS,CHI,CHI,25,16,26,34,,,,101
20141108GSWHOU,20141108,GSW,HOU,GSW,25,23,28,22,,,,98
20141108GSWHOU,20141108,GSW,HOU,HOU,29,27,13,18,,,,87
20141108WASIND,20141108,WAS,IND,WAS,32,22,19,24,,,,97
20141108WASIND,20141108,WAS,IND,IND,14,21,30,25,,,,90
20141108PORLAC,20141108,POR,LAC,POR,38,24,17,23,,,,102
20141108PORLAC,20141108,POR,LAC,LAC,33,20,26,27,,,,106
20141108MINMIA,20141108,MIN,MIA,MIN,13,28,28,23,,,,92
20141108MINMIA,20141108,MIN,MIA,MIA,29,24,27,22,,,,102
20141108MEMMIL,20141108,MEM,MIL,MEM,23,28,21,20,,,,92
20141108MEMMIL,20141108,MEM,MIL,MIL,21,23,22,27,,,,93
20141108NOPSAS,20141108,NOP,SAS,NOP,30,25,26,19,,,,100
20141108NOPSAS,20141108,NOP,SAS,SAS,23,30,18,28,,,,99
20141109ORLBRK,20141109,ORL,BRK,ORL,23,29,25,19,,,,96
20141109ORLBRK,20141109,ORL,BRK,BRK,24,26,31,23,,,,104
20141109MIADAL,20141109,MIA,DAL,MIA,29,26,28,22,,,,105
20141109MIADAL,20141109,MIA,DAL,DAL,20,24,23,29,,,,96
20141109UTADET,20141109,UTA,DET,UTA,27,25,22,23,,,,97
20141109UTADET,20141109,UTA,DET,DET,21,31,27,17,,,,96
20141109CHOLAL,20141109,CHO,LAL,CHO,25,26,13,28,,,,92
20141109CHOLAL,20141109,CHO,LAL,LAL,18,24,34,31,,,,107
20141109SACOKC,20141109,SAC,OKC,SAC,17,22,26,28,,,,93
20141109SACOKC,20141109,SAC,OKC,OKC,24,28,15,34,,,,101
20141109GSWPHO,20141109,GSW,PHO,GSW,30,28,21,16,,,,95
20141109GSWPHO,20141109,GSW,PHO,PHO,28,19,24,36,,,,107
20141109DENPOR,20141109,DEN,POR,DEN,27,29,17,27,,,,100
20141109DENPOR,20141109,DEN,POR,POR,36,28,21,31,,,,116
20141109PHITOR,20141109,PHI,TOR,PHI,20,25,18,25,,,,88
20141109PHITOR,20141109,PHI,TOR,TOR,33,27,28,32,,,,120
20141110DETCHI,20141110,DET,CHI,DET,21,23,26,21,,,,91
20141110DETCHI,20141110,DET,CHI,CHI,27,33,18,24,,,,102
20141110NOPCLE,20141110,NOP,CLE,NOP,28,28,23,32,,,,111
20141110NOPCLE,20141110,NOP,CLE,CLE,24,27,34,33,,,,118
20141110UTAIND,20141110,UTA,IND,UTA,20,21,28,17,,,,86
20141110UTAIND,20141110,UTA,IND,IND,17,30,25,25,,,,97
20141110SASLAC,20141110,SAS,LAC,SAS,14,25,25,25,,,,89
20141110SASLAC,20141110,SAS,LAC,LAC,20,22,28,15,,,,85
20141110ATLNYK,20141110,ATL,NYK,ATL,17,21,26,27,,,,91
20141110ATLNYK,20141110,ATL,NYK,NYK,16,22,21,26,,,,85
20141111SACDAL,20141111,SAC,DAL,SAC,32,25,15,26,,,,98
20141111SACDAL,20141111,SAC,DAL,DAL,14,34,30,28,,,,106
20141111SASGSW,20141111,SAS,GSW,SAS,29,21,32,31,,,,113
20141111SASGSW,20141111,SAS,GSW,GSW,26,18,26,30,,,,100
20141111LALMEM,20141111,LAL,MEM,LAL,21,31,23,27,,,,102
20141111LALMEM,20141111,LAL,MEM,MEM,25,31,27,24,,,,107
20141111OKCMIL,20141111,OKC,MIL,OKC,22,16,26,14,,,,78
20141111OKCMIL,20141111,OKC,MIL,MIL,15,26,28,16,,,,85
20141111CHOPOR,20141111,CHO,POR,CHO,35,29,21,15,,,,100
20141111CHOPOR,20141111,CHO,POR,POR,21,30,24,27,,,,102
20141111ORLTOR,20141111,ORL,TOR,ORL,32,28,23,17,,,,100
20141111ORLTOR,20141111,ORL,TOR,TOR,24,27,21,32,,,,104
20141112UTAATL,20141112,UTA,ATL,UTA,32,22,34,9,,,,97
20141112UTAATL,20141112,UTA,ATL,ATL,32,25,25,18,,,,100
20141112OKCBOS,20141112,OKC,BOS,OKC,15,27,34,33,,,,109
20141112OKCBOS,20141112,OKC,BOS,BOS,24,27,21,22,,,,94
