gameid_num,gameid,away,home
0041400131,20150418WASTOR,WAS,TOR
0041400141,20150418NOPGSW,NOP,GSW
0041400121,20150418MILCHI,MIL,CHI
0041400151,20150418DALHOU,DAL,HOU
0041400111,20150419BOSCLE,BOS,CLE
0041400101,20150419BKNATL,BKN,ATL
0041400171,20150419PORMEM,POR,MEM
0041400161,20150419SASLAC,SAS,LAC
0041400122,20150420MILCHI,MIL,CHI
0041400142,20150420NOPGSW,NOP,GSW
0041400112,20150421BOSCLE,BOS,CLE
0041400132,20150421WASTOR,WAS,TOR
0041400152,20150421DALHOU,DAL,HOU
0041400102,20150422BKNATL,BKN,ATL
0041400172,20150422PORMEM,POR,MEM
0041400162,20150422SASLAC,SAS,LAC
0041400113,20150423CLEBOS,CLE,BOS
0041400123,20150423CHIMIL,CHI,MIL
0041400143,20150423GSWNOP,GSW,NOP
0041400153,20150424HOUDAL,HOU,DAL
0041400133,20150424TORWAS,TOR,WAS
0041400163,20150424LACSAS,LAC,SAS
0041400103,20150425ATLBKN,ATL,BKN
0041400124,20150425CHIMIL,CHI,MIL
0041400144,20150425GSWNOP,GSW,NOP
0041400173,20150425MEMPOR,MEM,POR
0041400114,20150426CLEBOS,CLE,BOS
0041400164,20150426LACSAS,LAC,SAS
0041400134,20150426TORWAS,TOR,WAS
0041400154,20150426HOUDAL,HOU,DAL
0041400104,20150427ATLBKN,ATL,BKN
0041400125,20150427MILCHI,MIL,CHI
0041400174,20150427MEMPOR,MEM,POR
0041400155,20150428DALHOU,DAL,HOU
0041400165,20150428SASLAC,SAS,LAC
0041400105,20150429BKNATL,BKN,ATL
0041400175,20150429PORMEM,POR,MEM
0041400126,20150430CHIMIL,CHI,MIL
0041400166,20150430LACSAS,LAC,SAS
0041400106,20150501ATLBKN,ATL,BKN
0041400167,20150502SASLAC,SAS,LAC
0041400201,20150503WASATL,WAS,ATL
0041400221,20150503MEMGSW,MEM,GSW
0041400211,20150504CHICLE,CHI,CLE
0041400231,20150504LACHOU,LAC,HOU
0041400202,20150505WASATL,WAS,ATL
0041400222,20150505MEMGSW,MEM,GSW
0041400212,20150506CHICLE,CHI,CLE
0041400232,20150506LACHOU,LAC,HOU
0041400213,20150508CLECHI,CLE,CHI
0041400233,20150508HOULAC,HOU,LAC
0041400203,20150509ATLWAS,ATL,WAS
0041400223,20150509GSWMEM,GSW,MEM
0041400214,20150510CLECHI,CLE,CHI
0041400234,20150510HOULAC,HOU,LAC
