gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
19791012NYKATL,,NYK,ATL,NYK,bill_cartwright,,,6,,0,,10,11,,,,,,,,,,,22
19791012NYKATL,,NYK,ATL,NYK,mike_glenn,,,7,,0,,3,3,,,,,,,,,,,17
19791012NYKATL,,NYK,ATL,NYK,toby_knight,,,8,,0,,0,0,,,,,,,,,,,16
19791012NYKATL,,NYK,ATL,NYK,joe_meriweather,,,5,,0,,2,3,,,,,,,,,,,12
19791012NYKATL,,NYK,ATL,NYK,micheal_ray_richardson,,,4,,0,,2,3,,,,,,,,,,,10
19791012NYKATL,,NYK,ATL,NYK,jim_cleamons,,,2,,0,,4,4,,,,,,,,,,,8
19791012NYKATL,,NYK,ATL,NYK,sly_williams,,,3,,0,,0,0,,,,,,,,,,,6
19791012NYKATL,,NYK,ATL,NYK,larry_demic,,,1,,0,,3,4,,,,,,,,,,,5
19791012NYKATL,,NYK,ATL,NYK,ray_williams,,,1,,0,,2,2,,,,,,,,,,,4
19791012NYKATL,,NYK,ATL,NYK,hollis_copeland,,,1,,0,,1,2,,,,,,,,,,,3
19791012NYKATL,,NYK,ATL,NYK,geoff_huston,,,0,,0,,1,2,,,,,,,,,,,1
19791012NYKATL,,NYK,ATL,NYK,total,,240,38,,0,,28,34,,,,,,,,,,,104
19791012NYKATL,,NYK,ATL,ATL,steve_hawes,,,7,,0,,6,7,,,,,,6,,,,,20
19791012NYKATL,,NYK,ATL,ATL,eddie_johnson,,,8,,0,,3,4,,,,,,,,,,,19
19791012NYKATL,,NYK,ATL,ATL,terry_furlow,,,8,,0,,2,2,,,,,,,,,,,18
19791012NYKATL,,NYK,ATL,ATL,john_drew,,,8,,0,,1,2,,,,,,,,,,,17
19791012NYKATL,,NYK,ATL,ATL,dan_roundfield,,,5,,0,,5,6,,,,,,,,,,,15
19791012NYKATL,,NYK,ATL,ATL,tom_mcmillen,,,6,,0,,2,2,,,,,,,,,,,14
19791012NYKATL,,NYK,ATL,ATL,armond_hill,,,4,,0,,1,2,,,,,,,,,,,9
19791012NYKATL,,NYK,ATL,ATL,jack_givens,,,2,,0,,1,2,,,,,,,,,,,5
19791012NYKATL,,NYK,ATL,ATL,ron_lee,,,1,,0,,0,0,,,,,,,,,,,2
19791012NYKATL,,NYK,ATL,ATL,tree_rollins,,,1,,0,,0,0,,,,,,,,,,,2
19791012NYKATL,,NYK,ATL,ATL,charlie_criss,,,0,,0,,0,0,,,,,,,,,,,0
19791012NYKATL,,NYK,ATL,ATL,total,,240,50,,0,,21,27,,,,,,,,,,,121
19791012HOUBOS,,HOU,BOS,HOU,moses_malone,,,10,,0,,11,14,,,,,,,,,,,31
19791012HOUBOS,,HOU,BOS,HOU,mike_dunleavy,,,4,,0,,10,11,,,,,,,,,,,18
19791012HOUBOS,,HOU,BOS,HOU,calvin_murphy,,,5,,0,,2,3,,,,,,,,,,,12
19791012HOUBOS,,HOU,BOS,HOU,robert_reid,,,5,,0,,1,3,,,,,,,,,,,11
19791012HOUBOS,,HOU,BOS,HOU,rick_barry,,,4,,1,,0,0,,,,,,,,,,,9
19791012HOUBOS,,HOU,BOS,HOU,rudy_tomjanovich,,,4,,0,,0,1,,,,,,,,,,,8
19791012HOUBOS,,HOU,BOS,HOU,tom_henderson,,,3,,0,,1,2,,,,,,,,,,,7
19791012HOUBOS,,HOU,BOS,HOU,dwight_jones,,,3,,0,,0,0,,,,,,,,,,,6
19791012HOUBOS,,HOU,BOS,HOU,major_jones,,,1,,0,,0,0,,,,,,,,,,,2
19791012HOUBOS,,HOU,BOS,HOU,rudy_white,,,0,,0,,2,2,,,,,,,,,,,2
19791012HOUBOS,,HOU,BOS,HOU,total,,240,39,,1,,27,36,,,,,,,,,,,106
19791012HOUBOS,,HOU,BOS,BOS,cedric_maxwell,,,9,,0,,4,4,,,,,,,,,,,22
19791012HOUBOS,,HOU,BOS,BOS,chris_ford,,,7,,1,,2,2,,,,,,,,,,,17
19791012HOUBOS,,HOU,BOS,BOS,ml_carr,,,6,,0,,3,3,,,,,,,,,,,15
19791012HOUBOS,,HOU,BOS,BOS,larry_bird,,,6,,0,,2,2,,,,,,,,,,,14
19791012HOUBOS,,HOU,BOS,BOS,tiny_archibald,,,4,,0,,5,6,,,,,,,,,,,13
19791012HOUBOS,,HOU,BOS,BOS,rick_robey,,,4,,0,,3,3,,,,,,,,,,,11
19791012HOUBOS,,HOU,BOS,BOS,dave_cowens,,,5,,0,,1,1,,,,,,,,,,,11
19791012HOUBOS,,HOU,BOS,BOS,jeff_judkins,,,2,,0,,3,4,,,,,,,,,,,7
19791012HOUBOS,,HOU,BOS,BOS,gerald_henderson,,,1,,0,,0,0,,,,,,,,,,,2
19791012HOUBOS,,HOU,BOS,BOS,don_chaney,,,1,,0,,0,0,,,,,,,,,,,2
19791012HOUBOS,,HOU,BOS,BOS,eric_fernsten,,,0,,0,,0,0,,,,,,,,,,,0
19791012HOUBOS,,HOU,BOS,BOS,total,,240,45,,1,,23,25,,,,,,,,,,,114
19791012INDDET,,IND,DET,IND,johnny_davis,,,9,,0,,10,10,,,,,,,,,,,28
19791012INDDET,,IND,DET,IND,alex_english,,,10,,0,,2,2,,,,,,,,,,,22
19791012INDDET,,IND,DET,IND,mickey_johnson,,,9,,0,,2,2,,,,,,,,,,,20
