gameid,away,home
19851025WSBATL,WSB,ATL
19851025CLECHI,CLE,CHI
19851025MILDET,MIL,DET
19851025DENGSW,DEN,GSW
19851025BOSNJN,BOS,NJN
19851025PHOPOR,PHO,POR
19851025LACSAC,LAC,SAC
19851025HOUUTA,HOU,UTA
19851026DETCHI,DET,CHI
19851026BOSCLE,BOS,CLE
19851026SEADAL,SEA,DAL
19851026SACDEN,SAC,DEN
19851026NJNIND,NJN,IND
19851026HOULAC,HOU,LAC
19851026ATLMIL,ATL,MIL
19851026PHINYK,PHI,NYK
19851026LALSAS,LAL,SAS
19851027GSWPOR,GSW,POR
19851029NYKATL,NYK,ATL
19851029WSBCLE,WSB,CLE
19851029LALDAL,LAL,DAL
19851029NJNDET,NJN,DET
19851029CHIGSW,CHI,GSW
19851029SEAHOU,SEA,HOU
19851029PORLAC,POR,LAC
19851029PHIMIL,PHI,MIL
19851029DENPHO,DEN,PHO
19851029UTASAS,UTA,SAS
19851030MILBOS,MIL,BOS
19851030INDNJN,IND,NJN
19851030DETPHI,DET,PHI
19851030SASUTA,SAS,UTA
19851031SEADEN,SEA,DEN
19851031NYKGSW,NYK,GSW
19851031CHILAC,CHI,LAC
19851031LALPHO,LAL,PHO
19851031HOUSAC,HOU,SAC
19851031CLEWSB,CLE,WSB
19851101ATLBOS,ATL,BOS
19851101INDDET,IND,DET
19851101PHINJN,PHI,NJN
19851101DALSAS,DAL,SAS
19851101PHOUTA,PHO,UTA
19851102PHIATL,PHI,ATL
19851102SACDAL,SAC,DAL
19851102LALGSW,LAL,GSW
19851102SASHOU,SAS,HOU
19851102DETIND,DET,IND
19851102NYKLAC,NYK,LAC
19851102NJNMIL,NJN,MIL
19851102UTAPOR,UTA,POR
19851102CHISEA,CHI,SEA
19851102BOSWSB,BOS,WSB
19851103MILCLE,MIL,CLE
19851103NYKPOR,NYK,POR
19851105ATLDEN,ATL,DEN
19851105PORHOU,POR,HOU
19851105CLELAL,CLE,LAL
19851105SASMIL,SAS,MIL
19851105WSBNJN,WSB,NJN
19851105NYKSEA,NYK,SEA
19851105GSWUTA,GSW,UTA
19851106PORDAL,POR,DAL
19851106CHIDET,CHI,DET
19851106SEAGSW,SEA,GSW
19851106INDPHI,IND,PHI
19851106ATLPHO,ATL,PHO
19851106SASWSB,SAS,WSB
19851107DALDEN,DAL,DEN
19851107LACHOU,LAC,HOU
19851107CHINJN,CHI,NJN
19851107MILNYK,MIL,NYK
19851107CLESAC,CLE,SAC
19851107LALUTA,LAL,UTA
19851108PHOBOS,PHO,BOS
19851108ATLGSW,ATL,GSW
19851108DENLAL,DEN,LAL
19851108SASPHI,SAS,PHI
19851108SEAPOR,SEA,POR
19851108DETWSB,DET,WSB
19851109HOUDAL,HOU,DAL
19851109BOSDET,BOS,DET
19851109PHOIND,PHO,IND
19851109ATLLAC,ATL,LAC
19851109MILNJN,MIL,NJN
19851109CHINYK,CHI,NYK
