gameid,away,home
19841026WSBCHI,WSB,CHI
19841026BOSDET,BOS,DET
19841026PHOGSW,PHO,GSW
19841026ATLNJN,ATL,NJN
19841026CLEPHI,CLE,PHI
19841026UTASEA,UTA,SEA
19841027PHIATL,PHI,ATL
19841027NJNCLE,NJN,CLE
19841027HOUDAL,HOU,DAL
19841027GSWDEN,GSW,DEN
19841027WSBIND,WSB,IND
19841027PORKCK,POR,KCK
19841027CHIMIL,CHI,MIL
19841027DETNYK,DET,NYK
19841027LALSAS,LAL,SAS
19841027LACUTA,LAC,UTA
19841028LALDAL,LAL,DAL
19841028PHOSEA,PHO,SEA
19841029MILCHI,MIL,CHI
19841030CLEDET,CLE,DET
19841030DALHOU,DAL,HOU
19841030CHIKCK,CHI,KCK
19841030GSWLAL,GSW,LAL
19841030PHINJN,PHI,NJN
19841030LACPHO,LAC,PHO
19841030SEAPOR,SEA,POR
19841030DENSAS,DEN,SAS
19841030NYKUTA,NYK,UTA
19841030ATLWSB,ATL,WSB
19841031NJNBOS,NJN,BOS
19841031DALIND,DAL,IND
19841031WSBMIL,WSB,MIL
19841101DETATL,DET,ATL
19841101CHIDEN,CHI,DEN
19841101SASGSW,SAS,GSW
19841101HOUKCK,HOU,KCK
19841101NYKLAC,NYK,LAC
19841101PORPHO,POR,PHO
19841101LALSEA,LAL,SEA
19841102DETBOS,DET,BOS
19841102INDCLE,IND,CLE
19841102SASLAL,SAS,LAL
19841102DALPHI,DAL,PHI
19841102SEAUTA,SEA,UTA
19841102MILWSB,MIL,WSB
19841103WSBATL,WSB,ATL
19841103PHODAL,PHO,DAL
19841103UTAGSW,UTA,GSW
19841103NYKHOU,NYK,HOU
19841103DENKCK,DEN,KCK
19841103PORLAC,POR,LAC
19841103CLEMIL,CLE,MIL
19841103INDNJN,IND,NJN
19841104PORLAL,POR,LAL
19841104NYKSAS,NYK,SAS
19841105DETCLE,DET,CLE
19841105DENLAC,DEN,LAC
19841106NYKDAL,NYK,DAL
19841106KCKHOU,KCK,HOU
19841106DENLAL,DEN,LAL
19841106PHOPOR,PHO,POR
19841106SEASAS,SEA,SAS
19841107LACBOS,LAC,BOS
19841107CHIDET,CHI,DET
19841107ATLMIL,ATL,MIL
19841107WSBNJN,WSB,NJN
19841107INDPHI,IND,PHI
19841107SASUTA,SAS,UTA
19841108ATLDAL,ATL,DAL
19841108PORDEN,POR,DEN
19841108LALGSW,LAL,GSW
19841108SEAHOU,SEA,HOU
19841108CHINYK,CHI,NYK
19841108CLEPHO,CLE,PHO
19841108LACWSB,LAC,WSB
19841109PHIBOS,PHI,BOS
19841109INDMIL,IND,MIL
19841109KCKNJN,KCK,NJN
19841109LALPOR,LAL,POR
19841109GSWUTA,GSW,UTA
19841110SEADAL,SEA,DAL
19841110UTADEN,UTA,DEN
19841110MILDET,MIL,DET
19841110LACHOU,LAC,HOU
19841110CHIIND,CHI,IND
19841110KCKNYK,KCK,NYK
19841110ATLPHO,ATL,PHO
19841110CLESAS,CLE,SAS
19841110BOSWSB,BOS,WSB
19841111NJNLAL,NJN,LAL
19841111GSWPOR,GSW,POR
19841112BOSIND,BOS,IND
19841112DALUTA,DAL,UTA
19841113MILATL,MIL,ATL
19841113SASCHI,SAS,CHI
19841113PHODEN,PHO,DEN
19841113CLEHOU,CLE,HOU
19841113NJNLAC,NJN,LAC
19841113WSBNYK,WSB,NYK
19841113DALPOR,DAL,POR
19841113GSWSEA,GSW,SEA
19841114NYKBOS,NYK,BOS
19841114HOUIND,HOU,IND
19841114DETPHI,DET,PHI
19841114NJNPHO,NJN,PHO
19841114SASWSB,SAS,WSB
19841115CLEATL,CLE,ATL
19841115BOSCHI,BOS,CHI
19841115DALGSW,DAL,GSW
19841115MILLAC,MIL,LAC
19841115UTAPOR,UTA,POR
19841116HOUDEN,HOU,DEN
19841116PHIDET,PHI,DET
19841116SASIND,SAS,IND
19841116KCKLAL,KCK,LAL
19841116MILPHO,MIL,PHO
19841116PORSEA,POR,SEA
19841116NYKWSB,NYK,WSB
19841117INDATL,IND,ATL
19841117PHICHI,PHI,CHI
19841117DETDAL,DET,DAL
19841117NJNGSW,NJN,GSW
19841117SASHOU,SAS,HOU
19841117KCKLAC,KCK,LAC
19841117CLENYK,CLE,NYK
19841117PHOUTA,PHO,UTA
19841118MILLAL,MIL,LAL
19841118LACPOR,LAC,POR
19841118NJNSEA,NJN,SEA
19841119INDCHI,IND,CHI
19841120MILDAL,MIL,DAL
19841120DETHOU,DET,HOU
19841120UTAKCK,UTA,KCK
19841120PHOLAL,PHO,LAL
19841120GSWNYK,GSW,NYK
19841120WSBPHI,WSB,PHI
