gameid,away,home,nprds
20141119NYKMIN,NYK,MIN,4
20141119OKCDEN,OKC,DEN,4
20141119LALHOU,LAL,HOU,4
20141120LACMIA,LAC,MIA,4
20141120CHISAC,CHI,SAC,4
20141121ORLCHA,ORL,CHA,4
20141121PHXPHI,PHX,PHI,4
20141121DETATL,DET,ATL,4
20141121MILTOR,MIL,TOR,4
20141121BOSMEM,BOS,MEM,4
20141121SASMIN,SAS,MIN,4
20141121BKNOKC,BKN,OKC,4
20141121CLEWAS,CLE,WAS,4
20141121LALDAL,LAL,DAL,4
20141121NOPDEN,NOP,DEN,4
20141121UTAGSW,UTA,GSW,4
20141121CHIPOR,CHI,POR,4
20141122PHXIND,PHX,IND,4
20141122MIAORL,MIA,ORL,4
20141122TORCLE,TOR,CLE,4
20141122PHINYK,PHI,NYK,4
20141122DALHOU,DAL,HOU,4
20141122SACMIN,SAC,MIN,4
20141122WASMIL,WAS,MIL,4
20141122BKNSAS,BKN,SAS,4
20141122NOPUTA,NOP,UTA,4
20141123LACMEM,LAC,MEM,4
20141123PORBOS,POR,BOS,4
20141123CHAMIA,CHA,MIA,4
20141123GSWOKC,GSW,OKC,4
20141123DENLAL,DEN,LAL,5
20141124LACCHA,LAC,CHA,4
20141124ORLCLE,ORL,CLE,4
20141124PORPHI,POR,PHI,4
20141124PHXTOR,PHX,TOR,4
20141124NYKHOU,NYK,HOU,4
20141124INDDAL,IND,DAL,4
20141124CHIUTA,CHI,UTA,4
20141125ATLWAS,ATL,WAS,4
20141125GSWMIA,GSW,MIA,4
20141125DETMIL,DET,MIL,4
20141125SACNOP,SAC,NOP,4
20141125CHIDEN,CHI,DEN,4
20141126PORCHA,POR,CHA,4
20141126WASCLE,WAS,CLE,4
20141126GSWORL,GSW,ORL,4
20141126BKNPHI,BKN,PHI,4
20141126NYKDAL,NYK,DAL,5
20141126TORATL,TOR,ATL,4
20141126LACDET,LAC,DET,4
20141126SACHOU,SAC,HOU,4
20141126MILMIN,MIL,MIN,4
20141126UTAOKC,UTA,OKC,4
20141126INDSAS,IND,SAS,4
20141126DENPHX,DEN,PHX,4
20141126MEMLAL,MEM,LAL,4
20141128CHIBOS,CHI,BOS,4
20141128GSWCHA,GSW,CHA,4
20141128NOPATL,NOP,ATL,4
20141128MILDET,MIL,DET,4
20141128DALTOR,DAL,TOR,4
20141128LACHOU,LAC,HOU,4
20141128NYKOKC,NYK,OKC,4
20141128ORLIND,ORL,IND,4
20141128SACSAS,SAC,SAS,4
20141128PHXDEN,PHX,DEN,4
20141128MEMPOR,MEM,POR,4
20141128MINLAL,MIN,LAL,4
20141129DALPHI,DAL,PHI,4
20141129NOPWAS,NOP,WAS,4
20141129CHAATL,CHA,ATL,4
20141129INDCLE,IND,CLE,4
20141129LACUTA,LAC,UTA,4
20141129HOUMIL,HOU,MIL,4
20141130SASBOS,SAS,BOS,4
20141130CHIBKN,CHI,BKN,4
20141130GSWDET,GSW,DET,4
20141130MEMSAC,MEM,SAC,4
20141130MIANYK,MIA,NYK,4
20141130ORLPHX,ORL,PHX,4
20141130MINPOR,MIN,POR,4
20141130TORLAL,TOR,LAL,5
20141201SASPHI,SAS,PHI,4
20141201MIAWAS,MIA,WAS,4
20141201DENUTA,DEN,UTA,4
20141201MINLAC,MIN,LAC,4
20141202MILCLE,MIL,CLE,4
20141202BOSATL,BOS,ATL,4
20141202LALDET,LAL,DET,4
20141202BKNNYK,BKN,NYK,4
20141202DALCHI,DAL,CHI,6
20141202OKCNOP,OKC,NOP,4
20141202PORDEN,POR,DEN,4
20141202INDPHX,IND,PHX,4
20141202TORSAC,TOR,SAC,4
20141202ORLGSW,ORL,GSW,4
20141203CHICHA,CHI,CHA,4
