gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20011030BOSCLE,,BOS,CLE,BOS,antoine_walker,,30:00,6,20,4,8,7,8,,2,6,8,7,2,0,1,0,,23
20011030BOSCLE,,BOS,CLE,BOS,paul_pierce,,28:00,12,20,2,3,3,4,,1,4,5,1,2,2,2,1,,29
20011030BOSCLE,,BOS,CLE,BOS,eric_williams,,22:00,2,7,0,0,3,4,,3,0,3,0,3,2,2,0,,7
20011030BOSCLE,,BOS,CLE,BOS,kenny_anderson,,22:00,2,4,0,1,3,3,,0,7,7,6,1,2,1,0,,7
20011030BOSCLE,,BOS,CLE,BOS,tony_battie,,15:00,2,3,0,0,2,2,,2,3,5,1,0,0,0,0,,6
20011030BOSCLE,,BOS,CLE,BOS,joe_johnson,,33:00,5,10,0,2,0,0,,0,7,7,4,0,0,0,0,,10
20011030BOSCLE,,BOS,CLE,BOS,milt_palacio,,21:00,2,5,2,3,2,2,,0,2,2,2,2,0,0,0,,8
20011030BOSCLE,,BOS,CLE,BOS,vitaly_potapenko,,18:00,2,4,0,0,4,4,,2,4,6,1,1,0,3,0,,8
20011030BOSCLE,,BOS,CLE,BOS,walter_mccarty,,18:00,2,4,0,0,0,0,,0,2,2,0,2,0,1,0,,4
20011030BOSCLE,,BOS,CLE,BOS,mark_blount,,15:00,1,1,0,0,2,2,,0,2,2,0,1,0,2,1,,4
20011030BOSCLE,,BOS,CLE,BOS,joseph_forte,,13:00,0,2,0,1,2,2,,0,1,1,2,0,0,2,0,,2
20011030BOSCLE,,BOS,CLE,BOS,kedrick_brown,,5:00,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,,0
20011030BOSCLE,,BOS,CLE,BOS,total,,240,36,81,8,18,28,31,,10,38,48,24,14,6,14,2,,108
20011030BOSCLE,,BOS,CLE,CLE,wesley_person,,33:00,6,16,1,4,0,0,,0,4,4,3,0,2,0,1,,13
20011030BOSCLE,,BOS,CLE,CLE,andre_miller,,29:00,4,12,0,0,1,2,,0,1,1,9,1,0,3,0,,9
20011030BOSCLE,,BOS,CLE,CLE,michael_doleac,,25:00,0,3,0,0,2,2,,1,7,8,2,4,0,1,0,,2
20011030BOSCLE,,BOS,CLE,CLE,chris_mihm,,19:00,3,7,0,0,0,0,,1,2,3,0,3,0,1,4,,6
20011030BOSCLE,,BOS,CLE,CLE,lamond_murray,,14:00,3,6,0,1,0,1,,1,2,3,1,4,1,2,2,,6
