gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19931105INDATL,19931105,IND,ATL,IND,32,23,24,31,,,,110
19931105INDATL,19931105,IND,ATL,ATL,32,28,30,26,,,,116
19931105NYKBOS,19931105,NYK,BOS,NYK,27,30,29,25,,,,111
19931105NYKBOS,19931105,NYK,BOS,BOS,30,18,22,38,,,,108
19931105CHICHH,19931105,CHI,CHH,CHI,30,32,27,27,8,,,124
19931105CHICHH,19931105,CHI,CHH,CHH,29,32,32,23,7,,,123
19931105MILCLE,19931105,MIL,CLE,MIL,22,26,29,17,,,,94
19931105MILCLE,19931105,MIL,CLE,CLE,22,27,20,22,,,,91
19931105MINDET,19931105,MIN,DET,MIN,31,27,19,22,,,,99
19931105MINDET,19931105,MIN,DET,DET,23,22,30,29,,,,104
19931105NJNHOU,19931105,NJN,HOU,NJN,25,17,22,24,,,,88
19931105NJNHOU,19931105,NJN,HOU,HOU,26,25,35,24,,,,110
19931105PORLAC,19931105,POR,LAC,POR,21,25,26,23,,,,95
19931105PORLAC,19931105,POR,LAC,LAC,31,18,20,28,,,,97
19931105PHOLAL,19931105,PHO,LAL,PHO,21,28,30,29,,,,108
19931105PHOLAL,19931105,PHO,LAL,LAL,26,32,27,31,,,,116
19931105ORLMIA,19931105,ORL,MIA,ORL,25,29,31,31,,,,116
19931105ORLMIA,19931105,ORL,MIA,MIA,29,21,24,22,,,,96
19931105WSBPHI,19931105,WSB,PHI,WSB,16,21,27,18,,,,82
19931105WSBPHI,19931105,WSB,PHI,PHI,24,26,17,27,,,,94
19931105DENSAC,19931105,DEN,SAC,DEN,29,33,26,12,,,,100
19931105DENSAC,19931105,DEN,SAC,SAC,21,29,25,34,,,,109
19931105GSWSAS,19931105,GSW,SAS,GSW,17,17,17,34,,,,85
19931105GSWSAS,19931105,GSW,SAS,SAS,19,17,27,28,,,,91
19931105DALUTA,19931105,DAL,UTA,DAL,19,18,29,20,,,,86
19931105DALUTA,19931105,DAL,UTA,UTA,17,27,32,26,,,,102
19931106MIACHI,19931106,MIA,CHI,MIA,23,18,28,26,,,,95
19931106MIACHI,19931106,MIA,CHI,CHI,19,6,25,21,,,,71
19931106GSWDAL,19931106,GSW,DAL,GSW,28,26,21,18,,,,93
19931106GSWDAL,19931106,GSW,DAL,DAL,23,20,26,20,,,,89
19931106DETIND,19931106,DET,IND,DET,31,27,28,27,,,,113
19931106DETIND,19931106,DET,IND,IND,25,26,28,28,,,,107
19931106CHHMIL,19931106,CHH,MIL,CHH,25,28,30,37,,,,120
19931106CHHMIL,19931106,CHH,MIL,MIL,29,30,26,18,,,,103
19931106UTAMIN,19931106,UTA,MIN,UTA,29,20,23,33,,,,105
19931106UTAMIN,19931106,UTA,MIN,MIN,31,18,22,24,,,,95
19931106PHIORL,19931106,PHI,ORL,PHI,25,23,26,15,,,,89
19931106PHIORL,19931106,PHI,ORL,ORL,29,25,33,27,,,,114
19931106LALSEA,19931106,LAL,SEA,LAL,23,22,21,35,,,,101
19931106LALSEA,19931106,LAL,SEA,SEA,34,29,35,31,,,,129
19931106BOSWSB,19931106,BOS,WSB,BOS,29,22,25,24,,,,100
19931106BOSWSB,19931106,BOS,WSB,WSB,23,24,21,20,,,,88
19931107NYKCLE,19931107,NYK,CLE,NYK,25,26,30,22,12,,,115
19931107NYKCLE,19931107,NYK,CLE,CLE,30,31,21,21,4,,,107
