gameid,away,home
20131029ORLIND,ORL,IND
20131029LACLAL,LAC,LAL
20131029CHIMIA,CHI,MIA
20131030BRKCLE,BRK,CLE
20131030ATLDAL,ATL,DAL
20131030WASDET,WAS,DET
20131030LALGSW,LAL,GSW
20131030CHAHOU,CHA,HOU
20131030ORLMIN,ORL,MIN
20131030INDNOP,IND,NOP
20131030MILNYK,MIL,NYK
20131030MIAPHI,MIA,PHI
20131030PORPHO,POR,PHO
20131030DENSAC,DEN,SAC
20131030MEMSAS,MEM,SAS
20131030BOSTOR,BOS,TOR
20131030OKCUTA,OKC,UTA
20131031NYKCHI,NYK,CHI
20131031GSWLAC,GSW,LAC
20131101TORATL,TOR,ATL
20131101MILBOS,MIL,BOS
20131101MIABRK,MIA,BRK
20131101CLECHA,CLE,CHA
20131101PORDEN,POR,DEN
20131101DALHOU,DAL,HOU
20131101SASLAL,SAS,LAL
20131101DETMEM,DET,MEM
20131101OKCMIN,OKC,MIN
20131101NOPORL,NOP,ORL
20131101UTAPHO,UTA,PHO
20131101LACSAC,LAC,SAC
20131101PHIWAS,PHI,WAS
20131102MEMDAL,MEM,DAL
20131102SACGSW,SAC,GSW
20131102CLEIND,CLE,IND
20131102TORMIL,TOR,MIL
20131102CHANOP,CHA,NOP
20131102CHIPHI,CHI,PHI
20131102SASPOR,SAS,POR
20131102HOUUTA,HOU,UTA
20131103BOSDET,BOS,DET
20131103ATLLAL,ATL,LAL
20131103WASMIA,WAS,MIA
20131103MINNYK,MIN,NYK
20131103PHOOKC,PHO,OKC
20131103BRKORL,BRK,ORL
20131104MINCLE,MIN,CLE
20131104HOULAC,HOU,LAC
20131104BOSMEM,BOS,MEM
20131104GSWPHI,GSW,PHI
20131105UTABRK,UTA,BRK
20131105LALDAL,LAL,DAL
20131105SASDEN,SAS,DEN
20131105INDDET,IND,DET
20131105PHONOP,PHO,NOP
20131105CHANYK,CHA,NYK
20131105HOUPOR,HOU,POR
20131105ATLSAC,ATL,SAC
20131105MIATOR,MIA,TOR
20131106UTABOS,UTA,BOS
20131106TORCHA,TOR,CHA
20131106CHIIND,CHI,IND
20131106NOPMEM,NOP,MEM
20131106CLEMIL,CLE,MIL
20131106GSWMIN,GSW,MIN
20131106DALOKC,DAL,OKC
20131106LACORL,LAC,ORL
20131106WASPHI,WAS,PHI
20131106PHOSAS,PHO,SAS
20131107ATLDEN,ATL,DEN
20131107LALHOU,LAL,HOU
20131107LACMIA,LAC,MIA
20131108NYKCHA,NYK,CHA
20131108UTACHI,UTA,CHI
20131108OKCDET,OKC,DET
20131108TORIND,TOR,IND
20131108DALMIN,DAL,MIN
20131108LALNOP,LAL,NOP
20131108BOSORL,BOS,ORL
20131108CLEPHI,CLE,PHI
20131108DENPHO,DEN,PHO
20131108SACPOR,SAC,POR
20131108GSWSAS,GSW,SAS
20131108BRKWAS,BRK,WAS
20131109ORLATL,ORL,ATL
20131109INDBRK,IND,BRK
20131109PHICLE,PHI,CLE
20131109LACHOU,LAC,HOU
20131109GSWMEM,GSW,MEM
20131109BOSMIA,BOS,MIA
20131109DALMIL,DAL,MIL
20131109PORSAC,POR,SAC
20131109UTATOR,UTA,TOR
20131110MINLAL,MIN,LAL
20131110SASNYK,SAS,NYK
20131110WASOKC,WAS,OKC
20131110NOPPHO,NOP,PHO
20131111ORLBOS,ORL,BOS
20131111ATLCHA,ATL,CHA
20131111CLECHI,CLE,CHI
20131111TORHOU,TOR,HOU
20131111MEMIND,MEM,IND
20131111MINLAC,MIN,LAC
20131111SASPHI,SAS,PHI
20131111DETPOR,DET,POR
20131111DENUTA,DEN,UTA
20131112WASDAL,WAS,DAL
20131112DETGSW,DET,GSW
20131112NOPLAL,NOP,LAL
20131112MILMIA,MIL,MIA
20131113NYKATL,NYK,ATL
20131113CHABOS,CHA,BOS
20131113LALDEN,LAL,DEN
20131113OKCLAC,OKC,LAC
20131113TORMEM,TOR,MEM
20131113CLEMIN,CLE,MIN
20131113MILORL,MIL,ORL
20131113HOUPHI,HOU,PHI
20131113PHOPOR,PHO,POR
20131113BRKSAC,BRK,SAC
20131113WASSAS,WAS,SAS
20131113NOPUTA,NOP,UTA
20131114OKCGSW,OKC,GSW
20131114HOUNYK,HOU,NYK
20131115PHIATL,PHI,ATL
20131115PORBOS,POR,BOS
20131115CHACLE,CHA,CLE
20131115MINDEN,MIN,DEN
20131115MILIND,MIL,IND
20131115MEMLAL,MEM,LAL
20131115DALMIA,DAL,MIA
20131115BRKPHO,BRK,PHO
20131115DETSAC,DET,SAC
20131115CHITOR,CHI,TOR
20131115SASUTA,SAS,UTA
20131116MIACHA,MIA,CHA
20131116INDCHI,IND,CHI
20131116UTAGSW,UTA,GSW
20131116DENHOU,DEN,HOU
20131116BRKLAC,BRK,LAC
20131116OKCMIL,OKC,MIL
20131116BOSMIN,BOS,MIN
20131116PHINOP,PHI,NOP
20131116ATLNYK,ATL,NYK
20131116DALORL,DAL,ORL
20131116CLEWAS,CLE,WAS
20131117DETLAL,DET,LAL
20131117MEMSAC,MEM,SAC
20131117PORTOR,POR,TOR
20131118PORBRK,POR,BRK
20131118CHACHI,CHA,CHI
20131118PHIDAL,PHI,DAL
20131118MEMLAC,MEM,LAC
20131118DENOKC,DEN,OKC
20131118GSWUTA,GSW,UTA
20131119NYKDET,NYK,DET
20131119BOSHOU,BOS,HOU
20131119ATLMIA,ATL,MIA
20131119PHOSAC,PHO,SAC
20131119MINWAS,MIN,WAS
20131120DETATL,DET,ATL
20131120BRKCHA,BRK,CHA
20131120WASCLE,WAS,CLE
20131120HOUDAL,HOU,DAL
20131120MEMGSW,MEM,GSW
20131120PORMIL,POR,MIL
20131120LACMIN,LAC,MIN
20131120UTANOP,UTA,NOP
20131120INDNYK,IND,NYK
20131120MIAORL,MIA,ORL
20131120TORPHI,TOR,PHI
20131120SACPHO,SAC,PHO
20131120BOSSAS,BOS,SAS
20131121CHIDEN,CHI,DEN
20131121LACOKC,LAC,OKC
20131122INDBOS,IND,BOS
20131122PHOCHA,PHO,CHA
20131122UTADAL,UTA,DAL
20131122ATLDET,ATL,DET
20131122GSWLAL,GSW,LAL
20131122SASMEM,SAS,MEM
20131122BRKMIN,BRK,MIN
20131122CLENOP,CLE,NOP
20131122MILPHI,MIL,PHI
20131122CHIPOR,CHI,POR
20131122WASTOR,WAS,TOR
20131123BOSATL,BOS,ATL
20131123DALDEN,DAL,DEN
20131123PORGSW,POR,GSW
20131123MINHOU,MIN,HOU
20131123PHIIND,PHI,IND
20131123SACLAC,SAC,LAC
20131123ORLMIA,ORL,MIA
20131123CHAMIL,CHA,MIL
20131123CLESAS,CLE,SAS
20131123NYKWAS,NYK,WAS
20131124DETBRK,DET,BRK
20131124CHILAC,CHI,LAC
20131124SACLAL,SAC,LAL
20131124UTAOKC,UTA,OKC
20131124PHOORL,PHO,ORL
20131125BOSCHA,BOS,CHA
20131125DENDAL,DEN,DAL
20131125MILDET,MIL,DET
20131125MININD,MIN,IND
20131125HOUMEM,HOU,MEM
20131125PHOMIA,PHO,MIA
20131125NYKPOR,NYK,POR
20131125NOPSAS,NOP,SAS
20131125CHIUTA,CHI,UTA
20131126ORLATL,ORL,ATL
20131126GSWNOP,GSW,NOP
20131126BRKTOR,BRK,TOR
20131126LALWAS,LAL,WAS
20131127MEMBOS,MEM,BOS
20131127LALBRK,LAL,BRK
20131127INDCHA,IND,CHA
20131127MIACLE,MIA,CLE
20131127GSWDAL,GSW,DAL
20131127CHIDET,CHI,DET
20131127ATLHOU,ATL,HOU
20131127NYKLAC,NYK,LAC
20131127WASMIL,WAS,MIL
20131127DENMIN,DEN,MIN
20131127SASOKC,SAS,OKC
20131127PHIORL,PHI,ORL
20131127PORPHO,POR,PHO
20131129DALATL,DAL,ATL
20131129CLEBOS,CLE,BOS
20131129MILCHA,MIL,CHA
20131129NYKDEN,NYK,DEN
20131129LALDET,LAL,DET
20131129BRKHOU,BRK,HOU
20131129WASIND,WAS,IND
20131129GSWOKC,GSW,OKC
20131129SASORL,SAS,ORL
20131129NOPPHI,NOP,PHI
20131129LACSAC,LAC,SAC
20131129MIATOR,MIA,TOR
20131129PHOUTA,PHO,UTA
20131130CHICLE,CHI,CLE
20131130MINDAL,MIN,DAL
20131130BRKMEM,BRK,MEM
20131130BOSMIL,BOS,MIL
20131130UTAPHO,UTA,PHO
20131130HOUSAS,HOU,SAS
20131130ATLWAS,ATL,WAS
20131201PHIDET,PHI,DET
20131201INDLAC,IND,LAC
20131201PORLAL,POR,LAL
20131201CHAMIA,CHA,MIA
20131201NOPNYK,NOP,NYK
20131201MINOKC,MIN,OKC
20131201GSWSAC,GSW,SAC
20131201DENTOR,DEN,TOR
20131202NOPCHI,NOP,CHI
20131202INDPOR,IND,POR
20131202ATLSAS,ATL,SAS
20131202HOUUTA,HOU,UTA
20131202ORLWAS,ORL,WAS
20131203MILBOS,MIL,BOS
20131203DENBRK,DEN,BRK
20131203CHADAL,CHA,DAL
20131203TORGSW,TOR,GSW
20131203PHOMEM,PHO,MEM
20131203DETMIA,DET,MIA
20131203ORLPHI,ORL,PHI
20131203OKCSAC,OKC,SAC
20131204LACATL,LAC,ATL
20131204DENCLE,DEN,CLE
20131204PHOHOU,PHO,HOU
20131204DETMIL,DET,MIL
20131204DALNOP,DAL,NOP
20131204OKCPOR,OKC,POR
20131204INDUTA,IND,UTA
20131205NYKBRK,NYK,BRK
20131205MIACHI,MIA,CHI
20131205LACMEM,LAC,MEM
20131206CLEATL,CLE,ATL
20131206DENBOS,DEN,BOS
20131206PHICHA,PHI,CHA
20131206GSWHOU,GSW,HOU
20131206OKCNOP,OKC,NOP
20131206ORLNYK,ORL,NYK
20131206TORPHO,TOR,PHO
20131206UTAPOR,UTA,POR
20131206LALSAC,LAL,SAC
20131206MILWAS,MIL,WAS
20131207DETCHI,DET,CHI
20131207LACCLE,LAC,CLE
20131207GSWMEM,GSW,MEM
20131207BRKMIL,BRK,MIL
20131207MIAMIN,MIA,MIN
20131207DENPHI,DEN,PHI
20131207DALPOR,DAL,POR
