gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
19901102ORLATL,,ORL,ATL,ORL,greg_kite,,35:00,3,5,0,0,0,1,,4,4,8,1,4,1,2,1,,6
19901102ORLATL,,ORL,ATL,ORL,nick_anderson,,33:00,9,14,0,0,1,2,,2,4,6,2,2,2,2,2,,19
19901102ORLATL,,ORL,ATL,ORL,jeff_turner,,16:00,3,7,0,0,0,0,,1,4,5,0,3,0,0,0,,6
19901102ORLATL,,ORL,ATL,ORL,scott_skiles,,15:00,1,3,0,0,0,0,,0,2,2,4,2,0,2,0,,2
19901102ORLATL,,ORL,ATL,ORL,jerry_reynolds,,12:00,1,5,0,0,0,0,,0,0,0,1,1,1,1,1,,2
19901102ORLATL,,ORL,ATL,ORL,sam_vincent,,33:00,8,17,0,0,2,2,,0,2,2,7,4,2,3,0,,18
19901102ORLATL,,ORL,ATL,ORL,dennis_scott,,29:00,3,11,2,5,1,1,,0,2,2,4,3,1,0,1,,9
19901102ORLATL,,ORL,ATL,ORL,terry_catledge,,28:00,10,14,0,0,7,12,,3,5,8,1,0,1,3,0,,27
19901102ORLATL,,ORL,ATL,ORL,otis_smith,,24:00,5,15,0,0,6,8,,5,7,12,1,4,2,1,0,,16
19901102ORLATL,,ORL,ATL,ORL,mark_acres,,11:00,3,4,0,0,0,0,,3,3,6,0,2,0,1,0,,6
19901102ORLATL,,ORL,ATL,ORL,michael_ansley,,4:00,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,,0
19901102ORLATL,,ORL,ATL,ORL,total,,240,46,96,2,5,17,26,,18,33,51,21,26,10,15,5,,111
19901102ORLATL,,ORL,ATL,ATL,dominique_wilkins,,40:00,11,20,2,3,8,11,,2,7,9,7,3,3,3,2,,32
19901102ORLATL,,ORL,ATL,ATL,kevin_willis,,39:00,7,14,0,0,3,6,,5,6,11,4,4,0,3,1,,17
19901102ORLATL,,ORL,ATL,ATL,moses_malone,,31:00,3,7,0,0,1,2,,0,7,7,3,1,0,2,4,,7
19901102ORLATL,,ORL,ATL,ATL,rumeal_robinson,,29:00,8,13,0,0,3,5,,3,4,7,7,1,0,1,3,,19
19901102ORLATL,,ORL,ATL,ATL,doc_rivers,,24:00,6,10,1,1,1,2,,0,0,0,2,6,2,0,1,,14
19901102ORLATL,,ORL,ATL,ATL,sidney_moncrief,,22:00,3,6,0,1,0,0,,0,1,1,1,1,1,1,0,,6
