gameid,away,home
20061031PHOLAL,PHO,LAL
20061031CHIMIA,CHI,MIA
20061101NOKBOS,NOK,BOS
20061101INDCHA,IND,CHA
20061101WASCLE,WAS,CLE
20061101MILDET,MIL,DET
20061101LALGSW,LAL,GSW
20061101NYKMEM,NYK,MEM
20061101SACMIN,SAC,MIN
20061101TORNJN,TOR,NJN
20061101CHIORL,CHI,ORL
20061101ATLPHI,ATL,PHI
20061101LACPHO,LAC,PHO
20061101PORSEA,POR,SEA
20061101HOUUTA,HOU,UTA
20061102SASDAL,SAS,DAL
20061102DENLAC,DEN,LAC
20061103NYKATL,NYK,ATL
20061103DETBOS,DET,BOS
20061103SACCHI,SAC,CHI
20061103MINDEN,MIN,DEN
20061103PORGSW,POR,GSW
20061103NOKIND,NOK,IND
20061103SEALAL,SEA,LAL
20061103CHAMEM,CHA,MEM
20061103NJNMIA,NJN,MIA
20061103PHIORL,PHI,ORL
20061103UTAPHO,UTA,PHO
20061103CLESAS,CLE,SAS
20061103MILTOR,MIL,TOR
20061104CLECHA,CLE,CHA
20061104MEMDET,MEM,DET
20061104DALHOU,DAL,HOU
20061104PHOLAC,PHO,LAC
20061104SACMIL,SAC,MIL
20061104INDNYK,IND,NYK
20061104MINPOR,MIN,POR
20061104GSWUTA,GSW,UTA
20061104BOSWAS,BOS,WAS
20061105ORLATL,ORL,ATL
20061105HOUNOK,HOU,NOK
20061105MIAPHI,MIA,PHI
20061105LALSEA,LAL,SEA
20061105SASTOR,SAS,TOR
20061106MILCHI,MIL,CHI
20061106GSWDAL,GSW,DAL
20061106PORLAC,POR,LAC
20061106SASNYK,SAS,NYK
20061106WASORL,WAS,ORL
20061106MINSAC,MIN,SAC
20061106DETUTA,DET,UTA
20061107ATLCLE,ATL,CLE
20061107PHIIND,PHI,IND
20061107MINLAL,MIN,LAL
20061107HOUMEM,HOU,MEM
20061107SEAMIA,SEA,MIA
20061107GSWNOK,GSW,NOK
20061108CHABOS,CHA,BOS
20061108NYKDEN,NYK,DEN
20061108DALLAC,DAL,LAC
20061108HOUMIL,HOU,MIL
20061108UTANJN,UTA,NJN
20061108SEAORL,SEA,ORL
20061108LALPOR,LAL,POR
20061108DETSAC,DET,SAC
20061108PHOSAS,PHO,SAS
20061108PHITOR,PHI,TOR
20061108INDWAS,IND,WAS
20061109CHICLE,CHI,CLE
20061109NOKGSW,NOK,GSW
20061109DALPHO,DAL,PHO
20061110UTABOS,UTA,BOS
20061110SEACHA,SEA,CHA
20061110NYKHOU,NYK,HOU
20061110ORLIND,ORL,IND
20061110DETLAL,DET,LAL
20061110MIANJN,MIA,NJN
20061110DENPHI,DEN,PHI
20061110NOKPOR,NOK,POR
20061110ATLTOR,ATL,TOR
20061110MILWAS,MIL,WAS
20061111SEAATL,SEA,ATL
20061111INDCHI,IND,CHI
20061111BOSCLE,BOS,CLE
20061111DETGSW,DET,GSW
20061111UTAMIL,UTA,MIL
20061111ORLMIN,ORL,MIN
20061111MEMPHO,MEM,PHO
20061111NYKSAS,NYK,SAS
20061112DENCHA,DEN,CHA
20061112NOKLAC,NOK,LAC
20061112MEMLAL,MEM,LAL
20061112HOUMIA,HOU,MIA
20061112DALPOR,DAL,POR
20061112TORSAC,TOR,SAC
20061112NJNWAS,NJN,WAS
20061113ORLBOS,ORL,BOS
20061113SEANJN,SEA,NJN
20061113CLENYK,CLE,NYK
20061114MILATL,MIL,ATL
