gameid,season,away,home
20091118GSWBOS,2009,GSW,BOS
20091118SASDAL,2009,SAS,DAL
20091118NYKIND,2009,NYK,IND
20091118LACMEM,2009,LAC,MEM
20091118NJNMIL,2009,NJN,MIL
20091118HOUMIN,2009,HOU,MIN
20091118OKCORL,2009,OKC,ORL
20091118CHAPHI,2009,CHA,PHI
20091118DETPOR,2009,DET,POR
20091118TORUTA,2009,TOR,UTA
20091118CLEWAS,2009,CLE,WAS
20091119CHILAL,2009,CHI,LAL
20091119PHXNOH,2009,PHX,NOH
20091119UTASAS,2009,UTA,SAS
20091120HOUATL,2009,HOU,ATL
20091120ORLBOS,2009,ORL,BOS
20091120SACDAL,2009,SAC,DAL
20091120PORGSW,2009,POR,GSW
20091120CLEIND,2009,CLE,IND
20091120DENLAC,2009,DEN,LAC
20091120CHAMIL,2009,CHA,MIL
20091120WASOKC,2009,WAS,OKC
20091120MEMPHI,2009,MEM,PHI
20091120MIATOR,2009,MIA,TOR
20091121PHICLE,2009,PHI,CLE
20091121CHIDEN,2009,CHI,DEN
20091121SACHOU,2009,SAC,HOU
20091121MILMEM,2009,MIL,MEM
20091121NYKNJN,2009,NYK,NJN
20091121ATLNOH,2009,ATL,NOH
20091121MINPOR,2009,MIN,POR
20091121WASSAS,2009,WAS,SAS
20091121DETUTA,2009,DET,UTA
20091122INDCHA,2009,IND,CHA
20091122OKCLAL,2009,OKC,LAL
20091122NOHMIA,2009,NOH,MIA
20091122BOSNYK,2009,BOS,NYK
20091122DETPHX,2009,DET,PHX
20091122ORLTOR,2009,ORL,TOR
20091123MINLAC,2009,MIN,LAC
20091123SACMEM,2009,SAC,MEM
20091123CHIPOR,2009,CHI,POR
20091123MILSAS,2009,MIL,SAS
20091124GSWDAL,2009,GSW,DAL
20091124NJNDEN,2009,NJN,DEN
20091124NYKLAL,2009,NYK,LAL
20091124INDTOR,2009,IND,TOR
20091124OKCUTA,2009,OKC,UTA
20091124PHIWAS,2009,PHI,WAS
20091125PHIBOS,2009,PHI,BOS
20091125TORCHA,2009,TOR,CHA
20091125CLEDET,2009,CLE,DET
20091125DALHOU,2009,DAL,HOU
20091125LACIND,2009,LAC,IND
20091125DENMIN,2009,DEN,MIN
20091125MILNOH,2009,MIL,NOH
20091125MIAORL,2009,MIA,ORL
20091125MEMPHX,2009,MEM,PHX
20091125NJNPOR,2009,NJN,POR
20091125NYKSAC,2009,NYK,SAC
20091125GSWSAS,2009,GSW,SAS
20091126ORLATL,2009,ORL,ATL
20091126CHIUTA,2009,CHI,UTA
20091127TORBOS,2009,TOR,BOS
20091127CLECHA,2009,CLE,CHA
20091127NYKDEN,2009,NYK,DEN
20091127LACDET,2009,LAC,DET
20091127SASHOU,2009,SAS,HOU
20091127DALIND,2009,DAL,IND
20091127WASMIA,2009,WAS,MIA
20091127PHXMIN,2009,PHX,MIN
20091127MILOKC,2009,MIL,OKC
20091127ATLPHI,2009,ATL,PHI
20091127MEMPOR,2009,MEM,POR
20091127NJNSAC,2009,NJN,SAC
20091128DALCLE,2009,DAL,CLE
20091128LALGSW,2009,LAL,GSW
20091128ORLMIL,2009,ORL,MIL
20091128PORUTA,2009,POR,UTA
20091128CHAWAS,2009,CHA,WAS
20091129MINDEN,2009,MIN,DEN
20091129ATLDET,2009,ATL,DET
20091129MEMLAC,2009,MEM,LAC
20091129NJNLAL,2009,NJN,LAL
20091129BOSMIA,2009,BOS,MIA
20091129ORLNYK,2009,ORL,NYK
20091129HOUOKC,2009,HOU,OKC
20091129NOHSAC,2009,NOH,SAC
20091129PHISAS,2009,PHI,SAS
20091129PHXTOR,2009,PHX,TOR
20091130PHIDAL,2009,PHI,DAL
20091130INDGSW,2009,IND,GSW
20091130CHIMIL,2009,CHI,MIL
20091130MEMUTA,2009,MEM,UTA
20091201BOSCHA,2009,BOS,CHA
20091201GSWDEN,2009,GSW,DEN
20091201NOHLAL,2009,NOH,LAL
20091201PHXNYK,2009,PHX,NYK
20091201MIAPOR,2009,MIA,POR
20091201WASTOR,2009,WAS,TOR
20091202TORATL,2009,TOR,ATL
20091202DETCHI,2009,DET,CHI
20091202PHXCLE,2009,PHX,CLE
20091202HOULAC,2009,HOU,LAC
20091202MEMMIN,2009,MEM,MIN
20091202DALNJN,2009,DAL,NJN
20091202PHIOKC,2009,PHI,OKC
20091202NYKORL,2009,NYK,ORL
20091202INDSAC,2009,IND,SAC
20091202MILWAS,2009,MIL,WAS
20091203MIADEN,2009,MIA,DEN
20091203HOUGSW,2009,HOU,GSW
20091203BOSSAS,2009,BOS,SAS
20091204NYKATL,2009,NYK,ATL
20091204CHICLE,2009,CHI,CLE
20091204MILDET,2009,MIL,DET
20091204MIALAL,2009,MIA,LAL
20091204DALMEM,2009,DAL,MEM
20091204CHANJN,2009,CHA,NJN
20091204MINNOH,2009,MIN,NOH
20091204BOSOKC,2009,BOS,OKC
20091204INDUTA,2009,IND,UTA
20091204TORWAS,2009,TOR,WAS
20091205PHICHA,2009,PHI,CHA
20091205TORCHI,2009,TOR,CHI
20091205ATLDAL,2009,ATL,DAL
20091205ORLGSW,2009,ORL,GSW
20091205INDLAC,2009,IND,LAC
20091205UTAMIN,2009,UTA,MIN
20091205SACPHX,2009,SAC,PHX
20091205HOUPOR,2009,HOU,POR
20091205DENSAS,2009,DEN,SAS
20091206WASDET,2009,WAS,DET
20091206PHXLAL,2009,PHX,LAL
20091206CLEMIL,2009,CLE,MIL
20091206NJNNYK,2009,NJN,NYK
20091206MIASAC,2009,MIA,SAC
20091207PORNYK,2009,POR,NYK
20091207GSWOKC,2009,GSW,OKC
20091207DENPHI,2009,DEN,PHI
20091207SASUTA,2009,SAS,UTA
20091208MILBOS,2009,MIL,BOS
20091208DENCHA,2009,DEN,CHA
20091208NJNCHI,2009,NJN,CHI
20091208PHXDAL,2009,PHX,DAL
20091208ORLLAC,2009,ORL,LAC
20091208CLEMEM,2009,CLE,MEM
20091208SACNOH,2009,SAC,NOH
20091208MINTOR,2009,MIN,TOR
20091209CHIATL,2009,CHI,ATL
20091209CLEHOU,2009,CLE,HOU
20091209PORIND,2009,POR,IND
20091209UTALAL,2009,UTA,LAL
20091209TORMIL,2009,TOR,MIL
20091209NOHMIN,2009,NOH,MIN
20091209GSWNJN,2009,GSW,NJN
20091209DETPHI,2009,DET,PHI
20091209SACSAS,2009,SAC,SAS
20091210DENDET,2009,DEN,DET
20091210ORLUTA,2009,ORL,UTA
20091210BOSWAS,2009,BOS,WAS
20091211GSWCHI,2009,GSW,CHI
20091211PORCLE,2009,POR,CLE
20091211NJNIND,2009,NJN,IND
20091211MINLAL,2009,MIN,LAL
20091211OKCMEM,2009,OKC,MEM
20091211DALMIA,2009,DAL,MIA
20091211NYKNOH,2009,NYK,NOH
20091211HOUPHI,2009,HOU,PHI
20091211ORLPHX,2009,ORL,PHX
20091211CHASAS,2009,CHA,SAS
20091211ATLTOR,2009,ATL,TOR
20091212BOSCHI,2009,BOS,CHI
20091212CHADAL,2009,CHA,DAL
20091212PHXDEN,2009,PHX,DEN
20091212GSWDET,2009,GSW,DET
20091212PORMIL,2009,POR,MIL
20091212MINSAC,2009,MIN,SAC
20091212LALUTA,2009,LAL,UTA
20091212INDWAS,2009,IND,WAS
20091213NJNATL,2009,NJN,ATL
20091213SASLAC,2009,SAS,LAC
20091213MEMMIA,2009,MEM,MIA
