gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19941104INDATL,19941104,IND,ATL,IND,28,25,22,19,,,,94
19941104INDATL,19941104,IND,ATL,ATL,20,23,21,28,,,,92
19941104NYKBOS,19941104,NYK,BOS,NYK,33,27,36,24,,,,120
19941104NYKBOS,19941104,NYK,BOS,BOS,27,28,22,30,,,,107
19941104CHHCHI,19941104,CHH,CHI,CHH,24,23,18,18,,,,83
19941104CHHCHI,19941104,CHH,CHI,CHI,23,23,17,26,,,,89
19941104MINDEN,19941104,MIN,DEN,MIN,24,22,38,24,,,,108
19941104MINDEN,19941104,MIN,DEN,DEN,31,28,45,26,,,,130
19941104LALDET,19941104,LAL,DET,LAL,30,27,33,25,,,,115
19941104LALDET,19941104,LAL,DET,DET,30,24,24,20,,,,98
19941104NJNHOU,19941104,NJN,HOU,NJN,20,21,20,25,,,,86
19941104NJNHOU,19941104,NJN,HOU,HOU,30,18,20,22,,,,90
19941104PORLAC,19941104,POR,LAC,POR,28,28,38,27,,,,121
19941104PORLAC,19941104,POR,LAC,LAC,22,19,26,33,,,,100
19941104MILPHI,19941104,MIL,PHI,MIL,18,31,23,19,,,,91
19941104MILPHI,19941104,MIL,PHI,PHI,24,18,27,17,,,,86
19941104PHOSAC,19941104,PHO,SAC,PHO,26,20,14,29,,,,89
19941104PHOSAC,19941104,PHO,SAC,SAC,31,31,24,21,,,,107
19941104GSWSAS,19941104,GSW,SAS,GSW,28,29,33,33,,,,123
19941104GSWSAS,19941104,GSW,SAS,SAS,39,33,22,24,,,,118
19941104MIAUTA,19941104,MIA,UTA,MIA,19,30,31,28,,,,108
19941104MIAUTA,19941104,MIA,UTA,UTA,31,32,33,23,,,,119
19941104ORLWSB,19941104,ORL,WSB,ORL,24,37,22,25,,,,108
19941104ORLWSB,19941104,ORL,WSB,WSB,22,25,37,26,,,,110
19941105DETATL,19941105,DET,ATL,DET,35,22,16,28,13,,,114
19941105DETATL,19941105,DET,ATL,ATL,30,20,37,14,8,,,109
19941105CLECHH,19941105,CLE,CHH,CLE,29,30,34,22,,,,115
19941105CLECHH,19941105,CLE,CHH,CHH,24,31,26,26,,,,107
19941105WSBCHI,19941105,WSB,CHI,WSB,21,25,27,19,8,,,100
19941105WSBCHI,19941105,WSB,CHI,CHI,25,15,26,26,7,,,99
19941105NJNDAL,19941105,NJN,DAL,NJN,32,28,24,19,,,,103
19941105NJNDAL,19941105,NJN,DAL,DAL,37,30,25,20,,,,112
19941105GSWDEN,19941105,GSW,DEN,GSW,31,23,33,21,,,,108
