gameid,away,home
20091121NYKNJN,NYK,NJN
20091121ATLNOH,ATL,NOH
20091121MINPOR,MIN,POR
20091121WASSAS,WAS,SAS
20091121DETUTA,DET,UTA
20091122INDCHA,IND,CHA
20091122OKCLAL,OKC,LAL
20091122NOHMIA,NOH,MIA
20091122BOSNYK,BOS,NYK
20091122DETPHO,DET,PHO
20091122ORLTOR,ORL,TOR
20091123MINLAC,MIN,LAC
20091123SACMEM,SAC,MEM
20091123CHIPOR,CHI,POR
20091123MILSAS,MIL,SAS
20091124GSWDAL,GSW,DAL
20091124NJNDEN,NJN,DEN
20091124NYKLAL,NYK,LAL
20091124INDTOR,IND,TOR
20091124OKCUTA,OKC,UTA
20091124PHIWAS,PHI,WAS
20091125PHIBOS,PHI,BOS
20091125TORCHA,TOR,CHA
20091125CLEDET,CLE,DET
20091125DALHOU,DAL,HOU
20091125LACIND,LAC,IND
20091125DENMIN,DEN,MIN
20091125MILNOH,MIL,NOH
20091125MIAORL,MIA,ORL
20091125MEMPHO,MEM,PHO
20091125NJNPOR,NJN,POR
20091125NYKSAC,NYK,SAC
20091125GSWSAS,GSW,SAS
20091126ORLATL,ORL,ATL
20091126CHIUTA,CHI,UTA
20091127TORBOS,TOR,BOS
20091127CLECHA,CLE,CHA
20091127NYKDEN,NYK,DEN
20091127LACDET,LAC,DET
20091127SASHOU,SAS,HOU
20091127DALIND,DAL,IND
20091127WASMIA,WAS,MIA
20091127PHOMIN,PHO,MIN
20091127MILOKC,MIL,OKC
20091127ATLPHI,ATL,PHI
20091127MEMPOR,MEM,POR
20091127NJNSAC,NJN,SAC
20091128DALCLE,DAL,CLE
20091128LALGSW,LAL,GSW
20091128ORLMIL,ORL,MIL
20091128PORUTA,POR,UTA
20091128CHAWAS,CHA,WAS
20091129MINDEN,MIN,DEN
20091129ATLDET,ATL,DET
20091129MEMLAC,MEM,LAC
20091129NJNLAL,NJN,LAL
20091129BOSMIA,BOS,MIA
20091129ORLNYK,ORL,NYK
20091129HOUOKC,HOU,OKC
20091129NOHSAC,NOH,SAC
20091129PHISAS,PHI,SAS
20091129PHOTOR,PHO,TOR
20091130PHIDAL,PHI,DAL
20091130INDGSW,IND,GSW
20091130CHIMIL,CHI,MIL
20091130MEMUTA,MEM,UTA
20091201BOSCHA,BOS,CHA
20091201GSWDEN,GSW,DEN
20091201NOHLAL,NOH,LAL
20091201PHONYK,PHO,NYK
20091201MIAPOR,MIA,POR
20091201WASTOR,WAS,TOR
20091202TORATL,TOR,ATL
20091202DETCHI,DET,CHI
20091202PHOCLE,PHO,CLE
20091202HOULAC,HOU,LAC
20091202MEMMIN,MEM,MIN
20091202DALNJN,DAL,NJN
20091202PHIOKC,PHI,OKC
20091202NYKORL,NYK,ORL
20091202INDSAC,IND,SAC
20091202MILWAS,MIL,WAS
20091203MIADEN,MIA,DEN
20091203HOUGSW,HOU,GSW
20091203BOSSAS,BOS,SAS
20091204NYKATL,NYK,ATL
20091204CHICLE,CHI,CLE
20091204MILDET,MIL,DET
20091204MIALAL,MIA,LAL
20091204DALMEM,DAL,MEM
20091204CHANJN,CHA,NJN
20091204MINNOH,MIN,NOH
20091204BOSOKC,BOS,OKC
20091204INDUTA,IND,UTA
20091204TORWAS,TOR,WAS
20091205PHICHA,PHI,CHA
20091205TORCHI,TOR,CHI
20091205ATLDAL,ATL,DAL
20091205ORLGSW,ORL,GSW
20091205INDLAC,IND,LAC
20091205UTAMIN,UTA,MIN
20091205SACPHO,SAC,PHO
20091205HOUPOR,HOU,POR
20091205DENSAS,DEN,SAS
20091206WASDET,WAS,DET
20091206PHOLAL,PHO,LAL
20091206CLEMIL,CLE,MIL
20091206NJNNYK,NJN,NYK
20091206MIASAC,MIA,SAC
20091207PORNYK,POR,NYK
20091207GSWOKC,GSW,OKC
20091207DENPHI,DEN,PHI
20091207SASUTA,SAS,UTA
20091208MILBOS,MIL,BOS
20091208DENCHA,DEN,CHA
20091208NJNCHI,NJN,CHI
20091208PHODAL,PHO,DAL
20091208ORLLAC,ORL,LAC
20091208CLEMEM,CLE,MEM
20091208SACNOH,SAC,NOH
20091208MINTOR,MIN,TOR
20091209CHIATL,CHI,ATL
20091209CLEHOU,CLE,HOU
20091209PORIND,POR,IND
20091209UTALAL,UTA,LAL
20091209TORMIL,TOR,MIL
20091209NOHMIN,NOH,MIN
20091209GSWNJN,GSW,NJN
20091209DETPHI,DET,PHI
20091209SACSAS,SAC,SAS
20091210DENDET,DEN,DET
20091210ORLUTA,ORL,UTA
20091210BOSWAS,BOS,WAS
20091211GSWCHI,GSW,CHI
20091211PORCLE,POR,CLE
20091211NJNIND,NJN,IND
20091211MINLAL,MIN,LAL
20091211OKCMEM,OKC,MEM
20091211DALMIA,DAL,MIA
20091211NYKNOH,NYK,NOH
20091211HOUPHI,HOU,PHI
20091211ORLPHO,ORL,PHO
20091211CHASAS,CHA,SAS
20091211ATLTOR,ATL,TOR
20091212BOSCHI,BOS,CHI
20091212CHADAL,CHA,DAL
20091212PHODEN,PHO,DEN
20091212GSWDET,GSW,DET
20091212PORMIL,POR,MIL
20091212MINSAC,MIN,SAC
20091212LALUTA,LAL,UTA
20091212INDWAS,IND,WAS
20091213NJNATL,NJN,ATL
20091213SASLAC,SAS,LAC
20091213MEMMIA,MEM,MIA
20091213CLEOKC,CLE,OKC
20091213HOUTOR,HOU,TOR
20091214NOHDAL,NOH,DAL
20091214OKCDEN,OKC,DEN
20091214WASLAC,WAS,LAC
20091214BOSMEM,BOS,MEM
20091214INDORL,IND,ORL
20091214GSWPHI,GSW,PHI
20091214MINUTA,MIN,UTA
20091215NYKCHA,NYK,CHA
20091215LALCHI,LAL,CHI
20091215NJNCLE,NJN,CLE
20091215DETHOU,DET,HOU
20091215TORMIA,TOR,MIA
20091215SASPHO,SAS,PHO
20091215SACPOR,SAC,POR
20091216MEMATL,MEM,ATL
20091216HOUDEN,HOU,DEN
20091216SASGSW,SAS,GSW
20091216CHAIND,CHA,IND
20091216LALMIL,LAL,MIL
20091216LACMIN,LAC,MIN
20091216UTANJN,UTA,NJN
20091216DETNOH,DET,NOH
20091216DALOKC,DAL,OKC
20091216TORORL,TOR,ORL
20091216CLEPHI,CLE,PHI
20091216WASSAC,WAS,SAC
20091217NYKCHI,NYK,CHI
20091217ORLMIA,ORL,MIA
20091217PHOPOR,PHO,POR
20091218UTAATL,UTA,ATL
20091218PHIBOS,PHI,BOS
20091218MILCLE,MIL,CLE
20091218HOUDAL,HOU,DAL
20091218WASGSW,WAS,GSW
20091218INDMEM,IND,MEM
20091218SACMIN,SAC,MIN
20091218DENNOH,DEN,NOH
20091218LACNYK,LAC,NYK
20091218DETOKC,DET,OKC
20091218NJNTOR,NJN,TOR
20091219UTACHA,UTA,CHA
20091219ATLCHI,ATL,CHI
20091219OKCHOU,OKC,HOU
20091219SACMIL,SAC,MIL
20091219LALNJN,LAL,NJN
20091219PORORL,POR,ORL
20091219LACPHI,LAC,PHI
20091219WASPHO,WAS,PHO
20091219INDSAS,IND,SAS
20091220MINBOS,MIN,BOS
20091220CLEDAL,CLE,DAL
20091220LALDET,LAL,DET
20091220DENMEM,DEN,MEM
20091220PORMIA,POR,MIA
20091220CHANYK,CHA,NYK
20091220NOHTOR,NOH,TOR
20091221SACCHI,SAC,CHI
20091221MILIND,MIL,IND
20091221UTAORL,UTA,ORL
20091221CLEPHO,CLE,PHO
20091221LACSAS,LAC,SAS
20091222INDBOS,IND,BOS
20091222DETCHA,DET,CHA
20091222PORDAL,POR,DAL
20091222LACHOU,LAC,HOU
20091222OKCLAL,OKC,LAL
20091222GSWMEM,GSW,MEM
20091222ATLMIN,ATL,MIN
20091222CHINYK,CHI,NYK
20091222PHIWAS,PHI,WAS
20091223ATLDEN,ATL,DEN
20091223TORDET,TOR,DET
20091223UTAMIA,UTA,MIA
20091223WASMIL,WAS,MIL
20091223MINNJN,MIN,NJN
20091223GSWNOH,GSW,NOH
20091223HOUORL,HOU,ORL
20091223OKCPHO,OKC,PHO
20091223CLESAC,CLE,SAC
20091223PORSAS,POR,SAS
20091225CLELAL,CLE,LAL
20091225MIANYK,MIA,NYK
20091225BOSORL,BOS,ORL
20091225LACPHO,LAC,PHO
20091225DENPOR,DEN,POR
20091226NOHCHI,NOH,CHI
20091226MEMDAL,MEM,DAL
20091226PHOGSW,PHO,GSW
20091226ATLIND,ATL,IND
20091226SASMIL,SAS,MIL
20091226WASMIN,WAS,MIN
20091226HOUNJN,HOU,NJN
20091226CHAOKC,CHA,OKC
20091226LALSAC,LAL,SAC
20091226PHIUTA,PHI,UTA
20091227HOUCLE,HOU,CLE
20091227DALDEN,DAL,DEN
20091227BOSLAC,BOS,LAC
20091227INDMIA,IND,MIA
20091227SASNYK,SAS,NYK
20091227DETTOR,DET,TOR
20091228MILCHA,MIL,CHA
20091228BOSGSW,BOS,GSW
20091228WASMEM,WAS,MEM
20091228OKCNJN,OKC,NJN
20091228LALPHO,LAL,PHO
20091228PHIPOR,PHI,POR
20091228DENSAC,DEN,SAC
20091229CLEATL,CLE,ATL
20091229INDCHI,IND,CHI
20091229NYKDET,NYK,DET
20091229NOHHOU,NOH,HOU
20091229GSWLAL,GSW,LAL
20091229MINSAS,MIN,SAS
20091229OKCWAS,OKC,WAS
20091230ATLCLE,ATL,CLE
20091230MEMIND,MEM,IND
20091230UTAMIN,UTA,MIN
20091230NYKNJN,NYK,NJN
20091230MIANOH,MIA,NOH
20091230MILORL,MIL,ORL
20091230BOSPHO,BOS,PHO
20091230LACPOR,LAC,POR
20091230PHISAC,PHI,SAC
20091230CHATOR,CHA,TOR
20091231CHIDET,CHI,DET
20091231DALHOU,DAL,HOU
20091231PHILAC,PHI,LAC
20091231UTAOKC,UTA,OKC
20091231MIASAS,MIA,SAS
20100101NYKATL,NYK,ATL
20100101SACLAL,SAC,LAL
20100101ORLMIN,ORL,MIN
20100102TORBOS,TOR,BOS
20100102ORLCHI,ORL,CHI
20100102MININD,MIN,IND
20100102CHAMIA,CHA,MIA
20100102OKCMIL,OKC,MIL
20100102CLENJN,CLE,NJN
20100102HOUNOH,HOU,NOH
20100102MEMPHO,MEM,PHO
20100102GSWPOR,GSW,POR
20100102DALSAC,DAL,SAC
20100102DENUTA,DEN,UTA
20100102SASWAS,SAS,WAS
20100103CHACLE,CHA,CLE
20100103PHIDEN,PHI,DEN
20100103DALLAL,DAL,LAL
20100103INDNYK,IND,NYK
20100103SASTOR,SAS,TOR
20100104OKCCHI,OKC,CHI
20100104PORLAC,POR,LAC
20100104ATLMIA,ATL,MIA
20100104NOHUTA,NOH,UTA
20100105CHICHA,CHI,CHA
20100105DETDAL,DET,DAL
20100105GSWDEN,GSW,DEN
20100105ORLIND,ORL,IND
20100105HOULAL,HOU,LAL
20100105MILNJN,MIL,NJN
20100105WASPHI,WAS,PHI
20100105MEMPOR,MEM,POR
20100105PHOSAC,PHO,SAC
20100106NJNATL,NJN,ATL
20100106WASCLE,WAS,CLE
20100106LALLAC,LAL,LAC
20100106BOSMIA,BOS,MIA
20100106GSWMIN,GSW,MIN
20100106NOHOKC,NOH,OKC
20100106TORORL,TOR,ORL
20100106HOUPHO,HOU,PHO
20100106DETSAS,DET,SAS
20100106MEMUTA,MEM,UTA
20100107CHANYK,CHA,NYK
20100108BOSATL,BOS,ATL
20100108CLEDEN,CLE,DEN
20100108SACGSW,SAC,GSW
20100108UTAMEM,UTA,MEM
20100108CHIMIL,CHI,MIL
20100108INDMIN,IND,MIN
20100108NJNNOH,NJN,NOH
20100108TORPHI,TOR,PHI
20100108MIAPHO,MIA,PHO
20100108LALPOR,LAL,POR
20100108DALSAS,DAL,SAS
20100108ORLWAS,ORL,WAS
20100109MEMCHA,MEM,CHA
20100109MINCHI,MIN,CHI
20100109UTADAL,UTA,DAL
20100109PHIDET,PHI,DET
20100109NYKHOU,NYK,HOU
20100109INDOKC,IND,OKC
20100109ATLORL,ATL,ORL
20100109DENSAC,DEN,SAC
20100110MIALAC,MIA,LAC
20100110MILLAL,MIL,LAL
20100110CLEPOR,CLE,POR
20100110NJNSAS,NJN,SAS
20100110BOSTOR,BOS,TOR
20100110NOHWAS,NOH,WAS
20100111ATLBOS,ATL,BOS
20100111DETCHI,DET,CHI
20100111MINDEN,MIN,DEN
20100111CLEGSW,CLE,GSW
20100111TORIND,TOR,IND
20100111NYKOKC,NYK,OKC
20100111NOHPHI,NOH,PHI
20100111MILPHO,MIL,PHO
20100111MIAUTA,MIA,UTA
20100112HOUCHA,HOU,CHA
20100112LACMEM,LAC,MEM
20100112ORLSAC,ORL,SAC
20100112LALSAS,LAL,SAS
20100112DETWAS,DET,WAS
20100113WASATL,WAS,ATL
20100113LALDAL,LAL,DAL
20100113ORLDEN,ORL,DEN
20100113MIAGSW,MIA,GSW
20100113MINHOU,MIN,HOU
20100113PHOIND,PHO,IND
20100113BOSNJN,BOS,NJN
20100113LACNOH,LAC,NOH
20100113SASOKC,SAS,OKC
20100113NYKPHI,NYK,PHI
20100113MILPOR,MIL,POR
20100114CHIBOS,CHI,BOS
20100114CLEUTA,CLE,UTA
20100115PHOATL,PHO,ATL
20100115SASCHA,SAS,CHA
20100115WASCHI,WAS,CHI
20100115OKCDAL,OKC,DAL
20100115NOHDET,NOH,DET
20100115MILGSW,MIL,GSW
20100115MIAHOU,MIA,HOU
20100115LACLAL,LAC,LAL
20100115MINMEM,MIN,MEM
20100115INDNJN,IND,NJN
20100115TORNYK,TOR,NYK
20100115SACPHI,SAC,PHI
20100115ORLPOR,ORL,POR
20100116PHOCHA,PHO,CHA
20100116NYKDET,NYK,DET
20100116NOHIND,NOH,IND
20100116CLELAC,CLE,LAC
20100116SASMEM,SAS,MEM
20100116MIAOKC,MIA,OKC
20100116MILUTA,MIL,UTA
20100116SACWAS,SAC,WAS
20100117UTADEN,UTA,DEN
20100117DALTOR,DAL,TOR
20100118OKCATL,OKC,ATL
20100118DALBOS,DAL,BOS
20100118SACCHA,SAC,CHA
20100118CHIGSW,CHI,GSW
20100118MILHOU,MIL,HOU
20100118NJNLAC,NJN,LAC
20100118ORLLAL,ORL,LAL
20100118PHOMEM,PHO,MEM
20100118PHIMIN,PHI,MIN
20100118SASNOH,SAS,NOH
20100118DETNYK,DET,NYK
20100118PORWAS,POR,WAS
20100119TORCLE,TOR,CLE
20100119INDMIA,IND,MIA
