gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19861031WSBBOS,19861031,WSB,BOS,WSB,19,20,32,31,,,,102
19861031WSBBOS,19861031,WSB,BOS,BOS,29,23,26,42,,,,120
19861031UTADAL,19861031,UTA,DAL,UTA,10,20,21,26,,,,77
19861031UTADAL,19861031,UTA,DAL,DAL,16,34,29,24,,,,103
19861031SASDEN,19861031,SAS,DEN,SAS,17,27,31,29,,,,104
19861031SASDEN,19861031,SAS,DEN,DEN,34,23,34,43,,,,134
19861031MILDET,19861031,MIL,DET,MIL,32,33,29,26,,,,120
19861031MILDET,19861031,MIL,DET,DET,28,26,32,18,,,,104
19861031NYKNJN,19861031,NYK,NJN,NYK,22,26,24,25,,,,97
19861031NYKNJN,19861031,NYK,NJN,NJN,26,27,35,20,,,,108
19861031INDPHI,19861031,IND,PHI,IND,20,30,26,28,,,,104
19861031INDPHI,19861031,IND,PHI,PHI,33,18,22,35,,,,108
19861031GSWPHO,19861031,GSW,PHO,GSW,32,31,26,34,,,,123
19861031GSWPHO,19861031,GSW,PHO,PHO,34,36,30,27,,,,127
19861031SEAPOR,19861031,SEA,POR,SEA,29,29,37,32,,,,127
19861031SEAPOR,19861031,SEA,POR,POR,30,33,21,26,,,,110
19861031LACSAC,19861031,LAC,SAC,LAC,25,27,29,25,,,,106
19861031LACSAC,19861031,LAC,SAC,SAC,34,25,23,25,,,,107
19861101NJNATL,19861101,NJN,ATL,NJN,33,21,28,29,,,,111
19861101NJNATL,19861101,NJN,ATL,ATL,30,35,37,29,,,,131
19861101WSBCLE,19861101,WSB,CLE,WSB,35,23,22,26,,,,106
19861101WSBCLE,19861101,WSB,CLE,CLE,33,33,22,25,,,,113
19861101DENGSW,19861101,DEN,GSW,DEN,24,27,26,32,,,,109
19861101DENGSW,19861101,DEN,GSW,GSW,31,36,32,32,,,,131
19861101LALHOU,19861101,LAL,HOU,LAL,28,26,23,25,,,,102
19861101LALHOU,19861101,LAL,HOU,HOU,27,33,24,28,,,,112
19861101DETIND,19861101,DET,IND,DET,20,21,27,21,,,,89
19861101DETIND,19861101,DET,IND,IND,20,29,24,19,,,,92
19861101PHOLAC,19861101,PHO,LAC,PHO,28,30,28,25,,,,111
19861101PHOLAC,19861101,PHO,LAC,LAC,28,23,33,33,,,,117
19861101BOSMIL,19861101,BOS,MIL,BOS,27,30,26,22,,,,105
19861101BOSMIL,19861101,BOS,MIL,MIL,36,29,18,28,,,,111
19861101CHINYK,19861101,CHI,NYK,CHI,25,20,32,31,,,,108
19861101CHINYK,19861101,CHI,NYK,NYK,13,28,32,30,,,,103
19861101DALSAS,19861101,DAL,SAS,DAL,24,27,33,21,,,,105
19861101DALSAS,19861101,DAL,SAS,SAS,25,23,39,21,,,,108
19861101SACSEA,19861101,SAC,SEA,SAC,22,30,22,29,,,,103
19861101SACSEA,19861101,SAC,SEA,SEA,34,24,31,25,,,,114
19861101PORUTA,19861101,POR,UTA,POR,13,24,29,44,,,,110
19861101PORUTA,19861101,POR,UTA,UTA,29,37,20,33,,,,119
19861102CHICLE,19861102,CHI,CLE,CHI,18,26,31,19,,,,94
19861102CHICLE,19861102,CHI,CLE,CLE,34,19,16,20,,,,89
19861102ATLPHI,19861102,ATL,PHI,ATL,31,25,34,32,,,,122
19861102ATLPHI,19861102,ATL,PHI,PHI,35,23,26,29,,,,113
19861103NYKGSW,19861103,NYK,GSW,NYK,19,31,17,28,,,,95
19861103NYKGSW,19861103,NYK,GSW,GSW,25,24,26,29,,,,104
19861104MILATL,19861104,MIL,ATL,MIL,29,23,24,22,,,,98
19861104MILATL,19861104,MIL,ATL,ATL,27,29,24,27,,,,107
19861104SASCHI,19861104,SAS,CHI,SAS,27,30,29,18,,,,104
19861104SASCHI,19861104,SAS,CHI,CHI,22,26,27,36,,,,111
19861104LACDAL,19861104,LAC,DAL,LAC,16,17,27,26,,,,86
19861104LACDAL,19861104,LAC,DAL,DAL,23,28,30,37,,,,118
19861104NYKDEN,19861104,NYK,DEN,NYK,22,27,31,23,,,,103
19861104NYKDEN,19861104,NYK,DEN,DEN,34,23,32,29,,,,118
