gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
20011030BOSCLE,20011030,BOS,CLE,BOS,33,32,27,16,,,,108
20011030BOSCLE,20011030,BOS,CLE,CLE,19,26,14,30,,,,89
20011030DETDAL,20011030,DET,DAL,DET,25,19,20,23,,,,87
20011030DETDAL,20011030,DET,DAL,DAL,17,23,29,25,,,,94
20011030ATLHOU,20011030,ATL,HOU,ATL,22,19,17,18,8,,,84
20011030ATLHOU,20011030,ATL,HOU,HOU,19,26,18,13,13,,,89
20011030PORLAL,20011030,POR,LAL,POR,20,26,22,19,,,,87
20011030PORLAL,20011030,POR,LAL,LAL,29,26,24,19,,,,98
20011030PHIMIN,20011030,PHI,MIN,PHI,23,10,23,18,,,,74
20011030PHIMIN,20011030,PHI,MIN,MIN,17,29,18,19,,,,83
20011030INDNJN,20011030,IND,NJN,IND,31,22,26,18,,,,97
20011030INDNJN,20011030,IND,NJN,NJN,17,28,23,35,,,,103
20011030WASNYK,20011030,WAS,NYK,WAS,21,22,18,30,,,,91
20011030WASNYK,20011030,WAS,NYK,NYK,19,22,26,26,,,,93
20011030TORORL,20011030,TOR,ORL,TOR,22,25,15,23,,,,85
20011030TORORL,20011030,TOR,ORL,ORL,31,24,31,28,,,,114
20011030DENPHO,20011030,DEN,PHO,DEN,25,32,20,22,,,,99
20011030DENPHO,20011030,DEN,PHO,PHO,16,20,27,33,,,,96
20011030SEASAC,20011030,SEA,SAC,SEA,21,27,24,23,,,,95
20011030SEASAC,20011030,SEA,SAC,SAC,27,25,29,20,,,,101
20011030LACSAS,20011030,LAC,SAS,LAC,25,19,26,28,,,,98
20011030LACSAS,20011030,LAC,SAS,SAS,28,20,32,29,,,,109
20011030MILUTA,20011030,MIL,UTA,MIL,27,24,24,27,17,,,119
20011030MILUTA,20011030,MIL,UTA,UTA,28,26,30,18,10,,,112
20011031NJNBOS,20011031,NJN,BOS,NJN,31,24,20,20,,,,95
20011031NJNBOS,20011031,NJN,BOS,BOS,17,22,26,27,,,,92
20011031CLECHH,20011031,CLE,CHH,CLE,22,21,28,23,,,,94
20011031CLECHH,20011031,CLE,CHH,CHH,16,24,28,32,,,,100
20011031INDCHI,20011031,IND,CHI,IND,28,19,23,28,,,,98
20011031INDCHI,20011031,IND,CHI,CHI,29,15,20,9,,,,73
20011031TORMIA,20011031,TOR,MIA,TOR,24,23,19,26,,,,92
20011031TORMIA,20011031,TOR,MIA,MIA,22,28,21,26,,,,97
20011031GSWPOR,20011031,GSW,POR,GSW,22,24,24,17,,,,87
20011031GSWPOR,20011031,GSW,POR,POR,19,29,27,17,,,,92
20011101WASATL,20011101,WAS,ATL,WAS,28,21,25,24,,,,98
20011101WASATL,20011101,WAS,ATL,ATL,23,30,19,16,,,,88
20011101MILDEN,20011101,MIL,DEN,MIL,27,22,28,25,,,,102
20011101MILDEN,20011101,MIL,DEN,DEN,33,30,22,16,,,,101
20011101PHOGSW,20011101,PHO,GSW,PHO,32,23,26,26,,,,107
20011101PHOGSW,20011101,PHO,GSW,GSW,20,22,25,34,,,,101
20011101LACHOU,20011101,LAC,HOU,LAC,25,19,20,22,6,,,92
20011101LACHOU,20011101,LAC,HOU,HOU,23,21,26,16,12,,,98
20011101DETMEM,20011101,DET,MEM,DET,18,18,25,29,,,,90
20011101DETMEM,20011101,DET,MEM,MEM,21,22,17,20,,,,80
20011101DALPHI,20011101,DAL,PHI,DAL,28,31,19,21,,,,99
20011101DALPHI,20011101,DAL,PHI,PHI,27,19,20,26,,,,92
20011101SASSEA,20011101,SAS,SEA,SAS,28,24,22,34,,,,108
20011101SASSEA,20011101,SAS,SEA,SEA,24,31,26,33,,,,114
20011101LALUTA,20011101,LAL,UTA,LAL,28,16,33,28,,,,105
20011101LALUTA,20011101,LAL,UTA,UTA,22,25,24,30,,,,101
20011102CHIBOS,20011102,CHI,BOS,CHI,21,20,15,26,,,,82
20011102CHIBOS,20011102,CHI,BOS,BOS,23,25,19,29,,,,96
20011102NYKCHH,20011102,NYK,CHH,NYK,26,25,17,25,,,,93
20011102NYKCHH,20011102,NYK,CHH,CHH,29,25,20,23,,,,97
20011102NJNDET,20011102,NJN,DET,NJN,18,22,24,24,,,,88
20011102NJNDET,20011102,NJN,DET,DET,31,25,24,22,,,,102
20011102ORLIND,20011102,ORL,IND,ORL,32,23,22,30,,,,107
20011102ORLIND,20011102,ORL,IND,IND,39,24,23,31,,,,117
20011102PHOLAL,20011102,PHO,LAL,PHO,25,21,19,29,,,,94
20011102PHOLAL,20011102,PHO,LAL,LAL,28,26,25,38,,,,117
20011102CLEMIA,20011102,CLE,MIA,CLE,26,25,24,15,,,,90
20011102CLEMIA,20011102,CLE,MIA,MIA,20,24,19,20,,,,83
20011102MEMMIN,20011102,MEM,MIN,MEM,33,23,16,30,,,,102
20011102MEMMIN,20011102,MEM,MIN,MIN,25,32,28,26,,,,111
20011102DALTOR,20011102,DAL,TOR,DAL,18,29,26,19,,,,92
20011102DALTOR,20011102,DAL,TOR,TOR,33,34,22,20,,,,109
20011103MIAATL,20011103,MIA,ATL,MIA,17,27,12,27,,,,83
20011103MIAATL,20011103,MIA,ATL,ATL,20,31,14,25,,,,90
20011103NYKCHI,20011103,NYK,CHI,NYK,25,20,18,16,,,,79
20011103NYKCHI,20011103,NYK,CHI,CHI,21,22,16,25,,,,84
20011103ORLCLE,20011103,ORL,CLE,ORL,24,31,19,25,,,,99
20011103ORLCLE,20011103,ORL,CLE,CLE,15,18,18,18,,,,69
20011103SACDEN,20011103,SAC,DEN,SAC,26,32,29,19,,,,106
20011103SACDEN,20011103,SAC,DEN,DEN,28,17,25,24,,,,94
20011103MINHOU,20011103,MIN,HOU,MIN,29,19,26,16,,,,90
20011103MINHOU,20011103,MIN,HOU,HOU,17,23,29,19,,,,88
20011103GSWLAC,20011103,GSW,LAC,GSW,29,20,27,22,12,,,110
20011103GSWLAC,20011103,GSW,LAC,LAC,28,31,22,17,10,,,108
20011103BOSMIL,20011103,BOS,MIL,BOS,21,23,32,23,,,,99
20011103BOSMIL,20011103,BOS,MIL,MIL,23,32,25,25,,,,105
20011103CHHNJN,20011103,CHH,NJN,CHH,23,25,16,21,,,,85
20011103CHHNJN,20011103,CHH,NJN,NJN,27,25,25,18,,,,95
20011103SASPOR,20011103,SAS,POR,SAS,29,27,25,25,,,,106
20011103SASPOR,20011103,SAS,POR,POR,13,25,37,15,,,,90
20011103UTASEA,20011103,UTA,SEA,UTA,23,26,22,20,,,,91
20011103UTASEA,20011103,UTA,SEA,SEA,18,14,27,15,,,,74
20011103PHIWAS,20011103,PHI,WAS,PHI,27,16,13,20,,,,76
20011103PHIWAS,20011103,PHI,WAS,WAS,18,17,29,26,,,,90
20011104WASDET,20011104,WAS,DET,WAS,18,19,17,24,,,,78
20011104WASDET,20011104,WAS,DET,DET,26,35,27,12,,,,100
20011104PORGSW,20011104,POR,GSW,POR,27,17,18,24,,,,86
20011104PORGSW,20011104,POR,GSW,GSW,30,24,25,17,,,,96
20011104UTALAL,20011104,UTA,LAL,UTA,33,24,21,18,,,,96
20011104UTALAL,20011104,UTA,LAL,LAL,22,25,23,30,,,,100
20011104DALMEM,20011104,DAL,MEM,DAL,25,25,22,22,,,,94
20011104DALMEM,20011104,DAL,MEM,MEM,28,15,23,19,,,,85
20011104HOUPHO,20011104,HOU,PHO,HOU,23,22,26,32,,,,103
20011104HOUPHO,20011104,HOU,PHO,PHO,23,33,23,21,,,,100
20011104SASSAC,20011104,SAS,SAC,SAS,19,23,18,23,,,,83
20011104SASSAC,20011104,SAS,SAC,SAC,25,30,23,25,,,,103
20011104INDTOR,20011104,IND,TOR,IND,26,27,26,21,,,,100
20011104INDTOR,20011104,IND,TOR,TOR,32,35,18,28,,,,113
20011105ATLLAC,20011105,ATL,LAC,ATL,22,23,15,26,,,,86
20011105ATLLAC,20011105,ATL,LAC,LAC,28,27,23,31,,,,109
20011105SEAORL,20011105,SEA,ORL,SEA,33,33,13,21,11,12,,123
20011105SEAORL,20011105,SEA,ORL,ORL,29,25,17,29,11,8,,119
20011106SACCLE,20011106,SAC,CLE,SAC,27,37,22,29,,,,115
20011106SACCLE,20011106,SAC,CLE,CLE,22,24,31,22,,,,99
20011106CHHDAL,20011106,CHH,DAL,CHH,21,16,32,23,,,,92
20011106CHHDAL,20011106,CHH,DAL,DAL,31,23,26,30,,,,110
20011106DENHOU,20011106,DEN,HOU,DEN,24,24,22,23,,,,93
20011106DENHOU,20011106,DEN,HOU,HOU,28,30,19,22,,,,99
20011106SEAMIA,20011106,SEA,MIA,SEA,19,18,24,19,5,,,85
20011106SEAMIA,20011106,SEA,MIA,MIA,25,19,23,13,7,,,87
20011106NYKMIN,20011106,NYK,MIN,NYK,23,30,17,24,,,,94
20011106NYKMIN,20011106,NYK,MIN,MIN,33,25,28,18,,,,104
20011106INDPHI,20011106,IND,PHI,IND,23,25,21,18,,,,87
20011106INDPHI,20011106,IND,PHI,PHI,25,14,25,13,,,,77
20011106MEMPHO,20011106,MEM,PHO,MEM,33,24,28,16,,,,101
20011106MEMPHO,20011106,MEM,PHO,PHO,28,24,29,32,,,,113
20011106UTAPOR,20011106,UTA,POR,UTA,17,24,16,26,,,,83
20011106UTAPOR,20011106,UTA,POR,POR,29,20,20,32,,,,101
20011106ORLSAS,20011106,ORL,SAS,ORL,17,31,20,21,,,,89
20011106ORLSAS,20011106,ORL,SAS,SAS,21,33,25,25,,,,104
20011107WASBOS,20011107,WAS,BOS,WAS,19,23,26,27,,,,95
20011107WASBOS,20011107,WAS,BOS,BOS,22,26,27,29,,,,104
20011107DETCHI,20011107,DET,CHI,DET,23,25,22,27,,,,97
20011107DETCHI,20011107,DET,CHI,CHI,22,21,16,14,,,,73
20011107SACIND,20011107,SAC,IND,SAC,28,30,29,17,,,,104
20011107SACIND,20011107,SAC,IND,IND,25,30,31,30,,,,116
