gameid,away,home
19861031WSBBOS,WSB,BOS
19861031UTADAL,UTA,DAL
19861031SASDEN,SAS,DEN
19861031MILDET,MIL,DET
19861031NYKNJN,NYK,NJN
19861031INDPHI,IND,PHI
19861031GSWPHO,GSW,PHO
19861031SEAPOR,SEA,POR
19861031LACSAC,LAC,SAC
19861101NJNATL,NJN,ATL
19861101WSBCLE,WSB,CLE
19861101DENGSW,DEN,GSW
19861101LALHOU,LAL,HOU
19861101DETIND,DET,IND
19861101PHOLAC,PHO,LAC
19861101BOSMIL,BOS,MIL
19861101CHINYK,CHI,NYK
19861101DALSAS,DAL,SAS
19861101SACSEA,SAC,SEA
19861101PORUTA,POR,UTA
19861102CHICLE,CHI,CLE
19861102ATLPHI,ATL,PHI
19861103NYKGSW,NYK,GSW
19861104MILATL,MIL,ATL
19861104SASCHI,SAS,CHI
19861104LACDAL,LAC,DAL
19861104NYKDEN,NYK,DEN
19861104PHIIND,PHI,IND
19861104PORPHO,POR,PHO
19861104HOUSAC,HOU,SAC
19861104LALSEA,LAL,SEA
19861104NJNWSB,NJN,WSB
19861105INDBOS,IND,BOS
19861105WSBDET,WSB,DET
19861105PORGSW,POR,GSW
19861105SASNJN,SAS,NJN
19861105MILPHI,MIL,PHI
19861105CLEUTA,CLE,UTA
19861106UTADEN,UTA,DEN
19861106LACHOU,LAC,HOU
19861106NYKSAC,NYK,SAC
19861106DALSEA,DAL,SEA
19861107PHOATL,PHO,ATL
19861107CHIDET,CHI,DET
19861107CLEGSW,CLE,GSW
19861107DENLAL,DEN,LAL
19861107MILNJN,MIL,NJN
19861107SASPHI,SAS,PHI
19861107DALPOR,DAL,POR
19861107BOSWSB,BOS,WSB
19861108WSBATL,WSB,ATL
19861108PHOCHI,PHO,CHI
19861108SACHOU,SAC,HOU
19861108SASIND,SAS,IND
19861108CLELAC,CLE,LAC
19861108DETMIL,DET,MIL
19861108NYKSEA,NYK,SEA
19861109NYKLAL,NYK,LAL
19861109PHIPOR,PHI,POR
19861111ATLCHI,ATL,CHI
19861111SASHOU,SAS,HOU
19861111DENLAC,DEN,LAC
19861111INDMIL,IND,MIL
19861111BOSNJN,BOS,NJN
19861111PHONYK,PHO,NYK
19861111GSWPOR,GSW,POR
19861111CLESAC,CLE,SAC
19861111PHISEA,PHI,SEA
19861111DALUTA,DAL,UTA
19861112MILBOS,MIL,BOS
19861112HOUDAL,HOU,DAL
19861112SACDEN,SAC,DEN
19861112PHODET,PHO,DET
19861112SEALAL,SEA,LAL
19861112CHIWSB,CHI,WSB
19861113PHIGSW,PHI,GSW
19861113INDNJN,IND,NJN
19861113CLESAS,CLE,SAS
19861113LACUTA,LAC,UTA
19861114BOSCHI,BOS,CHI
19861114DALDEN,DAL,DEN
19861114ATLDET,ATL,DET
19861114NYKMIL,NYK,MIL
19861114PHIPHO,PHI,PHO
19861114LACPOR,LAC,POR
19861115CLEDAL,CLE,DAL
19861115BOSDET,BOS,DET
19861115SEAGSW,SEA,GSW
19861115MILIND,MIL,IND
19861115ATLNJN,ATL,NJN
19861115WSBNYK,WSB,NYK
19861115PHOSAS,PHO,SAS
19861115DENUTA,DEN,UTA
19861116CLEHOU,CLE,HOU
19861116PHILAC,PHI,LAC
19861116SACLAL,SAC,LAL
19861116UTAPOR,UTA,POR
19861116INDWSB,IND,WSB
19861118LALDAL,LAL,DAL
19861118NJNDEN,NJN,DEN
19861118PORHOU,POR,HOU
19861118INDLAC,IND,LAC
19861118GSWMIL,GSW,MIL
19861118SACSEA,SAC,SEA
19861119ATLBOS,ATL,BOS
19861119GSWCLE,GSW,CLE
19861119NYKPHI,NYK,PHI
19861119NJNPHO,NJN,PHO
19861119LALSAS,LAL,SAS
19861119DETWSB,DET,WSB
19861120CLEATL,CLE,ATL
19861120PORDEN,POR,DEN
19861120UTAHOU,UTA,HOU
19861120DALLAC,DAL,LAC
19861120INDSAC,IND,SAC
19861120MILSEA,MIL,SEA
19861121GSWBOS,GSW,BOS
19861121NYKCHI,NYK,CHI
19861121NJNLAL,NJN,LAL
19861121DETPHI,DET,PHI
19861121DALPHO,DAL,PHO
19861121SASPOR,SAS,POR
19861121HOUWSB,HOU,WSB
19861122BOSATL,BOS,ATL
19861122WSBCHI,WSB,CHI
19861122PHODEN,PHO,DEN
19861122CLEDET,CLE,DET
19861122SASLAC,SAS,LAC
19861122GSWNYK,GSW,NYK
19861122MILSAC,MIL,SAC
19861122INDSEA,IND,SEA
19861122NJNUTA,NJN,UTA
19861123MILLAL,MIL,LAL
19861123HOUPHI,HOU,PHI
19861123INDPOR,IND,POR
19861125UTAGSW,UTA,GSW
19861125ATLLAL,ATL,LAL
19861125HOUNYK,HOU,NYK
19861125BOSPHI,BOS,PHI
19861125PHOSAC,PHO,SAC
19861125NJNSAS,NJN,SAS
19861125LACSEA,LAC,SEA
19861125PORWSB,POR,WSB
19861126NYKBOS,NYK,BOS
19861126PORCLE,POR,CLE
19861126SACDAL,SAC,DAL
19861126CHIDEN,CHI,DEN
19861126HOUIND,HOU,IND
19861126LALLAC,LAL,LAC
19861126WSBMIL,WSB,MIL
19861126ATLPHO,ATL,PHO
19861126SEAUTA,SEA,UTA
19861128SASBOS,SAS,BOS
19861128NJNDAL,NJN,DAL
19861128MILDET,MIL,DET
19861128DENIND,DEN,IND
19861128CHILAL,CHI,LAL
19861128PORPHI,POR,PHI
19861128SEAPHO,SEA,PHO
19861128GSWSAC,GSW,SAC
19861128ATLUTA,ATL,UTA
19861129UTADAL,UTA,DAL
19861129CHIGSW,CHI,GSW
19861129NJNHOU,NJN,HOU
19861129DENMIL,DEN,MIL
19861129CLENYK,CLE,NYK
19861129SASWSB,SAS,WSB
19861130PORIND,POR,IND
19861130LACLAL,LAC,LAL
19861130ATLSAC,ATL,SAC
19861202DENATL,DEN,ATL
19861202WSBBOS,WSB,BOS
19861202SASCLE,SAS,CLE
19861202HOUGSW,HOU,GSW
19861202INDMIL,IND,MIL
19861202NYKPHO,NYK,PHO
19861202LACPOR,LAC,POR
19861202DALSAC,DAL,SAC
19861202CHISEA,CHI,SEA
19861203DENBOS,DEN,BOS
19861203WSBIND,WSB,IND
19861203DETNJN,DET,NJN
19861203MILPHI,MIL,PHI
19861203CHIUTA,CHI,UTA
19861204DETCLE,DET,CLE
19861204LALGSW,LAL,GSW
19861204ATLHOU,ATL,HOU
19861204NYKLAC,NYK,LAC
19861204PORSAC,POR,SAC
19861204SEASAS,SEA,SAS
19861205PHIBOS,PHI,BOS
19861205ATLIND,ATL,IND
19861205DALLAL,DAL,LAL
19861205DENNJN,DEN,NJN
19861205CHIPHO,CHI,PHO
19861205NYKUTA,NYK,UTA
19861205MILWSB,MIL,WSB
19861206BOSCLE,BOS,CLE
19861206DENDET,DEN,DET
19861206DALGSW,DAL,GSW
19861206SEAHOU,SEA,HOU
19861206PHOLAC,PHO,LAC
19861206NJNPHI,NJN,PHI
19861206UTASAC,UTA,SAC
19861206CHISAS,CHI,SAS
19861207GSWLAL,GSW,LAL
