gameid,away,home
20001031CHHATL,CHH,ATL
20001031SACCHI,SAC,CHI
20001031MILDAL,MIL,DAL
20001031PHOGSW,PHO,GSW
20001031MINHOU,MIN,HOU
20001031CLENJN,CLE,NJN
20001031PHINYK,PHI,NYK
20001031WASORL,WAS,ORL
20001031LALPOR,LAL,POR
20001031INDSAS,IND,SAS
20001031DETTOR,DET,TOR
20001031LACUTA,LAC,UTA
20001031SEAVAN,SEA,VAN
20001101DETBOS,DET,BOS
20001101WASCHH,WAS,CHH
20001101SACCLE,SAC,CLE
20001101UTALAL,UTA,LAL
20001101ORLMIA,ORL,MIA
20001101TORPHI,TOR,PHI
20001101DENSEA,DEN,SEA
20001102INDDAL,IND,DAL
20001102GSWDEN,GSW,DEN
20001102MILHOU,MIL,HOU
20001102VANLAC,VAN,LAC
20001102ATLNYK,ATL,NYK
20001102PORPHO,POR,PHO
20001102MINSAS,MIN,SAS
20001103TORBOS,TOR,BOS
20001103MIACHH,MIA,CHH
20001103NJNCHI,NJN,CHI
20001103SACDET,SAC,DET
20001103PHIORL,PHI,ORL
20001103NYKWAS,NYK,WAS
20001104ORLATL,ORL,ATL
20001104BOSCLE,BOS,CLE
20001104UTADAL,UTA,DAL
20001104PHODEN,PHO,DEN
20001104SASGSW,SAS,GSW
20001104CHIIND,CHI,IND
20001104HOULAC,HOU,LAC
20001104PHIMIA,PHI,MIA
20001104DETMIL,DET,MIL
20001104SACMIN,SAC,MIN
20001104CHHNJN,CHH,NJN
20001104PORSEA,POR,SEA
20001104WASTOR,WAS,TOR
20001104LALVAN,LAL,VAN
20001105LACLAL,LAC,LAL
20001105HOUPHO,HOU,PHO
20001106DALDEN,DAL,DEN
20001106SEAORL,SEA,ORL
20001106PORSAC,POR,SAC
20001106MINUTA,MIN,UTA
20001106ATLVAN,ATL,VAN
20001107WASCHI,WAS,CHI
20001107LALHOU,LAL,HOU
20001107NYKMIL,NYK,MIL
20001107SASPHO,SAS,PHO
20001107ATLPOR,ATL,POR
20001107BOSTOR,BOS,TOR
20001108VANDAL,VAN,DAL
20001108MINDEN,MIN,DEN
20001108MILIND,MIL,IND
20001108UTALAC,UTA,LAC
20001108SEAMIA,SEA,MIA
20001108CLENYK,CLE,NYK
20001108CHHORL,CHH,ORL
20001108DETPHI,DET,PHI
20001108GSWSAC,GSW,SAC
20001108LALSAS,LAL,SAS
20001108NJNWAS,NJN,WAS
20001109SEACHH,SEA,CHH
20001109ORLCHI,ORL,CHI
20001109VANHOU,VAN,HOU
20001109PHIMIN,PHI,MIN
20001109DETNJN,DET,NJN
20001109ATLPHO,ATL,PHO
20001109DENPOR,DEN,POR
20001110NYKBOS,NYK,BOS
20001110SASDAL,SAS,DAL
20001110SACGSW,SAC,GSW
20001110ATLLAC,ATL,LAC
20001110CLETOR,CLE,TOR
20001110MIAUTA,MIA,UTA
20001110INDWAS,IND,WAS
20001111TORCHI,TOR,CHI
20001111WASCLE,WAS,CLE
20001111DETIND,DET,IND
20001111MINMIL,MIN,MIL
20001111SEANJN,SEA,NJN
20001111CHHNYK,CHH,NYK
20001111BOSPHI,BOS,PHI
20001111MIAPHO,MIA,PHO
20001111HOUPOR,HOU,POR
20001111VANSAS,VAN,SAS
20001112LACDEN,LAC,DEN
20001112SEADET,SEA,DET
20001112ORLGSW,ORL,GSW
20001112HOULAL,HOU,LAL
20001112DALSAC,DAL,SAC
20001113DALLAC,DAL,LAC
20001113PORNJN,POR,NJN
20001114PORATL,POR,ATL
20001114GSWCLE,GSW,CLE
20001114CHIHOU,CHI,HOU
20001114DENLAL,DEN,LAL
20001114CHHMIA,CHH,MIA
20001114ORLSAC,ORL,SAC
20001114UTASAS,UTA,SAS
20001114NYKSEA,NYK,SEA
20001115WASBOS,WAS,BOS
20001115INDDET,IND,DET
20001115NYKLAC,NYK,LAC
20001115ATLMIL,ATL,MIL
20001115GSWMIN,GSW,MIN
20001115MIANJN,MIA,NJN
20001115CLEPHI,CLE,PHI
20001115DALPHO,DAL,PHO
20001116CHIDEN,CHI,DEN
20001116CHHHOU,CHH,HOU
20001116LALSAC,LAL,SAC
20001116PORTOR,POR,TOR
20001116ORLUTA,ORL,UTA
20001116LACVAN,LAC,VAN
20001116SASWAS,SAS,WAS
20001117ATLBOS,ATL,BOS
20001117DETCHH,DET,CHH
20001117GSWIND,GSW,IND
20001117CLEMIL,CLE,MIL
20001117SASMIN,SAS,MIN
20001117MIAPHI,MIA,PHI
20001117NYKPHO,NYK,PHO
20001117DALSEA,DAL,SEA
20001118MINATL,MIN,ATL
20001118LALDEN,LAL,DEN
20001118PHOHOU,PHO,HOU
20001118SEALAC,SEA,LAC
20001118PORMIA,POR,MIA
20001118INDNJN,IND,NJN
20001118MILTOR,MIL,TOR
20001118CHIUTA,CHI,UTA
20001118DALVAN,DAL,VAN
20001118BOSWAS,BOS,WAS
20001119CHHDET,CHH,DET
20001119CHILAL,CHI,LAL
20001119GSWNYK,GSW,NYK
20001119PORORL,POR,ORL
20001120PHIBOS,PHI,BOS
20001120NJNLAC,NJN,LAC
20001120CHHTOR,CHH,TOR
20001120DALUTA,DAL,UTA
20001120DENVAN,DEN,VAN
20001121DETCLE,DET,CLE
20001121SEADAL,SEA,DAL
20001121CHIGSW,CHI,GSW
20001121HOUIND,HOU,IND
20001121NYKORL,NYK,ORL
20001121PORWAS,POR,WAS
20001122NYKATL,NYK,ATL
20001122HOUBOS,HOU,BOS
20001122PHICHH,PHI,CHH
20001122GSWLAL,GSW,LAL
20001122CLEMIA,CLE,MIA
20001122PORMIL,POR,MIL
20001122VANMIN,VAN,MIN
20001122NJNPHO,NJN,PHO
20001122CHISAC,CHI,SAC
20001122SEASAS,SEA,SAS
20001122DENUTA,DEN,UTA
20001123TORIND,TOR,IND
20001124PHIATL,PHI,ATL
20001124ORLBOS,ORL,BOS
20001124MIACLE,MIA,CLE
20001124SASDEN,SAS,DEN
20001124VANDET,VAN,DET
20001124WASIND,WAS,IND
20001124MINLAL,MIN,LAL
20001124CHHMIL,CHH,MIL
20001124GSWPHO,GSW,PHO
20001124LACSEA,LAC,SEA
20001124NJNUTA,NJN,UTA
20001125CLECHH,CLE,CHH
20001125DENDAL,DEN,DAL
20001125MINGSW,MIN,GSW
20001125PHOLAC,PHO,LAC
20001125HOUMIA,HOU,MIA
20001125TORNYK,TOR,NYK
20001125ATLORL,ATL,ORL
20001125NJNPOR,NJN,POR
20001125SEASAC,SEA,SAC
20001125PHISAS,PHI,SAS
20001125MILWAS,MIL,WAS
20001126VANBOS,VAN,BOS
20001126UTADET,UTA,DET
20001126CHITOR,CHI,TOR
20001127LALLAC,LAL,LAC
20001127VANNYK,VAN,NYK
20001127MILORL,MIL,ORL
20001128MINCHI,MIN,CHI
20001128BOSCLE,BOS,CLE
20001128TORDAL,TOR,DAL
20001128SACHOU,SAC,HOU
20001128INDLAL,IND,LAL
20001128MILMIA,MIL,MIA
20001128UTANJN,UTA,NJN
20001128SEAPOR,SEA,POR
20001128ATLWAS,ATL,WAS
20001129TORCHH,TOR,CHH
20001129NJNDET,NJN,DET
20001129GSWLAC,GSW,LAC
20001129DENMIN,DEN,MIN
20001129MIANYK,MIA,NYK
20001129UTAORL,UTA,ORL
20001129WASPHI,WAS,PHI
20001129SACSAS,SAC,SAS
20001129PHOVAN,PHO,VAN
20001130CHIATL,CHI,ATL
20001130HOUDEN,HOU,DEN
20001130INDGSW,IND,GSW
20001130BOSMIL,BOS,MIL
20001130DALPOR,DAL,POR
20001130LALSEA,LAL,SEA
20001201MINBOS,MIN,BOS
20001201NYKCHI,NYK,CHI
20001201CLEDET,CLE,DET
20001201SASLAL,SAS,LAL
20001201UTAMIA,UTA,MIA
20001201NJNORL,NJN,ORL
20001201CHHPHI,CHH,PHI
20001201PHOSAC,PHO,SAC
20001201LACTOR,LAC,TOR
