gameid,away,home
19931105INDATL,IND,ATL
19931105NYKBOS,NYK,BOS
19931105CHICHH,CHI,CHH
19931105MILCLE,MIL,CLE
19931105MINDET,MIN,DET
19931105NJNHOU,NJN,HOU
19931105PORLAC,POR,LAC
19931105PHOLAL,PHO,LAL
19931105ORLMIA,ORL,MIA
19931105WSBPHI,WSB,PHI
19931105DENSAC,DEN,SAC
19931105GSWSAS,GSW,SAS
19931105DALUTA,DAL,UTA
19931106MIACHI,MIA,CHI
19931106GSWDAL,GSW,DAL
19931106DETIND,DET,IND
19931106CHHMIL,CHH,MIL
19931106UTAMIN,UTA,MIN
19931106PHIORL,PHI,ORL
19931106LALSEA,LAL,SEA
19931106BOSWSB,BOS,WSB
19931107NYKCLE,NYK,CLE
19931107LACDEN,LAC,DEN
19931107SACPHO,SAC,PHO
19931107HOUPOR,HOU,POR
19931107NJNSAS,NJN,SAS
19931108MILBOS,MIL,BOS
19931108ATLCHI,ATL,CHI
19931108SEAUTA,SEA,UTA
19931109CHHCLE,CHH,CLE
19931109NJNDAL,NJN,DAL
19931109WSBDET,WSB,DET
19931109HOUGSW,HOU,GSW
19931109PHOLAC,PHO,LAC
19931109PORLAL,POR,LAL
19931109PHINYK,PHI,NYK
19931109INDORL,IND,ORL
19931109MINSAS,MIN,SAS
19931109DENSEA,DEN,SEA
19931110CHIMIL,CHI,MIL
19931110BOSPHI,BOS,PHI
19931110SASPHO,SAS,PHO
19931110LALSAC,LAL,SAC
19931110ATLUTA,ATL,UTA
19931110NYKWSB,NYK,WSB
19931111ORLCHH,ORL,CHH
19931111MINHOU,MIN,HOU
19931111DETLAC,DET,LAC
19931111MILMIA,MIL,MIA
19931111INDNJN,IND,NJN
19931111CLESEA,CLE,SEA
19931112CHHBOS,CHH,BOS
19931112CLEGSW,CLE,GSW
19931112NYKIND,NYK,IND
19931112DENLAL,DEN,LAL
19931112DALMIN,DAL,MIN
19931112MIAORL,MIA,ORL
19931112ATLPOR,ATL,POR
19931112SASSAC,SAS,SAC
19931112DETUTA,DET,UTA
19931112PHIWSB,PHI,WSB
19931113BOSCHI,BOS,CHI
19931113UTADAL,UTA,DAL
19931113GSWDEN,GSW,DEN
19931113PHOHOU,PHO,HOU
19931113SASLAC,SAS,LAC
19931113PHINJN,PHI,NJN
19931113MILNYK,MIL,NYK
19931113ATLSEA,ATL,SEA
19931114CLELAL,CLE,LAL
19931114SACNJN,SAC,NJN
19931114DETPOR,DET,POR
19931115HOUPHI,HOU,PHI
19931116SACATL,SAC,ATL
19931116NYKDAL,NYK,DAL
19931116SASDEN,SAS,DEN
19931116PHOGSW,PHO,GSW
19931116CHHIND,CHH,IND
19931116LACLAL,LAC,LAL
19931116MINMIL,MIN,MIL
19931116HOUNJN,HOU,NJN
19931116UTAORL,UTA,ORL
19931116CLEPOR,CLE,POR
19931116CHISEA,CHI,SEA
19931117NJNBOS,NJN,BOS
19931117SACCHH,SAC,CHH
19931117ORLDET,ORL,DET
19931117UTAMIA,UTA,MIA
19931117ATLPHI,ATL,PHI
19931117NYKSAS,NYK,SAS
19931117MILWSB,MIL,WSB
19931118CLEDEN,CLE,DEN
19931118LALGSW,LAL,GSW
19931118HOUIND,HOU,IND
19931118DALLAC,DAL,LAC
19931118CHIPOR,CHI,POR
19931119ORLBOS,ORL,BOS
19931119WSBCHH,WSB,CHH
19931119SASDET,SAS,DET
19931119CHILAL,CHI,LAL
19931119ATLMIA,ATL,MIA
19931119SACMIN,SAC,MIN
19931119UTAPHI,UTA,PHI
19931119PORPHO,POR,PHO
19931119DALSEA,DAL,SEA
19931120CHHATL,CHH,ATL
19931120SEAGSW,SEA,GSW
19931120LACHOU,LAC,HOU
19931120BOSIND,BOS,IND
19931120SASMIL,SAS,MIL
19931120DENMIN,DEN,MIN
19931120ORLNJN,ORL,NJN
19931120UTANYK,UTA,NYK
19931120CLEPHO,CLE,PHO
19931120MIAWSB,MIA,WSB
19931121PHIDET,PHI,DET
19931121LALNJN,LAL,NJN
19931121DALPOR,DAL,POR
19931121CHISAC,CHI,SAC
19931122INDBOS,IND,BOS
19931122MIANYK,MIA,NYK
19931122LACSAS,LAC,SAS
19931123LALATL,LAL,ATL
19931123LACDAL,LAC,DAL
19931123CHIHOU,CHI,HOU
19931123GSWORL,GSW,ORL
19931123DENPOR,DEN,POR
19931123CHHWSB,CHH,WSB
19931124LALCHH,LAL,CHH
19931124WSBCLE,WSB,CLE
19931124BOSDET,BOS,DET
19931124PHIIND,PHI,IND
19931124GSWMIA,GSW,MIA
19931124ATLMIL,ATL,MIL
19931124NJNMIN,NJN,MIN
19931124DENPHO,DEN,PHO
19931124SEASAC,SEA,SAC
19931124CHISAS,CHI,SAS
19931124HOUUTA,HOU,UTA
19931126WSBATL,WSB,ATL
19931126MIABOS,MIA,BOS
19931126MILCHH,MIL,CHH
19931126CHIDAL,CHI,DAL
19931126PORDEN,POR,DEN
19931126LALIND,LAL,IND
19931126SEAMIN,SEA,MIN
19931126GSWPHI,GSW,PHI
19931126HOUSAC,HOU,SAC
19931126NJNUTA,NJN,UTA
19931127PHIATL,PHI,ATL
19931127SEACLE,SEA,CLE
19931127NJNDEN,NJN,DEN
19931127HOULAC,HOU,LAC
19931127CHHMIA,CHH,MIA
19931127BOSMIL,BOS,MIL
19931127LALMIN,LAL,MIN
19931127DETNYK,DET,NYK
19931127UTAPHO,UTA,PHO
19931127DALSAS,DAL,SAS
19931127ORLWSB,ORL,WSB
19931128GSWDET,GSW,DET
19931128SACPOR,SAC,POR
19931129NJNLAC,NJN,LAC
19931129INDSAC,IND,SAC
19931129MILSAS,MIL,SAS
19931130BOSATL,BOS,ATL
19931130PHOCHI,PHO,CHI
19931130DETCLE,DET,CLE
19931130DALGSW,DAL,GSW
19931130MILHOU,MIL,HOU
19931130PORMIA,POR,MIA
19931130SEAPHI,SEA,PHI
19931130DENUTA,DEN,UTA
19931201WSBBOS,WSB,BOS
19931201SASCHH,SAS,CHH
19931201INDLAC,IND,LAC
19931201DALLAL,DAL,LAL
19931201CLENJN,CLE,NJN
19931201PORORL,POR,ORL
19931201MINSAC,MIN,SAC
19931202PHODET,PHO,DET
19931202MINGSW,MIN,GSW
19931202HOUNYK,HOU,NYK
19931202INDUTA,IND,UTA
19931202SEAWSB,SEA,WSB
19931203HOUATL,HOU,ATL
19931203PORBOS,POR,BOS
19931203MILDAL,MIL,DAL
19931203CHHDEN,CHH,DEN
19931203CHIMIA,CHI,MIA
19931203PHONJN,PHO,NJN
19931203SASORL,SAS,ORL
19931204ORLCLE,ORL,CLE
19931204INDGSW,IND,GSW
19931204LALLAC,LAL,LAC
19931204SACNYK,SAC,NYK
19931204SASPHI,SAS,PHI
19931204MINSEA,MIN,SEA
19931204CHHUTA,CHH,UTA
19931204PORWSB,POR,WSB
19931205HOUCLE,HOU,CLE
19931205DALDEN,DAL,DEN
19931205MINLAL,MIN,LAL
19931205PHOMIL,PHO,MIL
19931206WSBSEA,WSB,SEA
19931206NYKUTA,NYK,UTA
19931207LACCHI,LAC,CHI
19931207PORCLE,POR,CLE
19931207MIADAL,MIA,DAL
19931207DENGSW,DEN,GSW
19931207CHHHOU,CHH,HOU
19931207SACIND,SAC,IND
19931207NYKLAL,NYK,LAL
19931207BOSNJN,BOS,NJN
19931207DETORL,DET,ORL
19931208SACBOS,SAC,BOS
19931208ATLDET,ATL,DET
19931208LACMIL,LAC,MIL
19931208PORMIN,POR,MIN
19931208CHIPHI,CHI,PHI
19931208SEASAS,SEA,SAS
19931208WSBUTA,WSB,UTA
19931209SASATL,SAS,ATL
19931209CLECHH,CLE,CHH
19931209SEADAL,SEA,DAL
19931209NYKGSW,NYK,GSW
19931209MIAHOU,MIA,HOU
19931209ORLIND,ORL,IND
19931209WSBPHO,WSB,PHO
19931210UTADEN,UTA,DEN
19931210MILDET,MIL,DET
19931210LACMIN,LAC,MIN
19931210CHINJN,CHI,NJN
19931210BOSORL,BOS,ORL
19931210SACPHI,SAC,PHI
19931210LALPOR,LAL,POR
19931211NJNCHH,NJN,CHH
19931211CLECHI,CLE,CHI
19931211PHODAL,PHO,DAL
19931211UTAGSW,UTA,GSW
19931211SEAHOU,SEA,HOU
19931211BOSMIA,BOS,MIA
19931211PHIMIL,PHI,MIL
19931211DETMIN,DET,MIN
19931211INDNYK,IND,NYK
19931211DENSAS,DEN,SAS
19931211ATLWSB,ATL,WSB
19931212GSWLAL,GSW,LAL
19931212ORLPOR,ORL,POR
19931212LACSAC,LAC,SAC
19931213PHIBOS,PHI,BOS
19931213MIANJN,MIA,NJN
19931213MILPHO,MIL,PHO
19931213SASUTA,SAS,UTA
19931214MINCHH,MIN,CHH
19931214ATLCLE,ATL,CLE
19931214PORDAL,POR,DAL
19931214LALDET,LAL,DET
19931214WSBIND,WSB,IND
19931214HOUMIA,HOU,MIA
19931214DENNYK,DEN,NYK
19931214ORLSEA,ORL,SEA
19931215CHIBOS,CHI,BOS
19931215ORLLAC,ORL,LAC
19931215UTAMIN,UTA,MIN
19931215DENPHI,DEN,PHI
19931215GSWPHO,GSW,PHO
19931215MILSAC,MIL,SAC
19931215PORSAS,POR,SAS
19931216INDATL,IND,ATL
19931216SASDAL,SAS,DAL
19931216CLEMIA,CLE,MIA
19931216CHHNJN,CHH,NJN
19931216LALNYK,LAL,NYK
19931216DETWSB,DET,WSB
19931217UTABOS,UTA,BOS
19931217DENCHH,DEN,CHH
19931217NYKCHI,NYK,CHI
19931217MINLAC,MIN,LAC
19931217LALPHI,LAL,PHI
19931217ORLPHO,ORL,PHO
19931217GSWSAC,GSW,SAC
19931217MILSEA,MIL,SEA
19931218DENATL,DEN,ATL
19931218SASCHI,SAS,CHI
19931218CLEDET,CLE,DET
19931218DALHOU,DAL,HOU
19931218NJNIND,NJN,IND
19931218PHIMIA,PHI,MIA
19931218LACPHO,LAC,PHO
19931218MINPOR,MIN,POR
19931218GSWSEA,GSW,SEA
19931218UTAWSB,UTA,WSB
19931219LALCLE,LAL,CLE
19931219MILPOR,MIL,POR
19931219ORLSAC,ORL,SAC
19931220CHHCHI,CHH,CHI
19931220MILLAC,MIL,LAC
19931220WSBMIN,WSB,MIN
19931220DALNYK,DAL,NYK
19931220DETPHI,DET,PHI
19931220INDPHO,IND,PHO
19931221UTACLE,UTA,CLE
19931221PHODEN,PHO,DEN
19931221CHHDET,CHH,DET
19931221PORGSW,POR,GSW
19931221NYKNJN,NYK,NJN
19931221LALORL,LAL,ORL
19931221HOUSAS,HOU,SAS
19931221INDSEA,IND,SEA
19931222ATLBOS,ATL,BOS
19931222MINCHI,MIN,CHI
19931222WSBLAC,WSB,LAC
19931222DALMIL,DAL,MIL
19931222MIAPHI,MIA,PHI
19931223BOSCHH,BOS,CHH
19931223MILCLE,MIL,CLE
19931223CHIDET,CHI,DET
19931223LACGSW,LAC,GSW
19931223DENHOU,DEN,HOU
19931223LALMIA,LAL,MIA
19931223DALMIN,DAL,MIN
19931223ATLNYK,ATL,NYK
19931223NJNORL,NJN,ORL
19931223INDPOR,IND,POR
19931223WSBSAC,WSB,SAC
19931223UTASAS,UTA,SAS
19931223PHOSEA,PHO,SEA
19931225ORLCHI,ORL,CHI
19931225HOUPHO,HOU,PHO
19931226INDCLE,IND,CLE
19931226MINDEN,MIN,DEN
19931226HOULAL,HOU,LAL
19931226SACMIA,SAC,MIA
19931226ATLNJN,ATL,NJN
19931226GSWPOR,GSW,POR
19931226BOSSAS,BOS,SAS
19931227DETCHH,DET,CHH
19931227PHILAC,PHI,LAC
19931227WSBMIL,WSB,MIL
19931227SACORL,SAC,ORL
19931227BOSPHO,BOS,PHO
19931227MINUTA,MIN,UTA
19931228DETATL,DET,ATL
19931228CHHCLE,CHH,CLE
19931228DENDAL,DEN,DAL
19931228PHIGSW,PHI,GSW
19931228SASMIA,SAS,MIA
19931228NJNNYK,NJN,NYK
19931228HOUSEA,HOU,SEA
19931229NJNCHI,NJN,CHI
19931229SEALAL,SEA,LAL
19931229ATLORL,ATL,ORL
19931229LACPOR,LAC,POR
19931229BOSUTA,BOS,UTA
19931229SACWSB,SAC,WSB
19931230CHICHH,CHI,CHH
19931230GSWDEN,GSW,DEN
19931230SACDET,SAC,DET
19931230SASIND,SAS,IND
19931230BOSLAC,BOS,LAC
19931230ORLMIA,ORL,MIA
19931230CLEMIL,CLE,MIL
19931230HOUMIN,HOU,MIN
19931230WSBNYK,WSB,NYK
19931230PHIPHO,PHI,PHO
19940102NJNBOS,NJN,BOS
19940102PHIDEN,PHI,DEN
19940102MIADET,MIA,DET
19940102CHHNYK,CHH,NYK
19940102UTAPOR,UTA,POR
19940102DALSAC,DAL,SAC
19940102LALSAS,LAL,SAS
19940103DALUTA,DAL,UTA
19940104CHHATL,CHH,ATL
19940104DETCHI,DET,CHI
19940104LALDEN,LAL,DEN
19940104SACGSW,SAC,GSW
19940104PORHOU,POR,HOU
19940104CLEIND,CLE,IND
19940104NJNMIA,NJN,MIA
19940104ORLNYK,ORL,NYK
19940104SEAPHO,SEA,PHO
19940104PHISAS,PHI,SAS
19940105BOSCLE,BOS,CLE
19940105HOUDAL,HOU,DAL
19940105SEALAC,SEA,LAC
19940105DENMIN,DEN,MIN
19940105MILNJN,MIL,NJN
19940105CHIORL,CHI,ORL
19940105LALSAC,LAL,SAC
19940105PHOUTA,PHO,UTA
19940105INDWSB,IND,WSB
19940106PORCHH,POR,CHH
19940106SASGSW,SAS,GSW
19940106NYKMIL,NYK,MIL
19940107PORATL,POR,ATL
19940107CLEBOS,CLE,BOS
19940107PHIDAL,PHI,DAL
19940107SASDEN,SAS,DEN
19940107LACLAL,LAC,LAL
19940107PHOMIN,PHO,MIN
19940107SACSEA,SAC,SEA
19940107MIAUTA,MIA,UTA
19940107CHIWSB,CHI,WSB
19940108CLEATL,CLE,ATL
19940108NYKCHH,NYK,CHH
19940108DALCHI,DAL,CHI
19940108SACDEN,SAC,DEN
19940108INDDET,IND,DET
19940108PHIHOU,PHI,HOU
19940108MIALAC,MIA,LAC
19940108NJNMIL,NJN,MIL
19940108BOSMIN,BOS,MIN
19940108WSBORL,WSB,ORL
19940108UTASEA,UTA,SEA
19940109SASLAL,SAS,LAL
19940109PORNYK,POR,NYK
19940109GSWPHO,GSW,PHO
19940110HOUORL,HOU,ORL
19940110BOSPHI,BOS,PHI
19940111DENDET,DEN,DET
19940111GSWLAL,GSW,LAL
19940111INDMIL,IND,MIL
19940111WSBNJN,WSB,NJN
19940111LACNYK,LAC,NYK
19940111CHHPHO,CHH,PHO
19940111SEAPOR,SEA,POR
19940111MIASAC,MIA,SAC
19940111MINSAS,MIN,SAS
19940112CHIATL,CHI,ATL
19940112HOUBOS,HOU,BOS
19940112MINDAL,MIN,DAL
19940112MIAGSW,MIA,GSW
19940112DENIND,DEN,IND
19940112CLEORL,CLE,ORL
19940112LACPHI,LAC,PHI
19940113NJNCLE,NJN,CLE
19940113NYKDET,NYK,DET
19940113UTAMIL,UTA,MIL
19940113CHHSAC,CHH,SAC
19940113PHOSAS,PHO,SAS
19940113HOUWSB,HOU,WSB
19940114DALATL,DAL,ATL
19940114LACBOS,LAC,BOS
19940114UTACHI,UTA,CHI
19940114SEAGSW,SEA,GSW
19940114CHHLAL,CHH,LAL
19940114ORLMIN,ORL,MIN
19940114DENNJN,DEN,NJN
19940114INDPHI,IND,PHI
19940114MIAPOR,MIA,POR
19940115HOUCHI,HOU,CHI
19940115PHICLE,PHI,CLE
19940115SASDAL,SAS,DAL
19940115ATLIND,ATL,IND
19940115ORLMIL,ORL,MIL
19940115DETNYK,DET,NYK
19940115PHOSAC,PHO,SAC
19940115MIASEA,MIA,SEA
19940115LACWSB,LAC,WSB
19940116DENBOS,DEN,BOS
19940116UTANJN,UTA,NJN
19940116CHHPOR,CHH,POR
19940117MILATL,MIL,ATL
19940117PHICHI,PHI,CHI
19940117ORLCLE,ORL,CLE
19940117UTADET,UTA,DET
19940117PHOGSW,PHO,GSW
19940117MINNYK,MIN,NYK
19940117SASWSB,SAS,WSB
19940118PORDEN,POR,DEN
19940118BOSHOU,BOS,HOU
19940118LACMIA,LAC,MIA
19940118DETMIL,DET,MIL
19940118DALPHO,DAL,PHO
19940118LALSEA,LAL,SEA
19940119GSWATL,GSW,ATL
19940119PHICHH,PHI,CHH
19940119WSBCHI,WSB,CHI
19940119BOSDAL,BOS,DAL
19940119MIAIND,MIA,IND
19940119MINNJN,MIN,NJN
19940119SASNYK,SAS,NYK
19940119LACORL,LAC,ORL
19940119SEASAC,SEA,SAC
19940119CLEUTA,CLE,UTA
19940120HOUDEN,HOU,DEN
19940120PHOLAL,PHO,LAL
19940120SASMIN,SAS,MIN
19940121NJNATL,NJN,ATL
19940121GSWBOS,GSW,BOS
19940121INDCHI,IND,CHI
19940121SEADAL,SEA,DAL
19940121CLELAC,CLE,LAC
19940121DETMIA,DET,MIA
19940121CHHMIL,CHH,MIL
19940121NYKORL,NYK,ORL
19940121LALPOR,LAL,POR
19940121SACUTA,SAC,UTA
19940122MILCHH,MIL,CHH
19940122SEADEN,SEA,DEN
19940122UTAHOU,UTA,HOU
19940122CHIIND,CHI,IND
19940122ATLMIN,ATL,MIN
19940122GSWNJN,GSW,NJN
19940122ORLPHI,ORL,PHI
19940122PORPHO,POR,PHO
19940122CLESAC,CLE,SAC
19940122DALSAS,DAL,SAS
19940122DETWSB,DET,WSB
19940123WSBMIA,WSB,MIA
19940123PHINYK,PHI,NYK
19940124DALBOS,DAL,BOS
19940124CHIDET,CHI,DET
19940124MILIND,MIL,IND
19940124SEAUTA,SEA,UTA
19940125CLEHOU,CLE,HOU
19940125CHHMIA,CHH,MIA
19940125ATLMIL,ATL,MIL
19940125PHONYK,PHO,NYK
19940125WSBORL,WSB,ORL
19940125NJNPOR,NJN,POR
19940125SACSAS,SAC,SAS
19940125LACSEA,LAC,SEA
19940126PHOATL,PHO,ATL
19940126MIABOS,MIA,BOS
19940126ORLCHH,ORL,CHH
19940126DETGSW,DET,GSW
19940126INDLAL,IND,LAL
19940126UTAMIN,UTA,MIN
19940126DALPHI,DAL,PHI
19940127CHICLE,CHI,CLE
19940127INDDEN,IND,DEN
19940127SACHOU,SAC,HOU
19940127NYKLAC,NYK,LAC
19940127NJNSEA,NJN,SEA
19940127DALWSB,DAL,WSB
19940128ATLCHH,ATL,CHH
19940128MILCHI,MIL,CHI
19940128DETLAL,DET,LAL
19940128MIAORL,MIA,ORL
19940128PHOPHI,PHO,PHI
19940128MINPOR,MIN,POR
19940128GSWUTA,GSW,UTA
19940129MIACLE,MIA,CLE
19940129SACDAL,SAC,DAL
19940129DETDEN,DET,DEN
19940129NJNGSW,NJN,GSW
19940129INDHOU,IND,HOU
19940129MINLAC,MIN,LAC
19940129MILPHI,MIL,PHI
19940129ATLSAS,ATL,SAS
19940129NYKSEA,NYK,SEA
19940129ORLWSB,ORL,WSB
19940130PHOBOS,PHO,BOS
19940130NYKPOR,NYK,POR
19940131ATLDAL,ATL,DAL
19940131CLEDET,CLE,DET
19940131GSWLAC,GSW,LAC
19940201CHIDEN,CHI,DEN
19940201WSBIND,WSB,IND
19940201MIAMIL,MIA,MIL
19940201SEANJN,SEA,NJN
19940201BOSNYK,BOS,NYK
19940201LACPHO,LAC,PHO
19940201PORSAC,POR,SAC
19940201LALSAS,LAL,SAS
19940201HOUUTA,HOU,UTA
19940202ORLATL,ORL,ATL
19940202SEABOS,SEA,BOS
19940202INDCHH,IND,CHH
19940202MILDET,MIL,DET
19940202DENGSW,DEN,GSW
19940202DALMIN,DAL,MIN
19940202CLEPHI,CLE,PHI
19940202NYKWSB,NYK,WSB
19940203SASCLE,SAS,CLE
19940203LALHOU,LAL,HOU
19940203PHOPOR,PHO,POR
19940203CHIUTA,CHI,UTA
19940204NYKATL,NYK,ATL
19940204SASBOS,SAS,BOS
19940204MIACHH,MIA,CHH
19940204LALDAL,LAL,DAL
19940204SEADET,SEA,DET
19940204CHIGSW,CHI,GSW
19940204MININD,MIN,IND
19940204MILORL,MIL,ORL
19940204WSBPHI,WSB,PHI
19940204DENSAC,DEN,SAC
19940205ATLCLE,ATL,CLE
19940205NJNDET,NJN,DET
19940205CHHIND,CHH,IND
19940205SACLAC,SAC,LAC
19940205PHIMIA,PHI,MIA
19940205SEAMIL,SEA,MIL
19940205PORUTA,POR,UTA
19940206DALDEN,DAL,DEN
19940206MINHOU,MIN,HOU
19940206UTALAL,UTA,LAL
19940206SASNJN,SAS,NJN
19940206ORLNYK,ORL,NYK
19940206CHIPHO,CHI,PHO
19940206GSWWSB,GSW,WSB
19940207DETATL,DET,ATL
19940207GSWIND,GSW,IND
19940207NYKMIA,NYK,MIA
19940207CHHPHI,CHH,PHI
19940208NJNCLE,NJN,CLE
19940208MINDAL,MIN,DAL
19940208UTADEN,UTA,DEN
19940208CHILAC,CHI,LAC
19940208PHOLAL,PHO,LAL
19940208HOUMIL,HOU,MIL
19940208SACPOR,SAC,POR
19940208WSBSAS,WSB,SAS
19940209DETBOS,DET,BOS
19940209GSWCHH,GSW,CHH
19940209INDMIA,IND,MIA
19940209CLENJN,CLE,NJN
19940209ATLORL,ATL,ORL
19940209NYKPHI,NYK,PHI
19940209MINPHO,MIN,PHO
19940209LACSAC,LAC,SAC
19940209PORSEA,POR,SEA
19940209LALUTA,LAL,UTA
19940210MIAATL,MIA,ATL
19940210WSBDAL,WSB,DAL
19940210HOUDET,HOU,DET
19940210SACLAL,SAC,LAL
19940210CHIMIL,CHI,MIL
19940210GSWNYK,GSW,NYK
19940210DENSAS,DEN,SAS
19940215DENCLE,DEN,CLE
19940215PORDAL,POR,DAL
19940215WSBDET,WSB,DET
19940215SACGSW,SAC,GSW
19940215ATLHOU,ATL,HOU
19940215LACLAL,LAC,LAL
19940215MILMIN,MIL,MIN
19940215NYKNJN,NYK,NJN
19940215BOSORL,BOS,ORL
19940215INDSAS,IND,SAS
19940215PHISEA,PHI,SEA
19940216HOUCHH,HOU,CHH
19940216MIACHI,MIA,CHI
19940216UTALAC,UTA,LAC
19940216DENMIL,DEN,MIL
19940216PORPHO,POR,PHO
19940216PHISAC,PHI,SAC
19940217NJNBOS,NJN,BOS
19940217NYKCLE,NYK,CLE
19940217INDDAL,IND,DAL
19940217ATLGSW,ATL,GSW
19940217SEAMIA,SEA,MIA
19940217DETSAS,DET,SAS
19940217MINWSB,MIN,WSB
19940218MILCHH,MIL,CHH
19940218DENCHI,DEN,CHI
19940218ATLLAC,ATL,LAC
19940218CLEMIN,CLE,MIN
19940218SEAORL,SEA,ORL
19940218LALPHO,LAL,PHO
19940218PHIPOR,PHI,POR
19940218UTASAC,UTA,SAC
19940218NJNWSB,NJN,WSB
19940219DETDAL,DET,DAL
19940219BOSGSW,BOS,GSW
19940219PHOHOU,PHO,HOU
19940219MIASAS,MIA,SAS
19940219LACUTA,LAC,UTA
19940220CLECHH,CLE,CHH
19940220ATLDEN,ATL,DEN
19940220SEAIND,SEA,IND
19940220PHILAL,PHI,LAL
19940220ORLMIL,ORL,MIL
19940220WSBNJN,WSB,NJN
19940220CHINYK,CHI,NYK
19940220BOSPOR,BOS,POR
19940221CHHCHI,CHH,CHI
19940221DALDET,DAL,DET
19940221WSBMIA,WSB,MIA
19940221SASMIN,SAS,MIN
19940221SACPHO,SAC,PHO
19940221PHIUTA,PHI,UTA
19940222MINCLE,MIN,CLE
19940222DENHOU,DEN,HOU
19940222DALIND,DAL,IND
19940222GSWMIL,GSW,MIL
19940222MIANJN,MIA,NJN
19940222SEANYK,SEA,NYK
19940222LACPOR,LAC,POR
19940222BOSSAC,BOS,SAC
19940223SEAATL,SEA,ATL
19940223GSWCHI,GSW,CHI
19940223BOSDEN,BOS,DEN
19940223PORLAC,POR,LAC
19940223INDORL,IND,ORL
19940223NJNPHI,NJN,PHI
19940223SASUTA,SAS,UTA
19940223CLEWSB,CLE,WSB
19940224DALCHH,DAL,CHH
19940224NYKHOU,NYK,HOU
19940224PHOMIN,PHO,MIN
19940224LALSAC,LAL,SAC
19940225MILATL,MIL,ATL
19940225GSWCLE,GSW,CLE
19940225NYKDEN,NYK,DEN
19940225DETIND,DET,IND
19940225SACLAC,SAC,LAC
19940225SASLAL,SAS,LAL
19940225NJNORL,NJN,ORL
