gameid,away,home
19831028NYKCLE,NYK,CLE
19831028UTADEN,UTA,DEN
19831028BOSDET,BOS,DET
19831028LALKCK,LAL,KCK
19831028INDMIL,IND,MIL
19831028ATLNJN,ATL,NJN
19831028WSBPHI,WSB,PHI
19831028SDCPOR,SDC,POR
19831028GSWSEA,GSW,SEA
19831029DETATL,DET,ATL
19831029NJNCHI,NJN,CHI
19831029BOSCLE,BOS,CLE
19831029PHODAL,PHO,DAL
19831029PORGSW,POR,GSW
19831029SASHOU,SAS,HOU
19831029PHIIND,PHI,IND
19831029WSBNYK,WSB,NYK
19831029DENSDC,DEN,SDC
19831029LALUTA,LAL,UTA
19831030SEAKCK,SEA,KCK
19831030DALSAS,DAL,SAS
19831101WSBATL,WSB,ATL
19831101DALDEN,DAL,DEN
19831101MILDET,MIL,DET
19831101HOUIND,HOU,IND
19831101GSWKCK,GSW,KCK
19831101CLENJN,CLE,NJN
19831101CHIPHI,CHI,PHI
19831101SEAPHO,SEA,PHO
19831101PORSAS,POR,SAS
19831102MILBOS,MIL,BOS
19831102HOUCLE,HOU,CLE
19831102PORDAL,POR,DAL
19831102LALSDC,LAL,SDC
19831102NYKSEA,NYK,SEA
19831103DENKCK,DEN,KCK
19831103CHINJN,CHI,NJN
19831103SASPHO,SAS,PHO
19831103GSWUTA,GSW,UTA
19831103DETWSB,DET,WSB
19831104CHIATL,CHI,ATL
19831104INDBOS,IND,BOS
19831104DALCLE,DAL,CLE
19831104HOUDET,HOU,DET
19831104MILPHI,MIL,PHI
19831104NYKPOR,NYK,POR
19831104SEASDC,SEA,SDC
19831105LALDAL,LAL,DAL
19831105SDCDEN,SDC,DEN
19831105NYKGSW,NYK,GSW
19831105CLEIND,CLE,IND
19831105HOUKCK,HOU,KCK
19831105PHINJN,PHI,NJN
19831105SASUTA,SAS,UTA
19831105BOSWSB,BOS,WSB
19831106ATLMIL,ATL,MIL
19831106PHOPOR,PHO,POR
19831106SEASAS,SEA,SAS
19831108KCKCHI,KCK,CHI
19831108LALDEN,LAL,DEN
19831108ATLGSW,ATL,GSW
19831108PORHOU,POR,HOU
19831108BOSIND,BOS,IND
19831108MILNYK,MIL,NYK
19831108PHOSEA,PHO,SEA
19831108SDCWSB,SDC,WSB
19831109SDCBOS,SDC,BOS
19831109PHIDET,PHI,DET
19831109DALLAL,DAL,LAL
19831109KCKMIL,KCK,MIL
19831109WSBNJN,WSB,NJN
19831109UTASAS,UTA,SAS
19831109CLESEA,CLE,SEA
19831110PHOGSW,PHO,GSW
19831110UTAHOU,UTA,HOU
19831110NYKIND,NYK,IND
19831110CLEPOR,CLE,POR
19831111DETBOS,DET,BOS
19831111SASDAL,SAS,DAL
19831111PHOLAL,PHO,LAL
19831111MILNJN,MIL,NJN
19831111SDCNYK,SDC,NYK
19831111KCKPHI,KCK,PHI
19831111ATLSEA,ATL,SEA
19831111CHIWSB,CHI,WSB
19831112BOSCHI,BOS,CHI
19831112KCKDET,KCK,DET
19831112CLEGSW,CLE,GSW
19831112DALHOU,DAL,HOU
19831112NJNIND,NJN,IND
19831112DENSAS,DEN,SAS
19831112PORUTA,POR,UTA
19831113UTALAL,UTA,LAL
19831113SEAMIL,SEA,MIL
19831113SDCPHI,SDC,PHI
19831113GSWPHO,GSW,PHO
19831113ATLPOR,ATL,POR
19831115SDCATL,SDC,ATL
19831115DETCHI,DET,CHI
19831115BOSDEN,BOS,DEN
19831115SASGSW,SAS,GSW
19831115NJNHOU,NJN,HOU
19831115MILLAL,MIL,LAL
19831115INDNYK,IND,NYK
19831115UTAPOR,UTA,POR
