gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
20081028CLEBOS,20081028,CLE,BOS,CLE,28,22,13,22,,,,85
20081028CLEBOS,20081028,CLE,BOS,BOS,22,21,24,23,,,,90
20081028MILCHI,20081028,MIL,CHI,MIL,26,26,23,20,,,,95
20081028MILCHI,20081028,MIL,CHI,CHI,26,29,27,26,,,,108
20081028PORLAL,20081028,POR,LAL,POR,14,20,19,23,,,,76
20081028PORLAL,20081028,POR,LAL,LAL,24,25,23,24,,,,96
20081029INDDET,20081029,IND,DET,IND,17,23,24,30,,,,94
20081029INDDET,20081029,IND,DET,DET,23,27,25,25,,,,100
20081029NOHGSW,20081029,NOH,GSW,NOH,27,29,29,23,,,,108
20081029NOHGSW,20081029,NOH,GSW,GSW,34,23,27,19,,,,103
20081029MEMHOU,20081029,MEM,HOU,MEM,18,19,20,14,,,,71
20081029MEMHOU,20081029,MEM,HOU,HOU,26,17,15,24,,,,82
20081029LALLAC,20081029,LAL,LAC,LAL,30,29,26,32,,,,117
20081029LALLAC,20081029,LAL,LAC,LAC,27,17,13,22,,,,79
20081029SACMIN,20081029,SAC,MIN,SAC,32,17,28,19,,,,96
20081029SACMIN,20081029,SAC,MIN,MIN,33,23,20,22,,,,98
20081029MIANYK,20081029,MIA,NYK,MIA,27,18,30,40,,,,115
20081029MIANYK,20081029,MIA,NYK,NYK,28,32,31,29,,,,120
20081029MILOKC,20081029,MIL,OKC,MIL,24,26,29,19,,,,98
20081029MILOKC,20081029,MIL,OKC,OKC,14,21,24,28,,,,87
20081029ATLORL,20081029,ATL,ORL,ATL,26,21,27,25,,,,99
20081029ATLORL,20081029,ATL,ORL,ORL,13,27,15,30,,,,85
20081029TORPHI,20081029,TOR,PHI,TOR,18,33,23,21,,,,95
20081029TORPHI,20081029,TOR,PHI,PHI,21,24,20,19,,,,84
20081029PHOSAS,20081029,PHO,SAS,PHO,19,30,25,29,,,,103
20081029PHOSAS,20081029,PHO,SAS,SAS,16,30,27,25,,,,98
20081029DENUTA,20081029,DEN,UTA,DEN,27,19,21,27,,,,94
20081029DENUTA,20081029,DEN,UTA,UTA,28,22,25,23,,,,98
20081029NJNWAS,20081029,NJN,WAS,NJN,23,21,25,26,,,,95
20081029NJNWAS,20081029,NJN,WAS,WAS,23,23,21,18,,,,85
20081030CHACLE,20081030,CHA,CLE,CHA,16,17,26,20,,,,79
20081030CHACLE,20081030,CHA,CLE,CLE,25,25,18,28,,,,96
20081030HOUDAL,20081030,HOU,DAL,HOU,32,30,23,27,,,,112
20081030HOUDAL,20081030,HOU,DAL,DAL,33,26,27,16,,,,102
20081030NOHPHO,20081030,NOH,PHO,NOH,30,26,25,27,,,,108
20081030NOHPHO,20081030,NOH,PHO,PHO,23,21,25,26,,,,95
20081031CHIBOS,20081031,CHI,BOS,CHI,13,18,23,26,,,,80
20081031CHIBOS,20081031,CHI,BOS,BOS,24,25,21,26,,,,96
20081031DENLAC,20081031,DEN,LAC,DEN,20,17,31,26,19,,,113
20081031DENLAC,20081031,DEN,LAC,LAC,28,27,21,18,9,,,103
20081031ORLMEM,20081031,ORL,MEM,ORL,25,30,13,16,,,,84
20081031ORLMEM,20081031,ORL,MEM,MEM,26,17,18,25,,,,86
20081031SACMIA,20081031,SAC,MIA,SAC,14,17,16,30,,,,77
20081031SACMIA,20081031,SAC,MIA,MIA,22,27,29,25,,,,103
20081031NYKPHI,20081031,NYK,PHI,NYK,24,24,24,15,,,,87
20081031NYKPHI,20081031,NYK,PHI,PHI,31,29,31,25,,,,116
20081031SASPOR,20081031,SAS,POR,SAS,22,23,25,29,,,,99
20081031SASPOR,20081031,SAS,POR,POR,21,30,27,22,,,,100
20081031GSWTOR,20081031,GSW,TOR,GSW,22,28,23,23,12,,,108
20081031GSWTOR,20081031,GSW,TOR,TOR,28,23,24,21,16,,,112
20081101PHIATL,20081101,PHI,ATL,PHI,34,23,18,13,,,,88
20081101PHIATL,20081101,PHI,ATL,ATL,18,26,22,29,,,,95
20081101MIACHA,20081101,MIA,CHA,MIA,18,23,27,19,,,,87
20081101MIACHA,20081101,MIA,CHA,CHA,24,28,25,23,,,,100
20081101MEMCHI,20081101,MEM,CHI,MEM,19,31,20,16,,,,86
20081101MEMCHI,20081101,MEM,CHI,CHI,19,23,33,21,,,,96
20081101LALDEN,20081101,LAL,DEN,LAL,23,23,30,28,,,,104
20081101LALDEN,20081101,LAL,DEN,DEN,21,31,24,21,,,,97
20081101WASDET,20081101,WAS,DET,WAS,21,31,24,33,,,,109
20081101WASDET,20081101,WAS,DET,DET,31,20,30,36,,,,117
20081101OKCHOU,20081101,OKC,HOU,OKC,17,24,18,18,,,,77
20081101OKCHOU,20081101,OKC,HOU,HOU,20,22,23,24,,,,89
20081101BOSIND,20081101,BOS,IND,BOS,17,24,17,21,,,,79
20081101BOSIND,20081101,BOS,IND,IND,27,21,21,26,,,,95
20081101TORMIL,20081101,TOR,MIL,TOR,24,17,29,21,,,,91
20081101TORMIL,20081101,TOR,MIL,MIL,22,17,21,27,,,,87
20081101DALMIN,20081101,DAL,MIN,DAL,31,22,14,28,,,,95
20081101DALMIN,20081101,DAL,MIN,MIN,20,29,15,21,,,,85
20081101GSWNJN,20081101,GSW,NJN,GSW,24,28,33,20,,,,105
20081101GSWNJN,20081101,GSW,NJN,NJN,25,26,18,28,,,,97
20081101CLENOH,20081101,CLE,NOH,CLE,27,21,24,20,,,,92
20081101CLENOH,20081101,CLE,NOH,NOH,19,30,24,31,,,,104
20081101SACORL,20081101,SAC,ORL,SAC,28,21,27,27,,,,103
20081101SACORL,20081101,SAC,ORL,ORL,32,27,29,33,,,,121
20081101PORPHO,20081101,POR,PHO,POR,23,27,22,24,,,,96
20081101PORPHO,20081101,POR,PHO,PHO,29,20,31,27,,,,107
20081101LACUTA,20081101,LAC,UTA,LAC,25,23,12,19,,,,79
20081101LACUTA,20081101,LAC,UTA,UTA,24,24,27,26,,,,101
20081102MILNYK,20081102,MIL,NYK,MIL,27,22,26,19,,,,94
20081102MILNYK,20081102,MIL,NYK,NYK,23,22,16,25,,,,86
20081102MINOKC,20081102,MIN,OKC,MIN,20,27,26,12,,,,85
20081102MINOKC,20081102,MIN,OKC,OKC,20,26,24,18,,,,88
20081103DETCHA,20081103,DET,CHA,DET,23,22,31,25,,,,101
20081103DETCHA,20081103,DET,CHA,CHA,14,29,20,20,,,,83
20081103CLEDAL,20081103,CLE,DAL,CLE,28,23,21,28,,,,100
20081103CLEDAL,20081103,CLE,DAL,DAL,16,26,24,15,,,,81
20081103UTALAC,20081103,UTA,LAC,UTA,16,20,29,24,,,,89
20081103UTALAC,20081103,UTA,LAC,LAC,20,15,25,13,,,,73
20081103GSWMEM,20081103,GSW,MEM,GSW,24,21,22,12,,,,79
20081103GSWMEM,20081103,GSW,MEM,MEM,29,20,24,17,,,,90
20081103CHIORL,20081103,CHI,ORL,CHI,21,26,21,25,,,,93
20081103CHIORL,20081103,CHI,ORL,ORL,31,19,26,20,,,,96
20081103SACPHI,20081103,SAC,PHI,SAC,23,25,17,26,,,,91
20081103SACPHI,20081103,SAC,PHI,PHI,35,33,25,32,,,,125
20081104BOSHOU,20081104,BOS,HOU,BOS,28,30,23,22,,,,103
20081104BOSHOU,20081104,BOS,HOU,HOU,22,31,25,21,,,,99
20081104PHONJN,20081104,PHO,NJN,PHO,32,33,27,22,,,,114
20081104PHONJN,20081104,PHO,NJN,NJN,27,28,22,9,,,,86
20081104DALSAS,20081104,DAL,SAS,DAL,23,31,22,22,,,,98
20081104DALSAS,20081104,DAL,SAS,SAS,16,20,22,23,,,,81
20081105CHICLE,20081105,CHI,CLE,CHI,24,21,26,22,,,,93
20081105CHICLE,20081105,CHI,CLE,CLE,30,27,26,24,,,,107
20081105DENGSW,20081105,DEN,GSW,DEN,35,24,21,21,,,,101
20081105DENGSW,20081105,DEN,GSW,GSW,28,30,26,27,,,,111
20081105PHOIND,20081105,PHO,IND,PHO,27,32,31,23,,,,113
20081105PHOIND,20081105,PHO,IND,IND,38,28,18,19,,,,103
20081105LACLAL,20081105,LAC,LAL,LAC,29,22,17,20,,,,88
20081105LACLAL,20081105,LAC,LAL,LAL,27,20,25,34,,,,106
20081105PHIMIA,20081105,PHI,MIA,PHI,17,21,25,20,,,,83
20081105PHIMIA,20081105,PHI,MIA,MIA,24,35,16,31,,,,106
20081105WASMIL,20081105,WAS,MIL,WAS,17,28,33,20,6,,,104
20081105WASMIL,20081105,WAS,MIL,MIL,30,9,27,32,14,,,112
20081105SASMIN,20081105,SAS,MIN,SAS,18,27,29,32,10,13,,129
20081105SASMIN,20081105,SAS,MIN,MIN,18,31,22,35,10,9,,125
20081105ATLNOH,20081105,ATL,NOH,ATL,24,22,12,29,,,,87
20081105ATLNOH,20081105,ATL,NOH,NOH,16,24,22,17,,,,79
20081105CHANYK,20081105,CHA,NYK,CHA,20,31,25,22,,,,98
20081105CHANYK,20081105,CHA,NYK,NYK,19,32,30,20,,,,101
20081105BOSOKC,20081105,BOS,OKC,BOS,21,30,19,26,,,,96
20081105BOSOKC,20081105,BOS,OKC,OKC,29,15,11,28,,,,83
20081105MEMSAC,20081105,MEM,SAC,MEM,17,24,27,27,,,,95
20081105MEMSAC,20081105,MEM,SAC,SAC,24,24,33,19,,,,100
20081105DETTOR,20081105,DET,TOR,DET,20,34,22,24,,,,100
20081105DETTOR,20081105,DET,TOR,TOR,23,23,25,22,,,,93
20081105PORUTA,20081105,POR,UTA,POR,23,29,26,18,,,,96
20081105PORUTA,20081105,POR,UTA,UTA,23,22,29,29,,,,103
20081106PHIORL,20081106,PHI,ORL,PHI,16,27,23,22,,,,88
20081106PHIORL,20081106,PHI,ORL,ORL,30,24,21,23,,,,98
20081106HOUPOR,20081106,HOU,POR,HOU,18,33,20,19,9,,,99
20081106HOUPOR,20081106,HOU,POR,POR,21,31,22,16,11,,,101
20081107TORATL,20081107,TOR,ATL,TOR,26,24,19,23,,,,92
20081107TORATL,20081107,TOR,ATL,ATL,31,31,21,27,,,,110
20081107MILBOS,20081107,MIL,BOS,MIL,30,17,23,19,,,,89
20081107MILBOS,20081107,MIL,BOS,BOS,23,32,20,26,,,,101
20081107NOHCHA,20081107,NOH,CHA,NOH,28,7,26,28,,,,89
20081107NOHCHA,20081107,NOH,CHA,CHA,26,21,19,26,,,,92
20081107PHOCHI,20081107,PHO,CHI,PHO,17,17,25,24,,,,83
20081107PHOCHI,20081107,PHO,CHI,CHI,20,28,31,21,,,,100
20081107INDCLE,20081107,IND,CLE,IND,29,19,26,33,,,,107
20081107INDCLE,20081107,IND,CLE,CLE,20,23,28,40,,,,111
20081107DALDEN,20081107,DAL,DEN,DAL,25,24,23,33,,,,105
20081107DALDEN,20081107,DAL,DEN,DEN,26,22,31,29,,,,108
20081107MEMGSW,20081107,MEM,GSW,MEM,28,20,33,28,,,,109
20081107MEMGSW,20081107,MEM,GSW,GSW,30,20,24,30,,,,104
20081107HOULAC,20081107,HOU,LAC,HOU,25,24,22,21,,,,92
20081107HOULAC,20081107,HOU,LAC,LAC,18,23,25,17,,,,83
20081107DETNJN,20081107,DET,NJN,DET,27,17,26,26,,,,96
20081107DETNJN,20081107,DET,NJN,NJN,14,25,33,31,,,,103
20081107MINSAC,20081107,MIN,SAC,MIN,27,28,24,30,,,,109
20081107MINSAC,20081107,MIN,SAC,SAC,36,26,30,29,,,,121
20081107MIASAS,20081107,MIA,SAS,MIA,26,24,25,24,,,,99
20081107MIASAS,20081107,MIA,SAS,SAS,12,20,24,27,,,,83
20081107OKCUTA,20081107,OKC,UTA,OKC,15,14,34,34,,,,97
