gameid,away,home
19961101CHIBOS,CHI,BOS
19961101DALDEN,DAL,DEN
19961101INDDET,IND,DET
19961101LACGSW,LAC,GSW
19961101SACHOU,SAC,HOU
19961101PHOLAL,PHO,LAL
19961101ATLMIA,ATL,MIA
19961101SASMIN,SAS,MIN
19961101CLENJN,CLE,NJN
19961101WSBORL,WSB,ORL
19961101MILPHI,MIL,PHI
19961101NYKTOR,NYK,TOR
19961101SEAUTA,SEA,UTA
19961101PORVAN,POR,VAN
19961102DETATL,DET,ATL
19961102TORCHH,TOR,CHH
19961102PHICHI,PHI,CHI
19961102SACDAL,SAC,DAL
19961102MIAIND,MIA,IND
19961102UTALAC,UTA,LAC
19961102BOSMIL,BOS,MIL
19961102HOUPHO,HOU,PHO
19961102PORSEA,POR,SEA
19961102CLEWSB,CLE,WSB
19961103MINLAL,MIN,LAL
19961103CHHNYK,CHH,NYK
19961103DENSAS,DEN,SAS
19961103GSWVAN,GSW,VAN
19961104ATLPOR,ATL,POR
19961104HOUUTA,HOU,UTA
19961105VANCHI,VAN,CHI
19961105SASCLE,SAS,CLE
19961105LACDEN,LAC,DEN
19961105PORGSW,POR,GSW
19961105LALNYK,LAL,NYK
19961105DETPHI,DET,PHI
19961105MINPHO,MIN,PHO
19961105HOUSAC,HOU,SAC
19961105ATLSEA,ATL,SEA
19961105DALTOR,DAL,TOR
19961106INDBOS,IND,BOS
19961106LALCHH,LAL,CHH
19961106DALDET,DAL,DET
19961106CHIMIA,CHI,MIA
19961106VANMIL,VAN,MIL
19961106SASWSB,SAS,WSB
19961107HOUDEN,HOU,DEN
19961107NYKGSW,NYK,GSW
19961107ORLNJN,ORL,NJN
19961107SEAPHO,SEA,PHO
19961107MINPOR,MIN,POR
19961107ATLSAC,ATL,SAC
19961108PHIBOS,PHI,BOS
19961108VANCLE,VAN,CLE
19961108GSWDEN,GSW,DEN
19961108CHIDET,CHI,DET
19961108NYKLAC,NYK,LAC
19961108MILMIA,MIL,MIA
19961108NJNORL,NJN,ORL
19961108SEASAS,SEA,SAS
19961108LALTOR,LAL,TOR
19961108CHHWSB,CHH,WSB
19961109MILCHH,MIL,CHH
19961109BOSCHI,BOS,CHI
19961109MIADAL,MIA,DAL
19961109UTAHOU,UTA,HOU
19961109WSBIND,WSB,IND
19961109PHOPHI,PHO,PHI
19961109PORSAC,POR,SAC
19961110DENCLE,DEN,CLE
19961110MINLAC,MIN,LAC
19961110ATLLAL,ATL,LAL
19961110SASPOR,SAS,POR
19961110NYKVAN,NYK,VAN
19961111PHOCHI,PHO,CHI
19961111SEASAC,SEA,SAC
19961111DENTOR,DEN,TOR
19961112CLEATL,CLE,ATL
19961112INDDAL,IND,DAL
19961112LALHOU,LAL,HOU
19961112CHHMIA,CHH,MIA
19961112PHOMIL,PHO,MIL
19961112PORMIN,POR,MIN
19961112PHINYK,PHI,NYK
19961112GSWSEA,GSW,SEA
19961112LACVAN,LAC,VAN
19961112DETWSB,DET,WSB
19961113ATLBOS,ATL,BOS
19961113MIACHI,MIA,CHI
19961113PORCLE,POR,CLE
19961113DENDET,DEN,DET
19961113WSBNJN,WSB,NJN
19961113LALSAS,LAL,SAS
19961113PHITOR,PHI,TOR
19961113SACUTA,SAC,UTA
19961114MILGSW,MIL,GSW
19961114INDHOU,IND,HOU
19961114SEALAC,SEA,LAC
19961114DALMIN,DAL,MIN
19961114TORNYK,TOR,NYK
19961114CHHORL,CHH,ORL
19961114PHOVAN,PHO,VAN
19961115MIAATL,MIA,ATL
19961115DENBOS,DEN,BOS
19961115CHICHH,CHI,CHH
19961115WSBDET,WSB,DET
19961115LACLAL,LAC,LAL
19961115PORNJN,POR,NJN
19961115CLEPHI,CLE,PHI
19961115MILSAC,MIL,SAC
19961115INDSAS,IND,SAS
19961115VANUTA,VAN,UTA
19961116ATLCHI,ATL,CHI
19961116DETCLE,DET,CLE
19961116UTADAL,UTA,DAL
19961116GSWHOU,GSW,HOU
19961116PHIMIA,PHI,MIA
19961116DENNJN,DEN,NJN
19961116MINNYK,MIN,NYK
19961116TORORL,TOR,ORL
19961116SACSEA,SAC,SEA
19961116BOSWSB,BOS,WSB
19961117PORIND,POR,IND
19961117MILLAC,MIL,LAC
19961117LALPHO,LAL,PHO
19961117GSWSAS,GSW,SAS
19961117VANSEA,VAN,SEA
19961118SACVAN,SAC,VAN
19961119ATLCLE,ATL,CLE
19961119MIADEN,MIA,DEN
19961119LALGSW,LAL,GSW
19961119MINHOU,MIN,HOU
19961119DALMIL,DAL,MIL
19961119NYKORL,NYK,ORL
19961119SACPOR,SAC,POR
19961119SEATOR,SEA,TOR
19961120DETBOS,DET,BOS
19961120NYKCHH,NYK,CHH
19961120UTALAL,UTA,LAL
19961120INDPHI,IND,PHI
19961120CHIPHO,CHI,PHO
19961120LACSAS,LAC,SAS
19961120MIAVAN,MIA,VAN
19961120SEAWSB,SEA,WSB
19961121LACDAL,LAC,DAL
19961121CHIDEN,CHI,DEN
19961121NJNDET,NJN,DET
19961121PHOHOU,PHO,HOU
19961121CHHIND,CHH,IND
19961121ATLMIL,ATL,MIL
19961121MINORL,MIN,ORL
