gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19851025WSBATL,19851025,WSB,ATL,WSB,26,27,20,27,,,,100
19851025WSBATL,19851025,WSB,ATL,ATL,27,26,19,19,,,,91
19851025CLECHI,19851025,CLE,CHI,CLE,30,22,25,28,10,,,115
19851025CLECHI,19851025,CLE,CHI,CHI,28,26,25,26,11,,,116
19851025MILDET,19851025,MIL,DET,MIL,34,27,22,33,,,,116
19851025MILDET,19851025,MIL,DET,DET,32,22,36,28,,,,118
19851025DENGSW,19851025,DEN,GSW,DEN,26,26,26,41,,,,119
19851025DENGSW,19851025,DEN,GSW,GSW,28,25,27,25,,,,105
19851025BOSNJN,19851025,BOS,NJN,BOS,28,26,33,12,10,,,109
19851025BOSNJN,19851025,BOS,NJN,NJN,28,22,25,24,14,,,113
19851025PHOPOR,19851025,PHO,POR,PHO,28,32,19,38,6,,,123
19851025PHOPOR,19851025,PHO,POR,POR,30,28,29,30,11,,,128
19851025LACSAC,19851025,LAC,SAC,LAC,21,21,37,29,,,,108
19851025LACSAC,19851025,LAC,SAC,SAC,25,32,30,17,,,,104
19851025HOUUTA,19851025,HOU,UTA,HOU,32,29,28,23,,,,112
19851025HOUUTA,19851025,HOU,UTA,UTA,22,35,29,22,,,,108
19851026DETCHI,19851026,DET,CHI,DET,28,31,29,30,,,,118
19851026DETCHI,19851026,DET,CHI,CHI,30,30,26,35,,,,121
19851026BOSCLE,19851026,BOS,CLE,BOS,25,29,30,21,,,,105
19851026BOSCLE,19851026,BOS,CLE,CLE,29,26,22,23,,,,100
19851026SEADAL,19851026,SEA,DAL,SEA,26,26,21,22,,,,95
19851026SEADAL,19851026,SEA,DAL,DAL,32,21,28,20,,,,101
19851026SACDEN,19851026,SAC,DEN,SAC,26,27,30,29,,,,112
19851026SACDEN,19851026,SAC,DEN,DEN,39,30,25,29,,,,123
19851026NJNIND,19851026,NJN,IND,NJN,28,22,17,25,,,,92
19851026NJNIND,19851026,NJN,IND,IND,32,18,33,36,,,,119
19851026HOULAC,19851026,HOU,LAC,HOU,28,31,28,20,10,12,,129
19851026HOULAC,19851026,HOU,LAC,LAC,27,30,26,24,10,13,,130
19851026ATLMIL,19851026,ATL,MIL,ATL,24,13,19,35,,,,91
19851026ATLMIL,19851026,ATL,MIL,MIL,33,23,20,41,,,,117
19851026PHINYK,19851026,PHI,NYK,PHI,28,20,26,25,,,,99
19851026PHINYK,19851026,PHI,NYK,NYK,23,21,23,22,,,,89
19851026LALSAS,19851026,LAL,SAS,LAL,22,32,20,29,8,10,,121
