gameid,gameid_num,away,home,tm,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
19951103INDATL,,IND,ATL,IND,reggie_miller,,35:00,7,12,4,7,14,15,,1,2,3,3,3,0,5,1,,32
19951103INDATL,,IND,ATL,IND,dale_davis,,30:00,1,3,0,0,2,2,,2,5,7,0,5,1,2,0,,4
19951103INDATL,,IND,ATL,IND,mark_jackson,,28:00,5,9,1,1,3,4,,1,4,5,8,0,0,4,0,,14
19951103INDATL,,IND,ATL,IND,dwayne_schintzius,,23:00,1,6,0,0,2,2,,1,2,3,0,3,1,0,0,,4
19951103INDATL,,IND,ATL,IND,duane_ferrell,,15:00,0,1,0,0,0,0,,0,1,1,1,4,0,2,0,,0
19951103INDATL,,IND,ATL,IND,antonio_davis,,30:00,7,10,0,0,4,4,,3,4,7,0,6,1,2,2,,18
19951103INDATL,,IND,ATL,IND,ricky_pierce,,27:00,9,12,0,0,8,8,,0,2,2,0,6,0,3,2,,26
19951103INDATL,,IND,ATL,IND,haywoode_workman,,21:00,0,0,0,0,5,8,,0,1,1,8,4,1,2,0,,5
19951103INDATL,,IND,ATL,IND,eddie_johnson,,20:00,2,6,0,1,2,2,,0,5,5,0,3,1,1,0,,6
19951103INDATL,,IND,ATL,IND,adrian_caldwell,,9:00,0,1,0,0,0,0,,0,1,1,0,1,0,0,0,,0
19951103INDATL,,IND,ATL,IND,travis_best,,2:00,0,0,0,0,2,2,,0,0,0,1,0,0,0,0,,2
19951103INDATL,,IND,ATL,IND,total,,240,32,60,5,9,42,47,,8,27,35,21,35,5,21,5,,111
19951103INDATL,,IND,ATL,ATL,andrew_lang,,39:00,6,12,0,0,3,6,,4,2,6,1,3,0,1,2,,15
19951103INDATL,,IND,ATL,ATL,grant_long,,38:00,4,9,0,0,2,4,,5,3,8,7,5,1,2,2,,10
19951103INDATL,,IND,ATL,ATL,mookie_blaylock,,37:00,3,13,2,5,2,3,,1,1,2,7,5,6,2,0,,10
19951103INDATL,,IND,ATL,ATL,steve_smith,,29:00,3,7,0,1,14,15,,2,1,3,2,4,2,0,0,,20
19951103INDATL,,IND,ATL,ATL,ken_norman,,25:00,5,9,2,3,2,4,,0,3,3,1,2,0,2,0,,14
19951103INDATL,,IND,ATL,ATL,craig_ehlo,,26:00,6,9,1,3,1,2,,1,2,3,1,4,2,4,0,,14
19951103INDATL,,IND,ATL,ATL,stacey_augmon,,17:00,5,8,0,0,3,5,,0,0,0,1,5,1,0,0,,13
19951103INDATL,,IND,ATL,ATL,alan_henderson,,17:00,1,3,0,0,3,8,,1,1,2,0,3,0,1,0,,5
19951103INDATL,,IND,ATL,ATL,spud_webb,,12:00,2,3,1,2,0,0,,0,0,0,1,1,0,0,0,,5
19951103INDATL,,IND,ATL,ATL,total,,240,35,73,6,14,30,47,,14,13,27,21,32,12,12,4,,106
19951103MILBOS,,MIL,BOS,MIL,vin_baker,,42:00,12,24,0,0,6,13,,4,9,13,4,4,0,1,2,,30
19951103MILBOS,,MIL,BOS,MIL,glenn_robinson,,38:00,9,24,0,1,6,8,,3,4,7,1,3,4,3,0,,24
19951103MILBOS,,MIL,BOS,MIL,lee_mayberry,,31:00,3,6,1,2,2,2,,0,1,1,3,1,2,2,0,,9
19951103MILBOS,,MIL,BOS,MIL,johnny_newman,,27:00,2,5,0,1,0,0,,1,0,1,4,2,1,1,0,,4
19951103MILBOS,,MIL,BOS,MIL,eric_mobley,,19:00,0,0,0,0,0,0,,0,4,4,0,2,0,0,0,,0
19951103MILBOS,,MIL,BOS,MIL,todd_day,,30:00,7,15,1,3,7,7,,5,3,8,2,6,0,5,1,,22
19951103MILBOS,,MIL,BOS,MIL,marty_conlon,,21:00,4,8,0,1,0,0,,1,9,10,2,2,1,0,1,,8
19951103MILBOS,,MIL,BOS,MIL,eric_murdock,,17:00,1,2,0,0,0,0,,0,1,1,3,1,1,0,0,,2
19951103MILBOS,,MIL,BOS,MIL,alton_lister,,14:00,1,2,0,0,0,0,,3,3,6,0,4,0,1,1,,2
19951103MILBOS,,MIL,BOS,MIL,randolph_keys,,1:00,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0
19951103MILBOS,,MIL,BOS,MIL,total,,240,39,86,2,8,21,30,,17,34,51,19,26,9,13,5,,101
19951103MILBOS,,MIL,BOS,BOS,eric_montross,,44:00,6,9,0,0,2,3,,2,7,9,0,3,0,3,2,,14
