gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
20021029SASLAL,20021029,SAS,LAL,SAS,24,17,24,22,,,,87
20021029SASLAL,20021029,SAS,LAL,LAL,18,23,21,20,,,,82
20021029PHIORL,20021029,PHI,ORL,PHI,30,21,22,15,,,,88
20021029PHIORL,20021029,PHI,ORL,ORL,29,22,23,21,,,,95
20021029CLESAC,20021029,CLE,SAC,CLE,14,18,10,25,,,,67
20021029CLESAC,20021029,CLE,SAC,SAC,19,25,22,28,,,,94
20021030CHIBOS,20021030,CHI,BOS,CHI,26,19,35,19,,,,99
20021030CHIBOS,20021030,CHI,BOS,BOS,32,19,33,12,,,,96
20021030NYKDET,20021030,NYK,DET,NYK,27,18,20,12,,,,77
20021030NYKDET,20021030,NYK,DET,DET,19,21,20,26,,,,86
20021030SASGSW,20021030,SAS,GSW,SAS,21,26,23,28,,,,98
20021030SASGSW,20021030,SAS,GSW,GSW,19,30,24,33,,,,106
20021030HOUIND,20021030,HOU,IND,HOU,22,21,19,20,,,,82
20021030HOUIND,20021030,HOU,IND,IND,24,20,27,20,,,,91
20021030CLELAC,20021030,CLE,LAC,CLE,17,28,25,28,,,,98
20021030CLELAC,20021030,CLE,LAC,LAC,22,26,22,26,,,,96
20021030DALMEM,20021030,DAL,MEM,DAL,31,33,36,19,,,,119
20021030DALMEM,20021030,DAL,MEM,MEM,23,31,26,28,,,,108
20021030ORLMIA,20021030,ORL,MIA,ORL,24,30,26,20,,,,100
20021030ORLMIA,20021030,ORL,MIA,MIA,30,15,24,17,,,,86
20021030DENMIN,20021030,DEN,MIN,DEN,16,23,24,14,,,,77
20021030DENMIN,20021030,DEN,MIN,MIN,24,30,16,13,,,,83
20021030ATLNJN,20021030,ATL,NJN,ATL,22,18,25,29,,,,94
20021030ATLNJN,20021030,ATL,NJN,NJN,31,20,26,28,,,,105
20021030UTANOH,20021030,UTA,NOH,UTA,22,16,26,11,,,,75
20021030UTANOH,20021030,UTA,NOH,NOH,20,29,19,32,,,,100
20021030MILPHI,20021030,MIL,PHI,MIL,25,22,21,25,,,,93
20021030MILPHI,20021030,MIL,PHI,PHI,31,22,22,20,,,,95
20021030LALPOR,20021030,LAL,POR,LAL,23,17,21,29,,,,90
20021030LALPOR,20021030,LAL,POR,POR,21,39,24,18,,,,102
20021030PHOSEA,20021030,PHO,SEA,PHO,24,18,18,13,,,,73
20021030PHOSEA,20021030,PHO,SEA,SEA,15,24,21,26,,,,86
20021030WASTOR,20021030,WAS,TOR,WAS,14,22,9,23,,,,68
