20141113SACMEM,-240
20141113CHITOR,120
20141113CHITOR,-140
20141113PHIDAL,1000
20141113PHIDAL,-1700
20141113BKNGSW,475
20141113BKNGSW,-650
20141114DENIND,125
20141114DENIND,-145
20141114MILORL,125
20141114MILORL,-145
20141114MIAATL,170
20141114MIAATL,-200
20141114CLEBOS,-240
20141114CLEBOS,200
20141114UTANYK,150
20141114UTANYK,-170
20141114PHIHOU,1700
20141114PHIHOU,-7000
20141114MINNOP,300
20141114MINNOP,-360
20141114DETOKC,135
20141114DETOKC,-155
20141114CHAPHX,220
20141114CHAPHX,-260
20141114SASLAL,-400
20141114SASLAL,330
20141115ORLWAS,375
20141115ORLWAS,-450
20141115ATLCLE,250
20141115ATLCLE,-300
20141115UTATOR,550
20141115UTATOR,-800
20141115INDCHI,350
20141115INDCHI,-450
20141115DETMEM,400
20141115DETMEM,-500
20141115MINDAL,600
20141115MINDAL,-900
20141115BKNPOR,120
20141115BKNPOR,-140
20141115SASSAC,-125
20141115SASSAC,105
20141115CHAGSW,500
20141115CHAGSW,-700
20141115PHXLAC,250
20141115PHXLAC,-300
20141116DENNYK,110
20141116DENNYK,-130
20141116MILMIA,180
20141116MILMIA,-210
20141116HOUOKC,-220
20141116HOUOKC,180
20141116GSWLAL,-420
20141116GSWLAL,340
20141117DALCHA,-180
20141117DALCHA,160
20141117DENCLE,700
20141117DENCLE,-1100
20141117PHXBOS,110
20141117PHXBOS,-130
20141117MIABKN,300
20141117MIABKN,-360
20141117ORLDET,170
20141117ORLDET,-200
20141117HOUMEM,160
20141117HOUMEM,-180
20141117PHISAS,1500
20141117PHISAS,-5950
20141117NOPPOR,145
20141117NOPPOR,-165
20141117CHILAC,250
20141117CHILAC,-300
20141118LALATL,350
20141118LALATL,-450
20141118NYKMIL,105
20141118NYKMIL,-125
20141118OKCUTA,130
20141118OKCUTA,-150
20141118NOPSAC,130
20141118NOPSAC,-150
20141119SASCLE,105
20141119SASCLE,-125
20141119CHAIND,115
20141119CHAIND,-135
20141119LACORL,-220
20141119LACORL,180
20141119BOSPHI,-260
20141119BOSPHI,220
20141119DALWAS,-150
20141119DALWAS,130
20141119MILBKN,220
20141119MILBKN,-260
20141119PHXDET,125
20141119PHXDET,-145
20141119MEMTOR,210
20141119MEMTOR,-250
20141119NYKMIN,-105
20141119NYKMIN,-115
20141119OKCDEN,280
20141119OKCDEN,-340
20141119LALHOU,550
20141119LALHOU,-800
20141120LACMIA,-180
20141120LACMIA,160
20141120CHISAC,130
20141120CHISAC,-150
20141121ORLCHA,150
20141121ORLCHA,-170
20141121PHXPHI,400
20141121PHXPHI,-500
20141121DETATL,220
20141121DETATL,-260
20141121MILTOR,350
20141121MILTOR,-450
20141121BOSMEM,230
20141121BOSMEM,-270
20141121SASMIN,-700
20141121SASMIN,500
20141121BKNOKC,105
20141121BKNOKC,-125
20141121CLEWAS,-125
20141121CLEWAS,105
20141121LALDAL,500
20141121LALDAL,-700
20141121NOPDEN,120
20141121NOPDEN,-140
20141121UTAGSW,700
20141121UTAGSW,-1000
20141121CHIPOR,320
20141121CHIPOR,-400
20141122PHXIND,110
20141122PHXIND,-130
20141122MIAORL,-125
20141122MIAORL,105
20141122TORCLE,135
20141122TORCLE,-155
20141122PHINYK,600
20141122PHINYK,-900
20141122DALHOU,-180
20141122DALHOU,160
20141122SACMIN,-450
20141122SACMIN,325
20141122WASMIL,-155
20141122WASMIL,135
20141122BKNSAS,500
20141122BKNSAS,-700
20141122NOPUTA,120
20141122NOPUTA,-140
20141123LACMEM,120
20141123LACMEM,-140
20141123PORBOS,-220
20141123PORBOS,180
20141123CHAMIA,-110
20141123CHAMIA,-110
20141123GSWOKC,-400
20141123GSWOKC,330
20141123DENLAL,-130
20141123DENLAL,110
20141124LACCHA,-185
20141124LACCHA,165
20141124ORLCLE,500
20141124ORLCLE,-700
20141124PORPHI,-1200
20141124PORPHI,800
