gameid,away,home
19990205CLEATL,CLE,ATL
19990205TORBOS,TOR,BOS
19990205PHICHH,PHI,CHH
19990205MINDEN,MIN,DEN
19990205WASIND,WAS,IND
19990205PHOLAC,PHO,LAC
19990205HOULAL,HOU,LAL
19990205DETMIA,DET,MIA
19990205NYKORL,NYK,ORL
19990205SACSAS,SAC,SAS
19990205DALSEA,DAL,SEA
19990205CHIUTA,CHI,UTA
19990206NJNATL,NJN,ATL
19990206CLEBOS,CLE,BOS
19990206MILCHH,MIL,CHH
19990206HOUGSW,HOU,GSW
19990206ORLPHI,ORL,PHI
19990206MINSAS,MIN,SAS
19990206TORWAS,TOR,WAS
19990207INDDET,IND,DET
19990207DALGSW,DAL,GSW
19990207CHILAC,CHI,LAC
19990207UTALAL,UTA,LAL
19990207ATLNJN,ATL,NJN
19990207MIANYK,MIA,NYK
19990207DENPHO,DEN,PHO
19990207VANSAC,VAN,SAC
19990207PORSEA,POR,SEA
19990208MIACHH,MIA,CHH
19990208INDCLE,IND,CLE
19990208WASDET,WAS,DET
19990208DENHOU,DEN,HOU
19990208BOSORL,BOS,ORL
19990208LALSAS,LAL,SAS
19990208PORVAN,POR,VAN
19990209ATLCHI,ATL,CHI
19990209UTADAL,UTA,DAL
19990209BOSMIA,BOS,MIA
19990209SASMIN,SAS,MIN
19990209DETPHI,DET,PHI
19990209SACPHO,SAC,PHO
19990209GSWSEA,GSW,SEA
19990209MILTOR,MIL,TOR
19990210CLECHH,CLE,CHH
19990210LALDEN,LAL,DEN
19990210SEAGSW,SEA,GSW
19990210SACHOU,SAC,HOU
19990210ORLNJN,ORL,NJN
19990210WASNYK,WAS,NYK
19990210INDPOR,IND,POR
19990210LACVAN,LAC,VAN
19990211CHHATL,CHH,ATL
19990211NYKCHI,NYK,CHI
19990211SASCLE,SAS,CLE
19990211HOUDAL,HOU,DAL
19990211ORLDET,ORL,DET
19990211TORMIA,TOR,MIA
19990211NJNMIL,NJN,MIL
19990211LALMIN,LAL,MIN
19990211UTAPHO,UTA,PHO
19990211INDVAN,IND,VAN
19990212DALDEN,DAL,DEN
19990212UTAGSW,UTA,GSW
19990212SASPHI,SAS,PHI
19990213LACPHO,LAC,PHO
19990213DENSEA,DEN,SEA
19990214SASCHI,SAS,CHI
19990214PORGSW,POR,GSW
19990214MINLAC,MIN,LAC
19990214INDLAL,IND,LAL
19990214MILORL,MIL,ORL
19990214ATLPHI,ATL,PHI
19990214DALVAN,DAL,VAN
19990215PHODEN,PHO,DEN
19990215MINGSW,MIN,GSW
19990215NJNMIA,NJN,MIA
19990215DETNYK,DET,NYK
19990215DALPOR,DAL,POR
19990215SACUTA,SAC,UTA
19990216ATLCHI,ATL,CHI
19990216ORLCLE,ORL,CLE
19990216PHOHOU,PHO,HOU
19990216MIAIND,MIA,IND
19990216VANLAC,VAN,LAC
19990216CHHLAL,CHH,LAL
19990216DETNJN,DET,NJN
19990216TORNYK,TOR,NYK
19990216MILPHI,MIL,PHI
19990216BOSSAC,BOS,SAC
19990216UTASEA,UTA,SEA
19990217MIADET,MIA,DET
19990217CHHGSW,CHH,GSW
19990217DALLAL,DAL,LAL
19990217CHIMIL,CHI,MIL
19990217HOUMIN,HOU,MIN
19990217WASORL,WAS,ORL
19990217DENPOR,DEN,POR
19990217PHOSAS,PHO,SAS
19990217SACSEA,SAC,SEA
19990217BOSVAN,BOS,VAN
19990218NYKCLE,NYK,CLE
19990218PHIIND,PHI,IND
19990218HOUNJN,HOU,NJN
19990218WASTOR,WAS,TOR
19990218DENUTA,DEN,UTA
19990219ORLATL,ORL,ATL
19990219DALGSW,DAL,GSW
19990219SASLAL,SAS,LAL
