gameid,away,home
19821029BOSCLE,BOS,CLE
19821029DALDEN,DAL,DEN
19821029ATLDET,ATL,DET
19821029WSBIND,WSB,IND
19821029PORKCK,POR,KCK
19821029GSWLAL,GSW,LAL
19821029CHINJN,CHI,NJN
19821029PHINYK,PHI,NYK
19821029PHOSDC,PHO,SDC
19821029HOUSEA,HOU,SEA
19821029SASUTA,SAS,UTA
19821030BOSATL,BOS,ATL
19821030WSBCHI,WSB,CHI
19821030UTADAL,UTA,DAL
19821030HOUGSW,HOU,GSW
19821030NYKMIL,NYK,MIL
19821030NJNPHI,NJN,PHI
19821030PORSAS,POR,SAS
19821031MILCLE,MIL,CLE
19821031PHODEN,PHO,DEN
19821031DETIND,DET,IND
19821031SEASDC,SEA,SDC
19821102WSBATL,WSB,ATL
19821102DETCLE,DET,CLE
19821102DALHOU,DAL,HOU
19821102MILKCK,MIL,KCK
19821102SDCNJN,SDC,NJN
19821102PORPHO,POR,PHO
19821102SEAUTA,SEA,UTA
19821103INDBOS,IND,BOS
19821103HOUDAL,HOU,DAL
19821103LALDEN,LAL,DEN
19821103CHIDET,CHI,DET
19821103NYKGSW,NYK,GSW
19821103SDCPHI,SDC,PHI
19821103SASSEA,SAS,SEA
19821103NJNWSB,NJN,WSB
19821104MILATL,MIL,ATL
19821104CLECHI,CLE,CHI
19821104DENLAL,DEN,LAL
19821104UTAPHO,UTA,PHO
19821104SASPOR,SAS,POR
19821105WSBBOS,WSB,BOS
19821105NJNCLE,NJN,CLE
19821105PHIDET,PHI,DET
19821105SASGSW,SAS,GSW
19821105DALKCK,DAL,KCK
19821105SDCMIL,SDC,MIL
19821105NYKSEA,NYK,SEA
19821106DETATL,DET,ATL
19821106SDCCHI,SDC,CHI
19821106PHODAL,PHO,DAL
19821106GSWDEN,GSW,DEN
19821106BOSPHI,BOS,PHI
19821106NYKPOR,NYK,POR
19821106LALUTA,LAL,UTA
19821106INDWSB,IND,WSB
19821107PORLAL,POR,LAL
19821107SEAMIL,SEA,MIL
19821107BOSNJN,BOS,NJN
19821107PHOSAS,PHO,SAS
19821109SEACHI,SEA,CHI
19821109ATLDEN,ATL,DEN
19821109PHOHOU,PHO,HOU
19821109SDCIND,SDC,IND
19821109KCKLAL,KCK,LAL
19821109NJNNYK,NJN,NYK
19821109GSWPOR,GSW,POR
19821109UTASAS,UTA,SAS
19821109DETWSB,DET,WSB
19821110MILBOS,MIL,BOS
19821110SEADAL,SEA,DAL
19821110INDDET,IND,DET
19821110CLEGSW,CLE,GSW
19821110NYKNJN,NYK,NJN
19821110CHIPHI,CHI,PHI
