20131123CLESAS,800,-1400
20131123DALDEN,180,-220
20131123PORGSW,170,-200
20131124DETBKN,110,-130
20131124CHILAC,240,-280
20131124PHXORL,105,-125
20131124UTAOKC,850,-1200
20131124SACLAL,160,-180
20131125BOSCHA,145,-165
20131125MININD,240,-280
20131125MILDET,260,-320
20131125PHXMIA,800,-1200
20131125HOUMEM,-120,100
20131125DENDAL,240,-280
20131125NOPSAS,450,-600
20131125CHIUTA,-200,170
20131125NYKPOR,270,-330
20131126BKNTOR,240,-280
20131126LALWAS,180,-220
20131126ORLATL,270,-330
20131126GSWNOP,-110,-110
20131127INDCHA,-360,300
20131127PHIORL,150,-170
20131127MEMBOS,-130,110
20131127LALBKN,120,-140
20131127MIACLE,-500,400
20131127CHIDET,140,-160
20131127ATLHOU,310,-380
20131127WASMIL,-145,125
20131127DENMIN,250,-300
20131127SASOKC,125,-145
20131127GSWDAL,170,-200
20131127PORPHX,-180,160
20131127NYKLAC,450,-600
20131129MILCHA,170,-200
20131129SASORL,-500,400
20131129MIATOR,-260,220
20131129DALATL,-125,105
20131129CLEBOS,160,-180
20131129LALDET,200,-240
20131129BKNHOU,500,-700
20131129GSWOKC,280,-340
20131129WASIND,500,-700
20131129NOPPHI,155,-175
20131129NYKDEN,320,-400
20131129PHXUTA,110,-130
20131129LACSAC,-140,120
20131130ATLWAS,160,-180
20131130CHICLE,-200,170
20131130BKNMEM,260,-320
20131130MINDAL,-130,110
20131130HOUSAS,230,-270
20131130UTAPHX,350,-450
20131130BOSMIL,-140,120
20131201DENTOR,120,-140
20131201INDLAC,-120,100
20131201PHIDET,320,-400
20131201GSWSAC,-200,170
20131201CHAMIA,650,-1000
20131201MINOKC,350,-420
20131201NOPNYK,105,-125
20131201PORLAL,-165,145
20131202ORLWAS,240,-280
20131202NOPCHI,250,-300
20131202ATLSAS,750,-1200
20131202HOUUTA,-360,300
20131202INDPOR,-120,100
20131203ORLPHI,155,-175
20131203MILBOS,270,-330
20131203DENBKN,-180,160
20131203DETMIA,400,-500
20131203PHXMEM,125,-145
20131203CHADAL,310,-370
20131203OKCSAC,350,-450
20131203TORGSW,290,-350
20131204DENCLE,-165,145
20131204LACATL,-145,125
20131204PHXHOU,450,-600
20131204DETMIL,-200,170
20131204DALNOP,120,-140
20131204INDUTA,-400,330
20131204OKCPOR,120,-140
20131205NYKBKN,-125,105
20131205LACMEM,-110,-110
20131205MIACHI,-200,170
20131206PHICHA,240,-280
20131206MILWAS,425,-550
20131206CLEATL,210,-250
20131206DENBOS,-180,160
20131206ORLNYK,220,-260
20131206GSWHOU,170,-200
20131206OKCNOP,190,-230
20131206TORPHX,155,-175
20131206UTAPOR,550,-750
20131206LALSAC,155,-175
