gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19821029BOSCLE,19821029,BOS,CLE,BOS,30,24,31,19,,,,104
19821029BOSCLE,19821029,BOS,CLE,CLE,21,22,25,25,,,,93
19821029DALDEN,19821029,DAL,DEN,DAL,31,34,35,25,,,,125
19821029DALDEN,19821029,DAL,DEN,DEN,38,29,27,23,,,,117
19821029ATLDET,19821029,ATL,DET,ATL,25,12,22,27,,,,86
19821029ATLDET,19821029,ATL,DET,DET,18,18,23,35,,,,94
19821029WSBIND,19821029,WSB,IND,WSB,16,24,19,31,,,,90
19821029WSBIND,19821029,WSB,IND,IND,28,12,35,18,,,,93
19821029PORKCK,19821029,POR,KCK,POR,21,34,32,24,,,,111
19821029PORKCK,19821029,POR,KCK,KCK,35,28,27,23,,,,113
19821029GSWLAL,19821029,GSW,LAL,GSW,29,38,37,28,,,,132
19821029GSWLAL,19821029,GSW,LAL,LAL,33,24,21,39,,,,117
19821029CHINJN,19821029,CHI,NJN,CHI,21,23,27,31,,,,102
19821029CHINJN,19821029,CHI,NJN,NJN,28,30,28,28,,,,114
19821029PHINYK,19821029,PHI,NYK,PHI,30,29,21,24,,,,104
19821029PHINYK,19821029,PHI,NYK,NYK,26,21,28,14,,,,89
19821029PHOSDC,19821029,PHO,SDC,PHO,32,26,19,36,,,,113
19821029PHOSDC,19821029,PHO,SDC,SDC,17,28,32,22,,,,99
19821029HOUSEA,19821029,HOU,SEA,HOU,19,27,20,29,,,,95
19821029HOUSEA,19821029,HOU,SEA,SEA,30,34,39,25,,,,128
19821029SASUTA,19821029,SAS,UTA,SAS,35,29,30,26,,,,120
19821029SASUTA,19821029,SAS,UTA,UTA,37,27,27,23,,,,114
19821030BOSATL,19821030,BOS,ATL,BOS,26,24,31,31,,,,112
19821030BOSATL,19821030,BOS,ATL,ATL,25,29,24,19,,,,97
19821030WSBCHI,19821030,WSB,CHI,WSB,30,37,38,38,,,,143
19821030WSBCHI,19821030,WSB,CHI,CHI,27,26,34,38,,,,125
19821030UTADAL,19821030,UTA,DAL,UTA,29,24,34,41,,,,128
19821030UTADAL,19821030,UTA,DAL,DAL,32,26,37,28,,,,123
19821030HOUGSW,19821030,HOU,GSW,HOU,27,31,18,34,,,,110
19821030HOUGSW,19821030,HOU,GSW,GSW,28,35,29,25,,,,117
19821030NYKMIL,19821030,NYK,MIL,NYK,24,20,18,24,,,,86
19821030NYKMIL,19821030,NYK,MIL,MIL,29,28,23,28,,,,108
19821030NJNPHI,19821030,NJN,PHI,NJN,21,32,30,16,,,,99
19821030NJNPHI,19821030,NJN,PHI,PHI,32,25,25,28,,,,110
19821030PORSAS,19821030,POR,SAS,POR,33,20,33,21,,,,107
19821030PORSAS,19821030,POR,SAS,SAS,22,30,30,30,,,,112
19821031MILCLE,19821031,MIL,CLE,MIL,33,35,28,23,,,,119
19821031MILCLE,19821031,MIL,CLE,CLE,19,29,21,26,,,,95
19821031PHODEN,19821031,PHO,DEN,PHO,37,23,25,25,,,,110
19821031PHODEN,19821031,PHO,DEN,DEN,30,31,24,29,,,,114
19821031DETIND,19821031,DET,IND,DET,28,38,18,34,,,,118
19821031DETIND,19821031,DET,IND,IND,32,28,29,26,,,,115
19821031SEASDC,19821031,SEA,SDC,SEA,40,30,28,29,,,,127
19821031SEASDC,19821031,SEA,SDC,SDC,28,25,28,28,,,,109
19821102WSBATL,19821102,WSB,ATL,WSB,15,26,27,20,,,,88
19821102WSBATL,19821102,WSB,ATL,ATL,28,21,27,29,,,,105
19821102DETCLE,19821102,DET,CLE,DET,40,32,35,21,,,,128
19821102DETCLE,19821102,DET,CLE,CLE,36,27,30,26,,,,119
19821102DALHOU,19821102,DAL,HOU,DAL,27,25,34,27,,,,113
19821102DALHOU,19821102,DAL,HOU,HOU,26,26,30,21,,,,103
19821102MILKCK,19821102,MIL,KCK,MIL,33,19,30,30,,,,112
19821102MILKCK,19821102,MIL,KCK,KCK,32,27,33,27,,,,119
19821102SDCNJN,19821102,SDC,NJN,SDC,24,29,23,24,,,,100
19821102SDCNJN,19821102,SDC,NJN,NJN,24,28,29,29,,,,110
19821102PORPHO,19821102,POR,PHO,POR,12,22,30,23,,,,87
19821102PORPHO,19821102,POR,PHO,PHO,23,29,17,23,,,,92
19821102SEAUTA,19821102,SEA,UTA,SEA,40,22,36,22,,,,120
19821102SEAUTA,19821102,SEA,UTA,UTA,20,27,20,25,,,,92
19821103INDBOS,19821103,IND,BOS,IND,23,21,23,37,,,,104
19821103INDBOS,19821103,IND,BOS,BOS,29,23,29,30,,,,111
19821103HOUDAL,19821103,HOU,DAL,HOU,29,27,19,26,,,,101
19821103HOUDAL,19821103,HOU,DAL,DAL,23,30,25,24,,,,102
19821103LALDEN,19821103,LAL,DEN,LAL,27,41,24,32,11,,,135
19821103LALDEN,19821103,LAL,DEN,DEN,30,35,33,26,10,,,134
19821103CHIDET,19821103,CHI,DET,CHI,31,39,31,43,,,,144
19821103CHIDET,19821103,CHI,DET,DET,43,37,35,37,,,,152
19821103NYKGSW,19821103,NYK,GSW,NYK,28,18,33,18,,,,97
19821103NYKGSW,19821103,NYK,GSW,GSW,24,25,21,29,,,,99
19821103SDCPHI,19821103,SDC,PHI,SDC,20,29,30,32,,,,111
19821103SDCPHI,19821103,SDC,PHI,PHI,20,33,36,41,,,,130
19821103SASSEA,19821103,SAS,SEA,SAS,19,28,38,22,,,,107
19821103SASSEA,19821103,SAS,SEA,SEA,29,31,20,29,,,,109
19821103NJNWSB,19821103,NJN,WSB,NJN,26,17,16,26,,,,85
19821103NJNWSB,19821103,NJN,WSB,WSB,22,28,26,28,,,,104
19821104MILATL,19821104,MIL,ATL,MIL,28,30,17,29,,,,104
