gameid_num,gameid,away,home
0021400144,20141116HOUOKC,HOU,OKC
0021400145,20141116GSWLAL,GSW,LAL
0021400146,20141117DALCHA,DAL,CHA
0021400147,20141117DENCLE,DEN,CLE
0021400148,20141117PHXBOS,PHX,BOS
0021400149,20141117MIABKN,MIA,BKN
0021400150,20141117ORLDET,ORL,DET
0021400151,20141117HOUMEM,HOU,MEM
0021400152,20141117PHISAS,PHI,SAS
0021400153,20141117NOPPOR,NOP,POR
0021400154,20141117CHILAC,CHI,LAC
0021400155,20141118LALATL,LAL,ATL
0021400156,20141118NYKMIL,NYK,MIL
0021400157,20141118OKCUTA,OKC,UTA
0021400158,20141118NOPSAC,NOP,SAC
0021400159,20141119SASCLE,SAS,CLE
0021400160,20141119CHAIND,CHA,IND
0021400161,20141119LACORL,LAC,ORL
0021400162,20141119BOSPHI,BOS,PHI
0021400163,20141119DALWAS,DAL,WAS
0021400164,20141119MILBKN,MIL,BKN
0021400165,20141119PHXDET,PHX,DET
0021400166,20141119MEMTOR,MEM,TOR
0021400167,20141119NYKMIN,NYK,MIN
0021400168,20141119OKCDEN,OKC,DEN
0021400169,20141119LALHOU,LAL,HOU
0021400170,20141120LACMIA,LAC,MIA
0021400171,20141120CHISAC,CHI,SAC
0021400172,20141121ORLCHA,ORL,CHA
0021400173,20141121PHXPHI,PHX,PHI
0021400174,20141121DETATL,DET,ATL
0021400175,20141121MILTOR,MIL,TOR
0021400176,20141121BOSMEM,BOS,MEM
0021400177,20141121SASMIN,SAS,MIN
0021400178,20141121BKNOKC,BKN,OKC
0021400179,20141121CLEWAS,CLE,WAS
0021400180,20141121LALDAL,LAL,DAL
0021400181,20141121NOPDEN,NOP,DEN
0021400182,20141121UTAGSW,UTA,GSW
0021400183,20141121CHIPOR,CHI,POR
0021400184,20141122PHXIND,PHX,IND
0021400185,20141122MIAORL,MIA,ORL
0021400186,20141122TORCLE,TOR,CLE
0021400187,20141122PHINYK,PHI,NYK
0021400188,20141122DALHOU,DAL,HOU
0021400189,20141122SACMIN,SAC,MIN
0021400190,20141122WASMIL,WAS,MIL
0021400191,20141122BKNSAS,BKN,SAS
0021400192,20141122NOPUTA,NOP,UTA
0021400193,20141123LACMEM,LAC,MEM
0021400194,20141123PORBOS,POR,BOS
0021400195,20141123CHAMIA,CHA,MIA
0021400196,20141123GSWOKC,GSW,OKC
0021400197,20141123DENLAL,DEN,LAL
0021400198,20141124LACCHA,LAC,CHA
0021400199,20141124ORLCLE,ORL,CLE
0021400200,20141124PORPHI,POR,PHI
0021400201,20141124PHXTOR,PHX,TOR
0021400202,20141124NYKHOU,NYK,HOU
0021400203,20141124INDDAL,IND,DAL
0021400204,20141124CHIUTA,CHI,UTA
0021400205,20141125ATLWAS,ATL,WAS
0021400206,20141125GSWMIA,GSW,MIA
0021400207,20141125DETMIL,DET,MIL
0021400208,20141125SACNOP,SAC,NOP
0021400209,20141125CHIDEN,CHI,DEN
0021400210,20141126PORCHA,POR,CHA
0021400211,20141126WASCLE,WAS,CLE
0021400212,20141126GSWORL,GSW,ORL
0021400213,20141126BKNPHI,BKN,PHI
0021400214,20141126NYKDAL,NYK,DAL
0021400215,20141126TORATL,TOR,ATL
0021400216,20141126LACDET,LAC,DET
0021400217,20141126SACHOU,SAC,HOU
0021400218,20141126MILMIN,MIL,MIN
0021400219,20141126UTAOKC,UTA,OKC
0021400220,20141126INDSAS,IND,SAS
0021400221,20141126DENPHX,DEN,PHX
0021400222,20141126MEMLAL,MEM,LAL
0021400223,20141128CHIBOS,CHI,BOS
0021400224,20141128GSWCHA,GSW,CHA
0021400225,20141128NOPATL,NOP,ATL
0021400226,20141128MILDET,MIL,DET
0021400227,20141128DALTOR,DAL,TOR
0021400228,20141128LACHOU,LAC,HOU
0021400229,20141128NYKOKC,NYK,OKC
0021400230,20141128ORLIND,ORL,IND
0021400231,20141128SACSAS,SAC,SAS
0021400232,20141128PHXDEN,PHX,DEN
0021400233,20141128MEMPOR,MEM,POR
0021400234,20141128MINLAL,MIN,LAL
0021400235,20141129DALPHI,DAL,PHI
0021400236,20141129NOPWAS,NOP,WAS
0021400237,20141129CHAATL,CHA,ATL
0021400238,20141129INDCLE,IND,CLE
0021400239,20141129LACUTA,LAC,UTA
0021400240,20141129HOUMIL,HOU,MIL
0021400241,20141130SASBOS,SAS,BOS
0021400242,20141130CHIBKN,CHI,BKN
0021400243,20141130GSWDET,GSW,DET
0021400244,20141130MEMSAC,MEM,SAC
0021400245,20141130MIANYK,MIA,NYK
0021400246,20141130ORLPHX,ORL,PHX
0021400247,20141130MINPOR,MIN,POR
0021400248,20141130TORLAL,TOR,LAL
0021400249,20141201SASPHI,SAS,PHI
0021400250,20141201MIAWAS,MIA,WAS
0021400251,20141201DENUTA,DEN,UTA
0021400252,20141201MINLAC,MIN,LAC
0021400253,20141202MILCLE,MIL,CLE
0021400254,20141202BOSATL,BOS,ATL
0021400255,20141202LALDET,LAL,DET
0021400256,20141202BKNNYK,BKN,NYK
0021400257,20141202DALCHI,DAL,CHI
0021400258,20141202OKCNOP,OKC,NOP
0021400259,20141202PORDEN,POR,DEN
0021400260,20141202INDPHX,IND,PHX
0021400261,20141202TORSAC,TOR,SAC
0021400262,20141202ORLGSW,ORL,GSW
0021400263,20141203CHICHA,CHI,CHA
0021400264,20141203LALWAS,LAL,WAS
0021400265,20141203DETBOS,DET,BOS
0021400266,20141203SASBKN,SAS,BKN
0021400267,20141203ATLMIA,ATL,MIA
0021400268,20141203MEMHOU,MEM,HOU
0021400269,20141203DALMIL,DAL,MIL
0021400270,20141203PHIMIN,PHI,MIN
0021400271,20141203TORUTA,TOR,UTA
0021400272,20141203ORLLAC,ORL,LAC
0021400273,20141204CLENYK,CLE,NYK
0021400274,20141204INDPOR,IND,POR
0021400275,20141204NOPGSW,NOP,GSW
0021400276,20141205NYKCHA,NYK,CHA
0021400277,20141205OKCPHI,OKC,PHI
0021400278,20141205DENWAS,DEN,WAS
0021400279,20141205LALBOS,LAL,BOS
0021400280,20141205ATLBKN,ATL,BKN
0021400281,20141205CLETOR,CLE,TOR
0021400282,20141205SASMEM,SAS,MEM
0021400283,20141205HOUMIN,HOU,MIN
0021400284,20141205PHXDAL,PHX,DAL
0021400285,20141205MIAMIL,MIA,MIL
0021400286,20141205ORLUTA,ORL,UTA
0021400287,20141205INDSAC,IND,SAC
0021400288,20141206PHIDET,PHI,DET
0021400289,20141206GSWCHI,GSW,CHI
0021400290,20141206PHXHOU,PHX,HOU
0021400291,20141206MINSAS,MIN,SAS
0021400292,20141206ORLSAC,ORL,SAC
0021400293,20141206NOPLAC,NOP,LAC
0021400294,20141207WASBOS,WAS,BOS
0021400295,20141207DENATL,DEN,ATL
0021400296,20141207MIAMEM,MIA,MEM
0021400297,20141207OKCDET,OKC,DET
0021400298,20141207MILDAL,MIL,DAL
0021400299,20141207PORNYK,POR,NYK
0021400300,20141207NOPLAL,NOP,LAL
0021400301,20141208ATLIND,ATL,IND
0021400302,20141208BOSWAS,BOS,WAS
0021400303,20141208CLEBKN,CLE,BKN
0021400304,20141208DENTOR,DEN,TOR
0021400305,20141208GSWMIN,GSW,MIN
0021400306,20141208UTASAC,UTA,SAC
0021400307,20141208PHXLAC,PHX,LAC
0021400308,20141209TORCLE,TOR,CLE
0021400309,20141209PORDET,POR,DET
0021400310,20141209DALMEM,DAL,MEM
0021400311,20141209NYKNOP,NYK,NOP
0021400312,20141209MILOKC,MIL,OKC
0021400313,20141209MIAPHX,MIA,PHX
0021400314,20141209SASUTA,SAS,UTA
0021400315,20141209SACLAL,SAC,LAL
0021400316,20141210BOSCHA,BOS,CHA
0021400317,20141210LACIND,LAC,IND
0021400318,20141210WASORL,WAS,ORL
0021400319,20141210PHIATL,PHI,ATL
0021400320,20141210BKNCHI,BKN,CHI
0021400321,20141210PORMIN,POR,MIN
0021400322,20141210NYKSAS,NYK,SAS
0021400323,20141210NOPDAL,NOP,DAL
0021400324,20141210HOUGSW,HOU,GSW
0021400325,20141210MIADEN,MIA,DEN
0021400326,20141211CLEOKC,CLE,OKC
0021400327,20141211HOUSAC,HOU,SAC
0021400328,20141212PORCHI,POR,CHI
0021400329,20141212LACWAS,LAC,WAS
0021400330,20141212ORLATL,ORL,ATL
0021400331,20141212NYKBOS,NYK,BOS
0021400332,20141212PHIBKN,PHI,BKN
0021400333,20141212INDTOR,IND,TOR
0021400334,20141212CHAMEM,CHA,MEM
0021400335,20141212OKCMIN,OKC,MIN
0021400336,20141212CLENOP,CLE,NOP
0021400337,20141212DETPHX,DET,PHX
0021400338,20141212MIAUTA,MIA,UTA
0021400339,20141212LALSAS,LAL,SAS
0021400340,20141213GSWDAL,GSW,DAL
0021400341,20141213BKNCHA,BKN,CHA
0021400342,20141213PORIND,POR,IND
0021400343,20141213ATLORL,ATL,ORL
0021400344,20141213LACMIL,LAC,MIL
0021400345,20141213MEMPHI,MEM,PHI
0021400346,20141213DENHOU,DEN,HOU
0021400347,20141213DETSAC,DET,SAC
0021400348,20141214GSWNOP,GSW,NOP
0021400349,20141214CHIMIA,CHI,MIA
0021400350,20141214UTAWAS,UTA,WAS
0021400351,20141214LALMIN,LAL,MIN
0021400352,20141214PHXOKC,PHX,OKC
0021400353,20141214TORNYK,TOR,NYK
0021400354,20141214SASDEN,SAS,DEN
0021400355,20141215CHACLE,CHA,CLE
0021400356,20141215LALIND,LAL,IND
0021400357,20141215BOSPHI,BOS,PHI
0021400358,20141215CHIATL,CHI,ATL
0021400359,20141215ORLTOR,ORL,TOR
0021400360,20141215MILPHX,MIL,PHX
0021400361,20141215SASPOR,SAS,POR
0021400362,20141215DETLAC,DET,LAC
0021400363,20141216MINWAS,MIN,WAS
0021400364,20141216MIABKN,MIA,BKN
0021400365,20141216GSWMEM,GSW,MEM
0021400366,20141216UTANOP,UTA,NOP
0021400367,20141216DALNYK,DAL,NYK
0021400368,20141216OKCSAC,OKC,SAC
0021400369,20141217PHXCHA,PHX,CHA
0021400370,20141217ATLCLE,ATL,CLE
0021400371,20141217ORLBOS,ORL,BOS
0021400372,20141217DALDET,DAL,DET
0021400373,20141217UTAMIA,UTA,MIA
0021400374,20141217BKNTOR,BKN,TOR
0021400375,20141217MEMSAS,MEM,SAS
0021400376,20141217MILPOR,MIL,POR
0021400377,20141217INDLAC,IND,LAC
0021400378,20141217HOUDEN,HOU,DEN
0021400379,20141218NYKCHI,NYK,CHI
0021400380,20141218NOPHOU,NOP,HOU
0021400381,20141218MILSAC,MIL,SAC
0021400382,20141218OKCGSW,OKC,GSW
0021400383,20141219UTAORL,UTA,ORL
0021400384,20141219CHAPHI,CHA,PHI
0021400385,20141219MINBOS,MIN,BOS
0021400386,20141219BKNCLE,BKN,CLE
0021400387,20141219TORDET,TOR,DET
0021400388,20141219WASMIA,WAS,MIA
0021400389,20141219CHIMEM,CHI,MEM
0021400390,20141219PORSAS,POR,SAS
0021400391,20141219LACDEN,LAC,DEN
0021400392,20141219OKCLAL,OKC,LAL
0021400393,20141220PHXNYK,PHX,NYK
0021400394,20141220PORNOP,POR,NOP
0021400395,20141220UTACHA,UTA,CHA
0021400396,20141220ATLHOU,ATL,HOU
0021400397,20141220SASDAL,SAS,DAL
0021400398,20141220INDDEN,IND,DEN
0021400399,20141220MILLAC,MIL,LAC
0021400400,20141221NYKTOR,NYK,TOR
0021400401,20141221MEMCLE,MEM,CLE
0021400402,20141221LALSAC,LAL,SAC
0021400403,20141221DETBKN,DET,BKN
0021400404,20141221BOSMIA,BOS,MIA
0021400405,20141221PHIORL,PHI,ORL
0021400406,20141221PHXWAS,PHX,WAS
0021400407,20141221INDMIN,IND,MIN
0021400408,20141221NOPOKC,NOP,OKC
0021400409,20141222DENCHA,DEN,CHA
0021400410,20141222TORCHI,TOR,CHI
0021400411,20141222PORHOU,POR,HOU
0021400412,20141222UTAMEM,UTA,MEM
0021400413,20141222ATLDAL,ATL,DAL
0021400414,20141222LACSAS,LAC,SAS
0021400415,20141222SACGSW,SAC,GSW
0021400416,20141223MINCLE,MIN,CLE
0021400417,20141223NOPIND,NOP,IND
0021400418,20141223BOSORL,BOS,ORL
0021400419,20141223CHIWAS,CHI,WAS
0021400420,20141223LACATL,LAC,ATL
0021400421,20141223DENBKN,DEN,BKN
0021400422,20141223PHIMIA,PHI,MIA
0021400423,20141223CHAMIL,CHA,MIL
0021400424,20141223POROKC,POR,OKC
0021400425,20141223DALPHX,DAL,PHX
0021400426,20141223GSWLAL,GSW,LAL
0021400427,20141225WASNYK,WAS,NYK
0021400428,20141225OKCSAS,OKC,SAS
0021400429,20141225CLEMIA,CLE,MIA
0021400430,20141225LALCHI,LAL,CHI
0021400431,20141225GSWLAC,GSW,LAC
0021400432,20141226BKNBOS,BKN,BOS
0021400433,20141226CLEORL,CLE,ORL
0021400434,20141226MILATL,MIL,ATL
0021400435,20141226INDDET,IND,DET
0021400436,20141226HOUMEM,HOU,MEM
0021400437,20141226SASNOP,SAS,NOP
0021400438,20141226CHAOKC,CHA,OKC
0021400439,20141226LALDAL,LAL,DAL
0021400440,20141226MINDEN,MIN,DEN
0021400441,20141226PHIPOR,PHI,POR
0021400442,20141226PHXSAC,PHX,SAC
0021400443,20141227TORLAC,TOR,LAC
0021400444,20141227ORLCHA,ORL,CHA
0021400445,20141227BOSWAS,BOS,WAS
0021400446,20141227MEMMIA,MEM,MIA
0021400447,20141227NOPCHI,NOP,CHI
0021400448,20141227INDBKN,IND,BKN
0021400449,20141227ATLMIL,ATL,MIL
0021400450,20141227PHIUTA,PHI,UTA
0021400451,20141227NYKSAC,NYK,SAC
0021400452,20141227MINGSW,MIN,GSW
0021400453,20141228DETCLE,DET,CLE
0021400454,20141228HOUSAS,HOU,SAS
0021400455,20141228OKCDAL,OKC,DAL
0021400456,20141228NYKPOR,NYK,POR
0021400457,20141228TORDEN,TOR,DEN
0021400458,20141228PHXLAL,PHX,LAL
0021400459,20141229MILCHA,MIL,CHA
0021400460,20141229CHIIND,CHI,IND
0021400461,20141229SACBKN,SAC,BKN
