gameid,date,away,home,tm,q1,q2,q3,q4,ot1,ot2,ot3,total
19911101CHHBOS,19911101,CHH,BOS,CHH,32,19,28,29,,,,108
19911101CHHBOS,19911101,CHH,BOS,BOS,40,27,24,20,,,,111
19911101PHICHI,19911101,PHI,CHI,PHI,25,14,22,29,,,,90
19911101PHICHI,19911101,PHI,CHI,CHI,31,32,23,24,,,,110
19911101GSWDEN,19911101,GSW,DEN,GSW,33,31,12,32,,,,108
19911101GSWDEN,19911101,GSW,DEN,DEN,30,18,30,27,,,,105
19911101MILDET,19911101,MIL,DET,MIL,21,29,27,32,,,,109
19911101MILDET,19911101,MIL,DET,DET,25,23,20,31,,,,99
19911101LALHOU,19911101,LAL,HOU,LAL,20,26,30,21,15,9,,121
19911101LALHOU,19911101,LAL,HOU,HOU,32,19,18,28,15,14,,126
19911101WSBIND,19911101,WSB,IND,WSB,31,21,35,22,,,,109
19911101WSBIND,19911101,WSB,IND,IND,30,30,21,22,,,,103
19911101UTAMIN,19911101,UTA,MIN,UTA,28,25,38,21,,,,112
19911101UTAMIN,19911101,UTA,MIN,MIN,24,25,23,25,,,,97
19911101NYKORL,19911101,NYK,ORL,NYK,25,26,19,26,,,,96
19911101NYKORL,19911101,NYK,ORL,ORL,32,22,28,24,,,,106
19911101CLEPOR,19911101,CLE,POR,CLE,28,20,31,27,,,,106
19911101CLEPOR,19911101,CLE,POR,POR,33,27,31,26,,,,117
19911101LACSAC,19911101,LAC,SAC,LAC,14,24,22,30,,,,90
19911101LACSAC,19911101,LAC,SAC,SAC,22,15,34,23,,,,94
19911101DALSAS,19911101,DAL,SAS,DAL,20,25,28,26,,,,99
19911101DALSAS,19911101,DAL,SAS,SAS,34,39,32,35,,,,140
19911101PHOSEA,19911101,PHO,SEA,PHO,21,31,23,24,,,,99
19911101PHOSEA,19911101,PHO,SEA,SEA,21,32,24,18,,,,95
19911102DETATL,19911102,DET,ATL,DET,23,21,20,25,,,,89
19911102DETATL,19911102,DET,ATL,ATL,16,26,22,23,,,,87
19911102NJNCHH,19911102,NJN,CHH,NJN,29,25,27,35,,,,116
19911102NJNCHH,19911102,NJN,CHH,CHH,29,27,30,22,,,,108
19911102LALDAL,19911102,LAL,DAL,LAL,20,28,26,25,15,,,114
19911102LALDAL,19911102,LAL,DAL,DAL,30,28,22,19,14,,,113
19911102HOUDEN,19911102,HOU,DEN,HOU,22,26,26,23,4,,,101
19911102HOUDEN,19911102,HOU,DEN,DEN,37,20,17,23,12,,,109
19911102SACGSW,19911102,SAC,GSW,SAC,18,23,31,19,,,,91
19911102SACGSW,19911102,SAC,GSW,GSW,48,40,31,34,,,,153
19911102UTAIND,19911102,UTA,IND,UTA,18,30,31,33,,,,112
19911102UTAIND,19911102,UTA,IND,IND,25,28,41,33,,,,127
19911102CLELAC,19911102,CLE,LAC,CLE,31,22,27,25,,,,105
19911102CLELAC,19911102,CLE,LAC,LAC,30,27,29,20,,,,106
19911102NYKMIA,19911102,NYK,MIA,NYK,20,22,20,31,,,,93
19911102NYKMIA,19911102,NYK,MIA,MIA,22,20,33,32,,,,107
19911102CHIMIL,19911102,CHI,MIL,CHI,30,30,27,20,,,,107
19911102CHIMIL,19911102,CHI,MIL,MIL,29,26,33,21,,,,109
19911102ORLPHI,19911102,ORL,PHI,ORL,24,24,47,27,,,,122
19911102ORLPHI,19911102,ORL,PHI,PHI,34,25,31,25,,,,115
19911102PHOPOR,19911102,PHO,POR,PHO,28,21,29,22,,,,100
19911102PHOPOR,19911102,PHO,POR,POR,25,9,21,21,,,,76
19911102BOSWSB,19911102,BOS,WSB,BOS,28,30,34,20,6,,,118
19911102BOSWSB,19911102,BOS,WSB,WSB,35,31,27,19,14,,,126
19911103SASSEA,19911103,SAS,SEA,SAS,29,27,20,30,,,,106
19911103SASSEA,19911103,SAS,SEA,SEA,23,28,22,25,,,,98
