dataid,gameid
1348858,20140323WASDEN
1349039,20140323PHXMIN
1349935,20140323ATLTOR
1349473,20140324MILLAC
1349653,20140324DETUTA
1349873,20140324PHISAS
1349891,20140324BKNNOP
1349677,20140324MINMEM
1349444,20140324DENOKC
1348969,20140324INDCHI
1349712,20140324PORMIA
1349848,20140324PHXATL
1349951,20140324HOUCHA
1349258,20140325NYKLAL
1349061,20140325OKCDAL
1349576,20140325TORCLE
1348944,20140325PORORL
1349974,20140326MEMUTA
1349634,20140326NYKSAC
1349877,20140326DENSAS
1349895,20140326LACNOP
1349286,20140326MIAIND
1349043,20140326ATLMIN
1349255,20140326TORBOS
1349829,20140326CLEDET
1349952,20140326BKNCHA
1349416,20140326PHXWAS
1349067,20140327LACDAL
1349506,20140327LALMIL
1349374,20140327PHIHOU
1349857,20140327PORATL
1349050,20140328MEMGSW
1348855,20140328NYKPHX
1348861,20140328SASDEN
1349449,20140328SACOKC
1349898,20140328UTANOP
1349046,20140328LALMIN
1348975,20140328PORCHI
1349835,20140328MIADET
1349058,20140328CLEBKN
1349420,20140328INDWAS
1349937,20140328BOSTOR
1348949,20140328CHAORL
1349512,20140329MIAMIL
1349880,20140329NOPSAS
1349070,20140329SACDAL
1349424,20140329ATLWAS
1349380,20140329LACHOU
1349475,20140329DETPHI
1349263,20140330PHXLAL
1349053,20140330NYKGSW
1349230,20140330MEMPOR
1349260,20140330CHIBOS
1349063,20140330MINBKN
1348961,20140330TORORL
1349581,20140330INDCLE
1349453,20140330UTAOKC
1349658,20140331NYKUTA
1348864,20140331MEMDEN
1349048,20140331LACMIN
1349903,20140331SACNOP
1348981,20140331BOSCHI
1349863,20140331PHIATL
1349716,20140331TORMIA
1349841,20140331MILDET
1349954,20140331WASCHA
1349289,20140331SASIND
1349268,20140401PORLAL
1349075,20140401GSWDAL
1349069,20140401HOUBKN
1349638,20140402LALSAC
1348860,20140402LACPHX
1348868,20140402NOPDEN
1349884,20140402GSWSAS
1349052,20140402MEMMIN
1349872,20140402CHIATL
1349718,20140402MILMIA
1349429,20140402BOSWAS
1349294,20140402DETIND
1349491,20140402CHAPHI
1349897,20140402BKNNYK
1349940,20140402HOUTOR
1348970,20140402CLEORL
1349477,20140403DALLAC
1349458,20140403SASOKC
1349273,20140404DALLAL
1349057,20140404SACGSW
1349237,20140404PHXPOR
1349392,20140404OKCHOU
1349662,20140404NOPUTA
1348987,20140404MILCHI
1349900,20140404WASNYK
1349879,20140404CLEATL
1349072,20140404DETBKN
1349265,20140404PHIBOS
1349720,20140404MINMIA
1349942,20140404INDTOR
1349956,20140404ORLCHA
1349681,20140404DENMEM
1349518,20140405TORMIL
1349849,20140405BOSDET
1349588,20140405CHACLE
1349500,20140405BKNPHI
1349434,20140405CHIWAS
1348980,20140405MINORL
1348863,20140406OKCPHX
1349060,20140406UTAGSW
1349242,20140406NOPPOR
1349887,20140406MEMSAS
1349396,20140406DENHOU
1349299,20140406ATLIND
1349642,20140406DALSAC
1349482,20140406LALLAC
1349722,20140406NYKMIA
1349278,20140408HOULAL
1349648,20140408OKCSAC
1349664,20140408DALUTA
1392854,20140408SASMIN
1349729,20140408BKNMIA
1408546,20140408DETATL
1349486,20140409OKCLAC
1349247,20140409SACPOR
1348870,20140409HOUDEN
1349684,20140409MIAMEM
1349908,20140409PHXNOP
1349522,20140409INDMIL
1349055,20140409CHIMIN
1349883,20140409BOSATL
1349440,20140409CHAWAS
1349593,20140409DETCLE
1349944,20140409PHITOR
1348986,20140409BKNORL
1349065,20140410DENGSW
1349081,20140410SASDAL
1349283,20140411GSWLAL
1349668,20140411PORUTA
1349526,20140411CLEMIL
1349890,20140411PHXSAS
1349688,20140411PHIMEM
1349464,20140411NOPOKC
1349059,20140411HOUMIN
1348995,20140411DETCHI
1349076,20140411ATLBKN
1349269,20140411CHABOS
1349732,20140411INDMIA
1349946,20140411NYKTOR
1348993,20140411WASORL
1348873,20140412UTADEN
1349087,20140412PHXDAL
1349404,20140412NOPHOU
1349888,20140412MIAATL
1349600,20140412BOSCLE
1349445,20140412MILWAS
1349958,20140412PHICHA
1349492,20140412SACLAC
1349287,20140413MEMLAL
1349650,20140413MINSAC
1349250,20140413GSWPOR
1349904,20140413CHINYK
1349080,20140413ORLBKN
1349856,20140413TORDET
1349310,20140413OKCIND
1349068,20140414MINGSW
1348867,20140414MEMPHX
1349673,20140414LALUTA
1349913,20140414OKCNOP
1349409,20140414SASHOU
1349002,20140414ORLCHI
1349894,20140414CHAATL
1349509,20140414BOSPHI
1349948,20140414MILTOR
1349451,20140414MIAWAS
1349496,20140415DENLAC
1349085,20140415NYKBKN
1349257,20140416LACPOR
1348875,20140416GSWDEN
1349657,20140416PHXSAC
1349893,20140416LALSAS
1349905,20140416TORNYK
1349916,20140416HOUNOP
1349737,20140416PHIMIA
1349689,20140416DALMEM
1349062,20140416UTAMIN
1349270,20140416WASBOS
1349469,20140416DETOKC
1349605,20140416BKNCLE
1349531,20140416ATLMIL
1349961,20140416CHICHA
1349000,20140416INDORL
