gameid_num,gameid,away,home
0040700131,20080419WASCLE,WAS,CLE
0040700151,20080419DALNOH,DAL,NOH
0040700161,20080419PHXSAS,PHX,SAS
0040700171,20080419UTAHOU,UTA,HOU
0040700101,20080420ATLBOS,ATL,BOS
0040700111,20080420PHIDET,PHI,DET
0040700121,20080420TORORL,TOR,ORL
0040700141,20080420DENLAL,DEN,LAL
0040700132,20080421WASCLE,WAS,CLE
0040700172,20080421UTAHOU,UTA,HOU
0040700122,20080422TORORL,TOR,ORL
0040700152,20080422DALNOH,DAL,NOH
0040700162,20080422PHXSAS,PHX,SAS
0040700102,20080423ATLBOS,ATL,BOS
0040700112,20080423PHIDET,PHI,DET
0040700142,20080423DENLAL,DEN,LAL
0040700123,20080424ORLTOR,ORL,TOR
0040700133,20080424CLEWAS,CLE,WAS
0040700173,20080424HOUUTA,HOU,UTA
0040700113,20080425DETPHI,DET,PHI
0040700153,20080425NOHDAL,NOH,DAL
0040700163,20080425SASPHX,SAS,PHX
0040700103,20080426BOSATL,BOS,ATL
0040700124,20080426ORLTOR,ORL,TOR
0040700143,20080426LALDEN,LAL,DEN
0040700174,20080426HOUUTA,HOU,UTA
0040700114,20080427DETPHI,DET,PHI
0040700134,20080427CLEWAS,CLE,WAS
0040700154,20080427NOHDAL,NOH,DAL
0040700164,20080427SASPHX,SAS,PHX
0040700104,20080428BOSATL,BOS,ATL
0040700125,20080428TORORL,TOR,ORL
0040700144,20080428LALDEN,LAL,DEN
0040700115,20080429PHIDET,PHI,DET
0040700155,20080429DALNOH,DAL,NOH
0040700165,20080429PHXSAS,PHX,SAS
0040700175,20080429UTAHOU,UTA,HOU
0040700105,20080430ATLBOS,ATL,BOS
0040700135,20080430WASCLE,WAS,CLE
0040700116,20080501DETPHI,DET,PHI
0040700106,20080502BOSATL,BOS,ATL
0040700136,20080502CLEWAS,CLE,WAS
0040700176,20080502HOUUTA,HOU,UTA
0040700211,20080503ORLDET,ORL,DET
0040700231,20080503SASNOH,SAS,NOH
0040700107,20080504ATLBOS,ATL,BOS
0040700221,20080504UTALAL,UTA,LAL
0040700212,20080505ORLDET,ORL,DET
0040700232,20080505SASNOH,SAS,NOH
0040700201,20080506CLEBOS,CLE,BOS
0040700213,20080507DETORL,DET,ORL
0040700222,20080507UTALAL,UTA,LAL
0040700202,20080508CLEBOS,CLE,BOS
0040700233,20080508NOHSAS,NOH,SAS
0040700223,20080509LALUTA,LAL,UTA
0040700203,20080510BOSCLE,BOS,CLE
0040700214,20080510DETORL,DET,ORL
0040700224,20080511LALUTA,LAL,UTA
0040700234,20080511NOHSAS,NOH,SAS
0040700204,20080512BOSCLE,BOS,CLE
0040700215,20080513ORLDET,ORL,DET
0040700235,20080513SASNOH,SAS,NOH
0040700205,20080514CLEBOS,CLE,BOS
0040700225,20080514UTALAL,UTA,LAL
0040700236,20080515NOHSAS,NOH,SAS
0040700206,20080516BOSCLE,BOS,CLE
0040700226,20080516LALUTA,LAL,UTA
0040700207,20080518CLEBOS,CLE,BOS
0040700237,20080519SASNOH,SAS,NOH
0040700301,20080520DETBOS,DET,BOS
0040700311,20080521SASLAL,SAS,LAL
0040700302,20080522DETBOS,DET,BOS
0040700312,20080523SASLAL,SAS,LAL
0040700303,20080524BOSDET,BOS,DET
0040700313,20080525LALSAS,LAL,SAS
0040700304,20080526BOSDET,BOS,DET
0040700314,20080527LALSAS,LAL,SAS
0040700305,20080528DETBOS,DET,BOS
0040700315,20080529SASLAL,SAS,LAL
0040700306,20080530BOSDET,BOS,DET
0040700401,20080605LALBOS,LAL,BOS
0040700402,20080608LALBOS,LAL,BOS
0040700403,20080610BOSLAL,BOS,LAL
0040700404,20080612BOSLAL,BOS,LAL
0040700405,20080615BOSLAL,BOS,LAL
0040700406,20080617LALBOS,LAL,BOS
